"# per-flow diagnostics over ONE overlap window [1.9000, 2.2817] s"
# queue_index = pg (switch-node.cc:181 maps udp.pg -> qIndex)
"# NOTE switch-mmu.cc:106: ShouldSendCN returns false when qIndex==0,"
#      so pg=0 traffic is EXEMPT from ECN marking by construction.
"# cnp_received is per-flow from round_summary.csv, not a filtered aggregate."
flow_id,src,dst,pg,queue_index,role,total_size_bytes,acked_bytes,completed,fct_s,goodput_whole_flow_bps,rate_before_overlap_gbps,rate_during_overlap_gbps,dcqcn_start_rate_bps,dcqcn_min_rate_bps,dcqcn_end_rate_bps,cnp_received,retx_bytes
53,52,64,3,3,incast,1048576,1048576,1,0.281665062,29782209.907,,,10000000000,4151421573,9999925829,131,0
36,35,64,3,3,incast,1048576,1048576,1,0.281667237,29781979.933,,,10000000000,2974610951,9984457638,171,0
47,46,64,3,3,incast,1048576,1048576,1,0.281669412,29781749.962,,,10000000000,2889118592,9999995750,161,0
40,39,64,3,3,incast,1048576,1048576,1,0.281676615,29780988.386,,,10000000000,5902400711,9999987072,147,0
55,54,64,3,3,incast,1048576,1048576,1,0.281678790,29780758.431,,,10000000000,2623571094,9999999988,133,0
48,47,64,3,3,incast,1048576,1048576,1,0.281681803,29780439.882,,,10000000000,2912200278,9950889054,159,0
62,61,64,3,3,incast,1048576,1048576,1,0.281683978,29780209.934,,,10000000000,5501273631,9999854371,155,0
18,17,64,3,3,incast,1048576,1048576,1,0.281686153,29779979.991,,,10000000000,4948425754,9999369915,159,0
27,26,64,3,3,incast,1048576,1048576,1,0.281693356,29779218.506,,,10000000000,5584089397,9999985339,158,0
56,55,64,3,3,incast,1048576,1048576,1,0.281703911,29778102.726,,,10000000000,5596548662,9999999391,135,0
1,0,64,3,3,incast,1048576,1048576,1,0.281710276,29777429.915,,0.021975,10000000000,7010886215,9990571425,135,0
21,20,64,3,3,incast,1048576,1048576,1,0.281713289,29777111.438,,,10000000000,6687227710,9999999998,120,0
41,40,64,3,3,incast,1048576,1048576,1,0.281719654,29776438.672,,,10000000000,3670053327,9999643900,144,0
2,1,64,3,3,incast,1048576,1048576,1,0.281722667,29776120.215,,0.021975,10000000000,3649475241,9997962598,158,0
22,21,64,3,3,incast,1048576,1048576,1,0.281724842,29775890.335,,,10000000000,5496209902,9999801071,130,0
42,41,64,3,3,incast,1048576,1048576,1,0.281727017,29775660.458,,,10000000000,2560770325,9993714970,171,0
49,48,64,3,3,incast,1048576,1048576,1,0.281730030,29775342.018,,,10000000000,1927912026,9999987387,169,0
3,2,64,3,3,incast,1048576,1048576,1,0.281732205,29775112.149,,0.021975,10000000000,1826643601,9999999556,144,0
24,23,64,3,3,incast,1048576,1048576,1,0.281735218,29774793.721,,,10000000000,1269530729,9999998470,163,0
44,43,64,3,3,incast,1048576,1048576,1,0.281737393,29774563.861,,,10000000000,833156952,9999045410,153,0
50,49,64,3,3,incast,1048576,1048576,1,0.281739568,29774334.005,,,10000000000,2060875422,9999998985,163,0
51,50,64,3,3,incast,1048576,1048576,1,0.281742581,29774015.593,,,10000000000,2447838836,9990563402,158,0
0,65,64,0,0,background,4000000000,2101237000,0,,7640861818.182,7.640880,7.640814,10000000000,10000000000,10000000000,0,0
