"# per-flow diagnostics over ONE overlap window [1.9000, 2.2817] s"
# queue_index = pg (switch-node.cc:181 maps udp.pg -> qIndex)
"# NOTE switch-mmu.cc:106: ShouldSendCN returns false when qIndex==0,"
#      so pg=0 traffic is EXEMPT from ECN marking by construction.
"# cnp_received is per-flow from round_summary.csv, not a filtered aggregate."
flow_id,src,dst,pg,queue_index,role,total_size_bytes,acked_bytes,completed,fct_s,goodput_whole_flow_bps,rate_before_overlap_gbps,rate_during_overlap_gbps,dcqcn_start_rate_bps,dcqcn_min_rate_bps,dcqcn_end_rate_bps,cnp_received,retx_bytes
4,3,64,3,3,incast,1048576,1048576,1,0.281287116,29822226.198,,,10000000000,5000000000,9999995712,144,0
10,9,64,3,3,incast,1048576,1048576,1,0.281301861,29820663.007,,,10000000000,4414285911,9998970116,168,0
13,12,64,3,3,incast,1048576,1048576,1,0.281304036,29820432.438,,,10000000000,2779544913,9999952477,155,0
23,22,64,3,3,incast,1048576,1048576,1,0.281315429,29819224.739,,,10000000000,3149517337,9999953255,148,0
32,31,64,3,3,incast,1048576,1048576,1,0.281330174,29817661.862,,,10000000000,2318300828,9982480758,156,0
9,8,64,3,3,incast,1048576,1048576,1,0.281337377,29816898.449,,,10000000000,2529182583,9999968482,135,0
34,33,64,3,3,incast,1048576,1048576,1,0.281343742,29816223.885,,,10000000000,4422041762,9999999999,148,0
31,30,64,3,3,incast,1048576,1048576,1,0.281345917,29815993.384,,,10000000000,3484701096,9999999994,163,0
15,14,64,3,3,incast,1048576,1048576,1,0.281348930,29815674.081,,,10000000000,1724908040,9999990715,149,0
30,29,64,3,3,incast,1048576,1048576,1,0.281351105,29815443.590,,,10000000000,4994831838,9999716262,148,0
37,36,64,3,3,incast,1048576,1048576,1,0.281354118,29815124.298,,,10000000000,2847349405,9999400451,134,0
43,42,64,3,3,incast,1048576,1048576,1,0.281389813,29811342.175,,,10000000000,3503761495,9982200069,131,0
29,28,64,3,3,incast,1048576,1048576,1,0.281391988,29811111.751,,,10000000000,2518513996,9999749787,156,0
60,59,64,3,3,incast,1048576,1048576,1,0.281395001,29810792.552,,,10000000000,3668274850,9999997102,131,0
52,51,64,3,3,incast,1048576,1048576,1,0.281397176,29810562.136,,,10000000000,2844476103,9999985793,155,0
57,56,64,3,3,incast,1048576,1048576,1,0.281400189,29810242.949,,,10000000000,2529182583,9999951824,129,0
33,32,64,3,3,incast,1048576,1048576,1,0.281402364,29810012.541,,,10000000000,5000000000,9996649628,135,0
59,58,64,3,3,incast,1048576,1048576,1,0.281408729,29809338.288,,,10000000000,5000000000,9999997173,144,0
63,62,64,3,3,incast,1048576,1048576,1,0.281411742,29809019.128,,,10000000000,4970388969,9997569902,153,0
39,38,64,3,3,incast,1048576,1048576,1,0.281413917,29808788.739,,,10000000000,5000000000,9970564219,157,0
58,57,64,3,3,incast,1048576,1048576,1,0.281446260,29805363.198,,,10000000000,3872952762,9998027454,152,0
64,63,64,3,3,incast,1048576,1048576,1,0.281456815,29804245.458,,,10000000000,5000000000,9999968715,154,0
6,5,64,3,3,incast,1048576,1048576,1,0.281585528,29790621.910,,,10000000000,4050626398,9999710754,158,0
5,4,64,3,3,incast,1048576,1048576,1,0.281587703,29790391.806,,,10000000000,4143686753,9981818886,152,0
11,10,64,3,3,incast,1048576,1048576,1,0.281590716,29790073.051,,,10000000000,4909855551,9999456421,177,0
19,18,64,3,3,incast,1048576,1048576,1,0.281592891,29789842.955,,,10000000000,2323890630,9999971815,140,0
14,13,64,3,3,incast,1048576,1048576,1,0.281599256,29789169.613,,,10000000000,6236647638,9999999899,151,0
26,25,64,3,3,incast,1048576,1048576,1,0.281602269,29788850.885,,,10000000000,4215995584,9999952408,147,0
35,34,64,3,3,incast,1048576,1048576,1,0.281612824,29787734.382,,,10000000000,6033931508,9999999967,148,0
46,45,64,3,3,incast,1048576,1048576,1,0.281614999,29787504.323,,,10000000000,5000000000,9999999999,127,0
38,37,64,3,3,incast,1048576,1048576,1,0.281622202,29786742.453,,,10000000000,1839810764,9999667278,161,0
54,53,64,3,3,incast,1048576,1048576,1,0.281624377,29786512.408,,,10000000000,5273653861,9999994806,130,0
45,44,64,3,3,incast,1048576,1048576,1,0.281627390,29786193.736,,,10000000000,4503675198,9999998069,137,0
17,16,64,3,3,incast,1048576,1048576,1,0.281629565,29785963.700,,,10000000000,2322228593,9999997224,146,0
61,60,64,3,3,incast,1048576,1048576,1,0.281631740,29785733.668,,,10000000000,5483458883,9999883223,147,0
25,24,64,3,3,incast,1048576,1048576,1,0.281634753,29785415.012,,,10000000000,2020070581,9998878115,169,0
7,6,64,3,3,incast,1048576,1048576,1,0.281641118,29784741.871,,,10000000000,2997211195,9984271604,150,0
8,7,64,3,3,incast,1048576,1048576,1,0.281644131,29784423.237,,,10000000000,5994462505,9999934635,145,0
12,11,64,3,3,incast,1048576,1048576,1,0.281646306,29784193.229,,,10000000000,5000000000,9999999775,136,0
20,19,64,3,3,incast,1048576,1048576,1,0.281648481,29783963.223,,,10000000000,2717922214,9920334758,152,0
16,15,64,3,3,incast,1048576,1048576,1,0.281651494,29783644.606,,,10000000000,2223020828,9999998877,161,0
28,27,64,3,3,incast,1048576,1048576,1,0.281653669,29783414.609,,,10000000000,3531178280,9999573226,146,0
