time_ns,generation,batch_active,queue_current_bytes,queue_predicted_bytes,pending_excess_bytes,arrival_wire_bps,service_wire_bps,base_target_bps,boost_requested_bps,boost_effective_bps,boost_lease_expire_ns,drain_bps,aggregate_requested_bps,aggregate_applied_bps,zone,veto_reason,background_applied_bps,incast_applied_bps
320000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
325000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
330000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
335000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
340000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
345000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
350000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
355000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
360000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
365000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
370000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
375000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
380000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
385000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
390000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
395000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
400000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
405000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
410000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
415000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
420000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
425000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
430000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
435000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
440000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
445000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
450000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
455000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
460000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
465000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
470000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
475000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
480000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
485000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
490000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
495000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
500000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
505000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
510000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
515000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
520000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
525000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
530000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
535000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
540000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
545000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
550000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
555000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
560000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
565000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
570000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
575000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
580000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
