algorithm,seed,scenario,cc_mode,cbap_enable,stop_time_s,app_rate_cap_bps,sample_us,base_rtt_us,config_sha256,incast_n,incast_done,completion_rate_pct,fct_mean_ms,fct_p50_ms,fct_p95_ms,fct_p99_ms,fct_min_ms,fct_max_ms,cct_ms,incast_agg_gbps,incast_fairness_jain,bg_completed,bg_fct_ms,bg_before_gbps,bg_during_gbps,bg_after_gbps,bg_min_gbps,bg_drop_pct,bg_retention_pct,bg_recovery90_ms,bg_recovery90_ms_never_dipped,bg_recovery95_ms,bg_recovery95_ms_never_dipped,bg_service_debt_bytes,bg_slowdown,bg_retx_bytes,bg_retx_events,bg_n_flows,bg_service_debt_window_s,total_acked_bytes,util_mean,queue_mean_bytes,queue_p95_bytes,queue_p99_bytes,queue_peak_bytes,over_qmin_pct,over_qmax_pct,queue_recovery_ms,queue_final_bytes,queue_drained,ecn_marks,pfc_events,pfc_paused_samples,pfc_pause_total_ns,drops,retx_bytes_total,retx_events_total,oversub_peak_bytes,oversub_peak_ratio,oversub_duration_ms,oversub_longest_run_ms,qmax_exceed_ratio,recovery_rtts,qmax_bytes,qmin_bytes,n_links,link_83_1_ecn_marks,link_83_1_over_qmax_pct,link_83_1_over_qmin_pct,link_83_1_oversub_duration_ms,link_83_1_oversub_longest_run_ms,link_83_1_oversub_peak_bytes,link_83_1_oversub_peak_ratio,link_83_1_pfc_events,link_83_1_pfc_pause_total_ns,link_83_1_pfc_paused_samples,link_83_1_qmax_exceed_ratio,link_83_1_queue_drained,link_83_1_queue_final_bytes,link_83_1_queue_mean_bytes,link_83_1_queue_p95_bytes,link_83_1_queue_p99_bytes,link_83_1_queue_peak_bytes,link_83_1_queue_recovery_ms,link_83_1_util_mean,link_84_1_ecn_marks,link_84_1_over_qmax_pct,link_84_1_over_qmin_pct,link_84_1_oversub_duration_ms,link_84_1_oversub_longest_run_ms,link_84_1_oversub_peak_bytes,link_84_1_oversub_peak_ratio,link_84_1_pfc_events,link_84_1_pfc_pause_total_ns,link_84_1_pfc_paused_samples,link_84_1_qmax_exceed_ratio,link_84_1_queue_drained,link_84_1_queue_final_bytes,link_84_1_queue_mean_bytes,link_84_1_queue_p95_bytes,link_84_1_queue_p99_bytes,link_84_1_queue_peak_bytes,link_84_1_queue_recovery_ms,link_84_1_util_mean
dcqcn,2,s6_dual_bottleneck_256k_bg80,1,0,2.5,8000000000.0,10.0,15.2,1e306f48e033915d,60,60,100.0,32.6858554,32.7184955,33.03271599999999,33.033707,31.882048000000005,33.033707,133.03370700000005,3.8091129160890156,0.9998943456284306,0,nan,15.281763270530819,15.281671929033212,15.281757827558154,7.636363636363279,0.05912928792508598,99.99940228430457,0.0,,0.0,,5134718000.0,nan,0,0,2,2.5,2881048640.0,0.8503325556221776,141544.18400481058,594216.0,594216.0,595264.0,24.188214070956104,23.549308478653035,31.850000000000378,0.0,1,451.0,0,0,0,0,0,0,195264.0,1.48816,31.330000000000002,31.330000000000002,1.48816,2095.3947368421304,400000,200000.0,2,218.0,23.549308478653035,24.188214070956104,31.330000000000002,31.330000000000002,195264.0,1.48816,0,0,0,1.48816,1,0.0,141544.18400481058,594216.0,594216.0,595264.0,31.850000000000378,0.8503325556221777,233.0,23.541791942273,24.188214070956104,31.32,31.32,195264.0,1.48816,0,0,0,1.48816,1,0.0,141378.040288635,594216.0,594216.0,595264.0,31.850000000000378,0.8503325556221775
dctcp,2,s6_dual_bottleneck_256k_bg80,8,0,2.5,8000000000.0,10.0,15.2,d6b20b4894a222a7,60,60,100.0,32.6858554,32.7184955,33.03271599999999,33.033707,31.882048000000005,33.033707,133.03370700000005,3.8091129160890156,0.9998943456284306,0,nan,15.281763270530819,15.281671929033212,15.281757827558154,7.636363636363279,0.05912928792508598,99.99940228430457,0.0,,0.0,,5134718000.0,nan,0,0,2,2.5,2881048640.0,0.8503325556221776,141544.18400481058,594216.0,594216.0,595264.0,24.188214070956104,23.549308478653035,31.850000000000378,0.0,1,451.0,0,0,0,0,0,0,195264.0,1.48816,31.330000000000002,31.330000000000002,1.48816,2095.3947368421304,400000,200000.0,2,218.0,23.549308478653035,24.188214070956104,31.330000000000002,31.330000000000002,195264.0,1.48816,0,0,0,1.48816,1,0.0,141544.18400481058,594216.0,594216.0,595264.0,31.850000000000378,0.8503325556221777,233.0,23.541791942273,24.188214070956104,31.32,31.32,195264.0,1.48816,0,0,0,1.48816,1,0.0,141378.040288635,594216.0,594216.0,595264.0,31.850000000000378,0.8503325556221775
timely,2,s6_dual_bottleneck_256k_bg80,7,0,2.5,8000000000.0,10.0,15.2,a9bf335108f84eaa,60,60,100.0,32.91677216666667,33.0386965,33.206371,33.20653,32.365514999999995,33.20653,133.20653000000027,3.7892884321246254,0.9999251921243562,0,nan,15.165886635465416,15.165765765765768,15.165892535778564,7.5797979797976245,0.04147911705640883,99.99920301593602,0.0,,0.0,,5156446000.0,nan,0,0,2,2.5,2859320640.0,0.8506388409278455,142846.83131897004,598752.0,598752.0,598752.0,24.2924705352451,23.654380301779145,32.249999999999886,0.0,1,454.0,0,0,0,0,0,0,198752.0,1.49688,31.51,31.51,1.49688,2121.7105263157823,400000,200000.0,2,220.0,23.654380301779145,24.2924705352451,31.51,31.51,198752.0,1.49688,0,0,0,1.49688,1,0.0,142846.83131897004,598752.0,598752.0,598752.0,32.249999999999886,0.8506388409278456,234.0,23.646873357856016,24.2924705352451,31.5,31.5,198752.0,1.49688,0,0,0,1.49688,1,0.0,142669.35635462802,598752.0,598752.0,598752.0,32.17999999999988,0.8506388409278454
hpcc,2,s6_dual_bottleneck_256k_bg80,3,0,2.5,8000000000.0,10.0,15.2,7356bf64a5796770,60,60,100.0,7.108756783333335,7.147019,7.28413645,7.29274774,6.5719009999999995,7.293464,107.29346400000006,17.252312481421786,0.99950087635063,0,nan,14.692395695827832,13.73251304996268,14.692165299991881,0.24242424242423105,96.70000390075157,93.46325361597464,107.9999999999992,,107.9999999999992,,5258138000.0,nan,0,0,2,2.5,2757627640.0,0.8122801118360695,4389.5466915191055,3270.0,79537.29999999334,591870.0,0.848089468779124,0.587138863000932,0.7700000000001594,0.0,1,24.0,0,0,0,0,0,0,191870.0,1.479675,0.63,0.63,1.479675,50.65789473685259,400000,200000.0,2,15.0,0.587138863000932,0.848089468779124,0.63,0.63,191870.0,1.479675,0,0,0,1.479675,1,0.0,4389.5466915191055,3270.0,79537.29999999334,591870.0,0.7700000000001594,0.8122476048463211,9.0,0.5498602050326188,0.8387698042870456,0.59,0.59,164620.0,1.41155,0,0,0,1.41155,1,0.0,4116.575209692451,2180.0,61813.89999999905,564620.0,0.6800000000000139,0.812312618825818
cbapsba,2,s6_dual_bottleneck_256k_bg80,30,1,2.5,8000000000.0,10.0,15.2,7fd4a578965942f9,60,60,100.0,11.093182966666664,11.0933785,11.096282,11.097273,11.089484,11.097273,111.09727299999994,11.338742409959787,0.9999999601631295,0,nan,15.281763270530819,14.528339935181812,15.122631320569466,3.8545454545452738,49.55365573580981,95.0697879425871,111.99999999999876,,111.99999999999876,,5154934000.0,nan,0,0,2,2.5,2860832640.0,0.8206018937892975,1419.727092709271,14672.0,25152.0,30392.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.07598,0.0,0.0,0.07598,0.0,400000,200000.0,2,0,0.0,0.0,0.0,0.0,0.0,0.07598,0,0,0,0.07598,1,0.0,1419.727092709271,14672.0,25152.0,30392.0,0.0,0.8206018937892975,0,0.0,0.0,0.0,0.0,0.0,0.07074,0,0,0,0.07074,1,0.0,1372.0907290729074,13624.0,23056.0,28296.0,0.0,0.8206018937892975
