flow_id,round_id,total_feedback,int_hop_count,actionable_feedback,late_same_round_feedback,stale_older_round_feedback,feedback_during_off,live_rate_changes_during_off,first_feedback_time,last_feedback_time,mean_remaining_unsent_ratio,min_remaining_unsent_ratio,mean_remaining_unsent_bytes,min_remaining_unsent_bytes,max_normalized_load,mean_normalized_load,first_rate_before,last_rate_after,feedback_changed_live_rate,late_action_ratio,actionable_byte_ratio
29,0,4406,3,4390,16,0,16,1,0.020012559,0.026215747,0.448506112,0.000000000,1881170.980,0,19.368117330,6.631538241,400000000000,10735853222,2141,0.000226963,0.448506112
30,0,4406,3,4384,22,0,22,1,0.020012601,0.026318972,0.446262656,0.000000000,1871761.242,0,19.320812000,6.986045490,400000000000,15058488919,2064,0.000226963,0.446262656
31,0,4406,3,4393,13,0,13,9,0.020012538,0.026210135,0.447517663,0.000000000,1877025.122,0,19.362903952,6.391411031,400000000000,9797052045,2645,0.002042669,0.447517663
32,0,4406,3,4397,9,0,9,1,0.020012433,0.025851193,0.437156794,0.000000000,1833568.488,0,19.398007545,5.920418305,400000000000,5760406407,2624,0.000226963,0.437156794
33,0,4406,3,4390,16,0,16,1,0.020012664,0.026229850,0.448508173,0.000000000,1881179.622,0,19.378133134,6.633375158,400000000000,10641296986,2212,0.000226963,0.448508173
34,0,4406,3,4397,9,0,9,1,0.020012517,0.025880643,0.436975410,0.000000000,1832807.709,0,19.398657958,5.924370935,400000000000,5689531517,2603,0.000226963,0.436975410
35,0,4406,3,4395,11,0,11,7,0.020012643,0.026055861,0.438182683,0.000000000,1837871.381,0,19.373671581,6.339680219,400000000000,7406359739,2663,0.001588743,0.438182683
36,0,4406,3,4395,11,0,11,1,0.020013651,0.026075748,0.437874367,0.000000000,1836578.208,0,19.394408388,6.381005733,400000000000,7233346365,2680,0.000226963,0.437874367
37,0,4406,3,4397,9,0,9,9,0.020012622,0.025825634,0.436631806,0.000000000,1831366.529,0,19.394670842,5.921573260,400000000000,5636428107,2624,0.002042669,0.436631806
38,0,4406,3,4396,10,0,10,2,0.020012748,0.026045473,0.438236453,0.000000000,1838096.910,0,19.392493981,6.342444959,400000000000,7076426246,2675,0.000453926,0.438236453
