arm,status,incast_expected,incast_completed,FCT_mean_ms,FCT_p95_ms,FCT_p99_ms,CCT_ms,BCT_ms,injection_end_s,batch_goodput_Gbps,utilisation_of_C,total_goodput_Gbps,bg_flows,bg_full_Gbps,bg_recovery_ms,links,queue_mean_B,queue_p95_B,queue_p99_B,queue_max_B,qdelay_p99_us,qdelay_max_us,over_qabs_samples,pfc,retx,drops,boost_duty_pct,boost_mean_G,boost_max_G,lease_grants,veto_counts,zones_ms
mx_s3_timely,OK,64,64,57.27448468749999,57.83034,57.85349,57.865671,57.865671,2.057851463,9.27788277094376,0.927788277094376,6.1087803648,1,7.36754,0.49432899999990454,1,5798.563781879273,0.0,100320.0,1278816.0,80.256,1023.0528,910,0,0,0,,,,,,
mx_s3_hpcc,OK,64,64,59.733865828125005,60.181266,60.227198,60.3267,60.3267,2.06031223,8.899391347446487,0.8899391347446487,5.9181339648,1,7.129232,0.013299999999993872,1,1223.0409901366338,0.0,14170.0,1296010.0,11.336,1036.808,127,0,0,0,,,,,,
mx_s3_cbapsba,OK,64,64,56.790136890625014,56.802189,56.802567,56.841222,56.836222,2.056820312,9.445097995957934,0.9445097995957934,6.1286459648,1,7.392390480976203,0.038777999999961565,1,378.3176610588702,0.0,19912.0,26200.0,15.9296,20.96,0,0,0,0,0.21000035000058334,0.011111152972222222,0.4,36,3:36,3000.0/0.0/0.0/0.0
mx_s4_dcqcn,OK,64,64,54.328547109374995,58.122813,58.451522,59.069245,59.069245,4.596593744,9.088839919995591,0.908883991999559,6.5073741824,1,7.111111111111111,24.750754999999902,1,10139.676108502015,0.0,410792.0,1276464.0,328.6336,1021.1712,1590,0,0,0,,,,,,
mx_s4_dctcp,OK,64,64,56.61456378124999,57.167161,57.206707,57.307766,57.307766,4.584171006,9.368205209744174,0.9368205209744173,6.5073741824,1,7.111111111111111,0.0122339999997223,1,12470.36312429659,0.0,1134912.0,1276464.0,907.9296,1021.1712,5532,0,0,0,,,,,,
mx_s4_timely,OK,64,64,57.26668903125001,57.8278,57.849147,57.899885,57.899885,4.612941787,9.272400316511854,0.9272400316511854,6.5073741824,1,7.111111111111111,0.3801150000000142,1,3173.4077334686062,0.0,22176.0,1278816.0,17.7408,1023.0528,911,0,0,0,,,,,,
mx_s4_hpcc,OK,64,64,59.706044937499996,60.228095,60.303534,60.340659,60.340659,4.72729489,8.897332592937044,0.8897332592937044,6.5073741824,1,7.111111111111111,0.019341000000228092,1,668.9018416397121,0.0,2180.0,1296010.0,1.744,1036.808,127,0,0,0,,,,,,
mx_s4_cbapsba,OK,64,64,56.79305340625,56.80623,56.806707,56.844574,56.839574,4.607151866,9.444541039220384,0.9444541039220384,6.5073741824,1,7.111111111111111,0.0354260000001716,1,230.0693346715176,0.0,17816.0,28296.0,14.2528,22.6368,0,0,0,0,0.011395318803035712,0.13333336333333332,0.4,3,3:3,4607.2/0.0/0.0/0.0
mx_s5_dcqcn,OK,64,64,222.506383875,228.848789,229.360585,230.372164,230.372164,5.418589423,9.32180177810024,0.9321801778100239,6.2086333905454545,1,6.4,20.927836000000255,1,38759.197958663266,0.0,1064768.0,1279608.0,851.8144,1023.6863999999999,10096,0,0,0,,,,,,
mx_s5_dctcp,OK,64,64,227.7395099375,228.611994,228.63602,228.689095,228.689095,5.412006626,9.390406866580149,0.9390406866580149,6.2086333905454545,1,6.4,0.010904999999894471,1,47356.45636742728,0.0,1270176.0,1276464.0,1016.1408,1021.1712,22616,0,0,0,,,,,,
mx_s5_timely,OK,64,64,229.81642675,230.937709,230.989214,231.002136,231.002136,5.44603294,9.296380047325624,0.9296380047325623,6.2086333905454545,1,6.4,0.3778640000002831,1,5132.8845548075915,0.0,119328.0,1278816.0,95.4624,1023.0528,910,0,0,0,,,,,,
mx_s5_hpcc,OK,64,64,239.80864962500004,240.921474,240.970405,241.123617,241.123617,5.592362527,8.906152266287545,0.8906152266287546,6.2086333905454545,1,6.4,0.01638300000017523,1,1009.326712211187,0.0,18530.0,1296010.0,14.824,1036.808,127,0,0,0,,,,,,
mx_s5_cbapsba,OK,64,64,227.21938073437502,227.237487,227.237845,227.2639,227.2589,5.442822081,9.449295061820202,0.9449295061820202,6.2086333905454545,1,6.4,0.03609999999998337,1,1175.9191065318441,0.0,37728.0,48208.0,30.1824,38.566399999999994,0,0,0,0,0.11574871505146683,0.011111152972222222,0.4,36,3:36,5442.8/0.0/0.0/0.0
