arm,status,cc_mode,migrate,band,incast_flows_timed,FCT_mean_ms,FCT_p95_ms,FCT_p99_ms,FCT_max_ms,cct_reference_s,cct_reference_src,app_start_s,network_release_s,last_ack_s,has_admission_stage,CCT_ms,BCT_ms,admission_delay_us,injection_end_s,incast_bytes,batch_goodput_Gbps,utilisation_of_C,bg_cap_Gbps,bg_flow_id,bg_goodput_whole_Gbps,bg_retention_whole_pct,bg_rate_before_Gbps,bg_rate_during_Gbps,bg_retention_during_pct,bg_in_flow_timeseries,queue_mean_B,queue_p99_B,queue_p999_B,queue_max_B,qdelay_max_us,over_Q_abs_samples,queue_samples_inwindow,queue_mean_inwindow_B,queue_p99_inwindow_B,queue_max_inwindow_B,over_Q_abs_inwindow,pfc_events,retx_bytes,retx_events,headroom_drops,all_setrate_dispatch,win_setrate_dispatch,all_setrate_noop,win_setrate_noop,all_migration_dispatch,win_migration_dispatch,all_migration_noop,win_migration_noop,rate_transition_rows,bg_rows_all,bg_rows_win,bg_applied_min_Gbps,bg_applied_max_Gbps
d1_dcqcn,OK,1,-,-,64,54.27845368749998,57.753871,58.192546,58.372997,2.0,network_release_ns,1.899999999,2.0,2.058372997,0,58.372997,58.372997,0.0,2.058358813,67108864.0,9.197247693141403,0.9197247693141403,8.0,0,7.397988,92.47485,7.64088,0.23206837606837608,3.0371943554718315,1,18690.248460828203,967304.0,1273320.0,1279608.0,1023.6863999999999,1833,5851,958307.27191933,1275416.0,1279608.0,1833,0,0,0,0,,,,,,,,,,,,,
d2_caponly,OK,30,0,0,64,83.88579682812498,83.888878,83.889338,83.88942,2.0,application_ready_ns,1.899999999,2.000005,2.083949321,1,83.949321,83.944321,5.0,2.083904383,67108864.0,6.395178729319324,0.6395178729319324,8.0,0,7.452438631096578,93.15548288870723,7.64088,3.1511794871794874,41.24105452748227,1,1478.7582625275418,54496.0,61832.0,62880.0,50.303999999999995,0,5851,52871.071611690306,61832.0,62880.0,0,0,0,0,0,264,64,0,0,0,0,0,0,264,200,0,8.0,8.0
d3_capmig,OK,30,1,0,64,58.437982062500005,58.445592,58.44597,58.446052,2.0,application_ready_ns,1.899999999,2.000005,2.05849115,1,58.49115,58.48615,5.0,2.058475,67108864.0,9.178669114900288,0.9178669114900287,8.0,0,7.386214465536164,92.32768081920204,7.64088,0.09955555555555555,1.3029331118347043,1,22.759062530208436,1048.0,3144.0,9432.0,7.5456,0,5851,1166.92804648778,7336.0,9432.0,0,0,0,0,0,12872,12672,0,0,11784,11777,1,0,24657,263,55,0.100001899,8.0
d4_capmigband,OK,30,1,1,64,59.809999765624994,69.309173,71.198576,71.364367,2.0,application_ready_ns,1.899999999,2.000005,2.071410606,1,71.410606,71.405606,5.0,2.071396422,67108864.0,7.518083686336452,0.7518083686336452,8.0,0,7.339654349135873,91.74567936419841,7.64088,0.15808547008547008,2.0689432380232393,1,17778.81414271381,1121360.0,1188432.0,1196816.0,957.4528,3380,5851,911570.072808067,1192624.0,1196816.0,3380,0,0,0,0,12872,12672,0,0,14397,13641,27,0,27296,334,88,0.1,8.0
