flow_id,cell,role,setrate_dispatch,setrate_noop,migration_dispatch,migration_noop,setrate_dispatch_win,migration_dispatch_win,owner_before_cbap,owner_before_dcqcn,owner_after_cbap,owner_after_dcqcn,side_new,side_old,side_none,first_cmd_s,last_cmd_s,applied_min_Gbps,applied_max_Gbps,size_bytes,role_matches_size,total_dispatch,total_noop,migration_enabled_cfg,queue_band_cfg
0,d2_caponly,background,200,0,0,0,0,0,200,0,200,0,0,0,200,1.000005001,1.001000001,8.0,8.0,4000000000.0,1,200,0,0,0
1,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
2,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
3,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
4,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
5,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
6,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
7,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
8,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
9,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
10,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
11,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
12,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
13,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
14,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
15,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
16,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
17,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
18,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
19,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
20,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
21,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
22,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
23,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
24,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
25,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
26,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
27,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
28,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
29,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
30,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
31,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
32,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
33,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
34,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
35,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
36,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
37,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
38,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
39,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
40,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
41,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
42,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
43,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
44,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
45,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
46,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
47,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
48,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
49,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
50,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
51,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
52,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
53,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
54,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
55,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
56,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
57,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
58,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
59,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
60,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
61,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
62,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
63,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
64,d2_caponly,incast,1,0,0,0,1,0,1,0,1,0,0,0,1,2.000005001,2.000005001,0.1048,0.1048,1048576.0,1,1,0,0,0
0,d3_capmig,background,200,0,62,1,0,55,201,62,201,62,10,53,200,1.000005001,2.058535,0.100001899,8.0,4000000000.0,1,262,1,1,0
1,d3_capmig,incast,198,0,179,0,198,179,373,4,373,4,350,0,27,2.000005001,2.00102,0.1048,0.154686984,1048576.0,1,377,0,1,0
2,d3_capmig,incast,198,0,179,0,198,179,373,4,373,4,350,0,27,2.000005001,2.00102,0.1048,0.154686984,1048576.0,1,377,0,1,0
3,d3_capmig,incast,198,0,179,0,198,179,373,4,373,4,350,0,27,2.000005001,2.00102,0.1048,0.154686984,1048576.0,1,377,0,1,0
4,d3_capmig,incast,198,0,179,0,198,179,373,4,373,4,350,0,27,2.000005001,2.00102,0.1048,0.154686984,1048576.0,1,377,0,1,0
5,d3_capmig,incast,198,0,179,0,198,179,373,4,373,4,350,0,27,2.000005001,2.00102,0.1048,0.154686984,1048576.0,1,377,0,1,0
6,d3_capmig,incast,198,0,179,0,198,179,373,4,373,4,350,0,27,2.000005001,2.00102,0.1048,0.154686984,1048576.0,1,377,0,1,0
7,d3_capmig,incast,198,0,180,0,198,180,373,5,373,5,351,0,27,2.000005001,2.058455,0.1048,0.155998563,1048576.0,1,378,0,1,0
8,d3_capmig,incast,198,0,180,0,198,180,373,5,373,5,351,0,27,2.000005001,2.058455,0.1048,0.155998563,1048576.0,1,378,0,1,0
9,d3_capmig,incast,198,0,180,0,198,180,373,5,373,5,351,0,27,2.000005001,2.058455,0.1048,0.155998563,1048576.0,1,378,0,1,0
10,d3_capmig,incast,198,0,180,0,198,180,373,5,373,5,351,0,27,2.000005001,2.058455,0.1048,0.155998563,1048576.0,1,378,0,1,0
11,d3_capmig,incast,198,0,180,0,198,180,373,5,373,5,351,0,27,2.000005001,2.058455,0.1048,0.155998563,1048576.0,1,378,0,1,0
12,d3_capmig,incast,198,0,180,0,198,180,373,5,373,5,351,0,27,2.000005001,2.058455,0.1048,0.155998563,1048576.0,1,378,0,1,0
13,d3_capmig,incast,198,0,180,0,198,180,373,5,373,5,351,0,27,2.000005001,2.058455,0.1048,0.155998563,1048576.0,1,378,0,1,0
14,d3_capmig,incast,198,0,181,0,198,181,373,6,373,6,352,0,27,2.000005001,2.05846,0.1048,0.168514299,1048576.0,1,379,0,1,0
15,d3_capmig,incast,198,0,181,0,198,181,373,6,373,6,352,0,27,2.000005001,2.05846,0.1048,0.168514299,1048576.0,1,379,0,1,0
16,d3_capmig,incast,198,0,181,0,198,181,373,6,373,6,352,0,27,2.000005001,2.05846,0.1048,0.168514299,1048576.0,1,379,0,1,0
17,d3_capmig,incast,198,0,181,0,198,181,373,6,373,6,352,0,27,2.000005001,2.05846,0.1048,0.168514299,1048576.0,1,379,0,1,0
18,d3_capmig,incast,198,0,181,0,198,181,373,6,373,6,352,0,27,2.000005001,2.05846,0.1048,0.168514299,1048576.0,1,379,0,1,0
19,d3_capmig,incast,198,0,181,0,198,181,373,6,373,6,352,0,27,2.000005001,2.05846,0.1048,0.168514299,1048576.0,1,379,0,1,0
20,d3_capmig,incast,198,0,182,0,198,182,373,7,373,7,353,0,27,2.000005001,2.058465,0.1048,0.186053855,1048576.0,1,380,0,1,0
21,d3_capmig,incast,198,0,182,0,198,182,373,7,373,7,353,0,27,2.000005001,2.058465,0.1048,0.186053855,1048576.0,1,380,0,1,0
22,d3_capmig,incast,198,0,182,0,198,182,373,7,373,7,353,0,27,2.000005001,2.058465,0.1048,0.186053855,1048576.0,1,380,0,1,0
23,d3_capmig,incast,198,0,182,0,198,182,373,7,373,7,353,0,27,2.000005001,2.058465,0.1048,0.186053855,1048576.0,1,380,0,1,0
24,d3_capmig,incast,198,0,182,0,198,182,373,7,373,7,353,0,27,2.000005001,2.058465,0.1048,0.186053855,1048576.0,1,380,0,1,0
25,d3_capmig,incast,198,0,183,0,198,183,373,8,373,8,354,0,27,2.000005001,2.05847,0.1048,0.207213377,1048576.0,1,381,0,1,0
26,d3_capmig,incast,198,0,183,0,198,183,373,8,373,8,354,0,27,2.000005001,2.05847,0.1048,0.207213377,1048576.0,1,381,0,1,0
27,d3_capmig,incast,198,0,183,0,198,183,373,8,373,8,354,0,27,2.000005001,2.05847,0.1048,0.207213377,1048576.0,1,381,0,1,0
28,d3_capmig,incast,198,0,183,0,198,183,373,8,373,8,354,0,27,2.000005001,2.05847,0.1048,0.207213377,1048576.0,1,381,0,1,0
29,d3_capmig,incast,198,0,183,0,198,183,373,8,373,8,354,0,27,2.000005001,2.05847,0.1048,0.207213377,1048576.0,1,381,0,1,0
30,d3_capmig,incast,198,0,183,0,198,183,373,8,373,8,354,0,27,2.000005001,2.05847,0.1048,0.207213377,1048576.0,1,381,0,1,0
31,d3_capmig,incast,198,0,183,0,198,183,373,8,373,8,354,0,27,2.000005001,2.05847,0.1048,0.207213377,1048576.0,1,381,0,1,0
32,d3_capmig,incast,198,0,184,0,198,184,373,9,373,9,355,0,27,2.000005001,2.058475,0.1048,0.240275398,1048576.0,1,382,0,1,0
33,d3_capmig,incast,198,0,184,0,198,184,373,9,373,9,355,0,27,2.000005001,2.058475,0.1048,0.240275398,1048576.0,1,382,0,1,0
34,d3_capmig,incast,198,0,184,0,198,184,373,9,373,9,355,0,27,2.000005001,2.058475,0.1048,0.240275398,1048576.0,1,382,0,1,0
35,d3_capmig,incast,198,0,184,0,198,184,373,9,373,9,355,0,27,2.000005001,2.058475,0.1048,0.240275398,1048576.0,1,382,0,1,0
36,d3_capmig,incast,198,0,184,0,198,184,373,9,373,9,355,0,27,2.000005001,2.058475,0.1048,0.240275398,1048576.0,1,382,0,1,0
37,d3_capmig,incast,198,0,184,0,198,184,373,9,373,9,355,0,27,2.000005001,2.058475,0.1048,0.240275398,1048576.0,1,382,0,1,0
38,d3_capmig,incast,198,0,184,0,198,184,373,9,373,9,355,0,27,2.000005001,2.058475,0.1048,0.240275398,1048576.0,1,382,0,1,0
39,d3_capmig,incast,198,0,184,0,198,184,373,9,373,9,355,0,27,2.000005001,2.058475,0.1048,0.240275398,1048576.0,1,382,0,1,0
40,d3_capmig,incast,198,0,184,0,198,184,373,9,373,9,355,0,27,2.000005001,2.058475,0.1048,0.240275398,1048576.0,1,382,0,1,0
41,d3_capmig,incast,198,0,184,0,198,184,373,9,373,9,355,0,27,2.000005001,2.058475,0.1048,0.240275398,1048576.0,1,382,0,1,0
42,d3_capmig,incast,198,0,185,0,198,185,373,10,373,10,356,0,27,2.000005001,2.05848,0.1048,0.310809669,1048576.0,1,383,0,1,0
43,d3_capmig,incast,198,0,185,0,198,185,373,10,373,10,356,0,27,2.000005001,2.05848,0.1048,0.310809669,1048576.0,1,383,0,1,0
44,d3_capmig,incast,198,0,185,0,198,185,373,10,373,10,356,0,27,2.000005001,2.05848,0.1048,0.310809669,1048576.0,1,383,0,1,0
45,d3_capmig,incast,198,0,185,0,198,185,373,10,373,10,356,0,27,2.000005001,2.05848,0.1048,0.310809669,1048576.0,1,383,0,1,0
46,d3_capmig,incast,198,0,185,0,198,185,373,10,373,10,356,0,27,2.000005001,2.05848,0.1048,0.310809669,1048576.0,1,383,0,1,0
47,d3_capmig,incast,198,0,185,0,198,185,373,10,373,10,356,0,27,2.000005001,2.05848,0.1048,0.310809669,1048576.0,1,383,0,1,0
48,d3_capmig,incast,198,0,185,0,198,185,373,10,373,10,356,0,27,2.000005001,2.05848,0.1048,0.310809669,1048576.0,1,383,0,1,0
49,d3_capmig,incast,198,0,185,0,198,185,373,10,373,10,356,0,27,2.000005001,2.05848,0.1048,0.310809669,1048576.0,1,383,0,1,0
50,d3_capmig,incast,198,0,185,0,198,185,373,10,373,10,356,0,27,2.000005001,2.05848,0.1048,0.310809669,1048576.0,1,383,0,1,0
51,d3_capmig,incast,198,0,185,0,198,185,373,10,373,10,356,0,27,2.000005001,2.05848,0.1048,0.310809669,1048576.0,1,383,0,1,0
52,d3_capmig,incast,198,0,186,0,198,186,373,11,373,11,357,0,27,2.000005001,2.058485,0.1048,0.481889726,1048576.0,1,384,0,1,0
53,d3_capmig,incast,198,0,186,0,198,186,373,11,373,11,357,0,27,2.000005001,2.058485,0.1048,0.481889726,1048576.0,1,384,0,1,0
54,d3_capmig,incast,198,0,186,0,198,186,373,11,373,11,357,0,27,2.000005001,2.058485,0.1048,0.481889726,1048576.0,1,384,0,1,0
55,d3_capmig,incast,198,0,186,0,198,186,373,11,373,11,357,0,27,2.000005001,2.058485,0.1048,0.481889726,1048576.0,1,384,0,1,0
56,d3_capmig,incast,198,0,186,0,198,186,373,11,373,11,357,0,27,2.000005001,2.058485,0.1048,0.481889726,1048576.0,1,384,0,1,0
57,d3_capmig,incast,198,0,186,0,198,186,373,11,373,11,357,0,27,2.000005001,2.058485,0.1048,0.481889726,1048576.0,1,384,0,1,0
58,d3_capmig,incast,198,0,186,0,198,186,373,11,373,11,357,0,27,2.000005001,2.058485,0.1048,0.481889726,1048576.0,1,384,0,1,0
59,d3_capmig,incast,198,0,186,0,198,186,373,11,373,11,357,0,27,2.000005001,2.058485,0.1048,0.481889726,1048576.0,1,384,0,1,0
60,d3_capmig,incast,198,0,186,0,198,186,373,11,373,11,357,0,27,2.000005001,2.058485,0.1048,0.481889726,1048576.0,1,384,0,1,0
61,d3_capmig,incast,198,0,186,0,198,186,373,11,373,11,357,0,27,2.000005001,2.058485,0.1048,0.481889726,1048576.0,1,384,0,1,0
62,d3_capmig,incast,198,0,187,0,198,187,373,12,373,12,358,0,27,2.000005001,2.05849,0.1048,1.573542288,1048576.0,1,385,0,1,0
