arm,status,q_abs_B,scenario,incast_expected,incast_completed,FCT_mean_ms,FCT_p95_ms,FCT_p99_ms,CCT_ms,BCT_ms,batch_goodput_Gbps,utilisation_of_C,total_goodput_Gbps,bg_full_Gbps,bg_inwin_Gbps,bg_outwin_Gbps,bg_prehandoff_Gbps,bg_recovery_ms,queue_mean_B,queue_p95_B,queue_p99_B,queue_max_B,qdelay_mean_us,qdelay_p95_us,qdelay_p99_us,qdelay_max_us,over_qlow_ms,over_qlow_longest_ms,over_qhigh_ms,over_qhigh_longest_ms,over_qred_ms,over_qred_longest_ms,over_qabs_ms,over_qabs_longest_ms,pfc_events,retx_events,headroom_drops,boost_duty_pct,boost_mean_Gbps,boost_max_Gbps,lease_grants,veto_counts,zone_GREEN_ms,zone_HOLD_ms,zone_DRAIN_ms,zone_RED_ms
s4v_d1,OK,1048575.0,s4_fan64_1m_bg95,64,64,54.328547109374995,58.122813,58.451522,59.069245,59.069245,9.088839919995591,0.908883991999559,6.5073741824,7.111111111111111,0.2000677277345069,7.203020982044343,10.0,24.750754999999902,10139.676108502015,0.0,410792.0,1276464.0,8.111740886801611,0.0,328.6336,1021.1712,54.42999999999998,54.42999999999998,36.34000000000049,18.39999999999975,30.19000000000016,17.47999999999994,15.900000000000247,15.880000000000116,0,0,0,,,,,,,,,
s4v_d3,OK,1048575.0,s4_fan64_1m_bg95,64,64,58.43882020312499,58.446812,58.447289,58.492478,58.487478,9.178460724471273,0.9178460724471273,6.5073741824,7.111111111111111,0.10054719562243525,7.203416848286171,9.5,0.04752200000002205,15.510748201360366,0.0,0.0,12576.0,0.012408598561088292,0.0,0.0,10.0608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,
s4v_b040,OK,1048575.0,s4_fan64_1m_bg95,64,64,56.79305340625,56.80623,56.806707,56.844574,56.839574,9.444541039220384,0.9444541039220384,6.5073741824,7.111111111111111,0.10105559465165416,7.200788627913465,9.5,0.0354260000001716,230.0693346715176,0.0,17816.0,28296.0,0.1840554677372141,0.0,14.2528,22.6368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.011395318803035712,0.13333336333333332,0.4,3,3:3,4607.155000000001,0.0,0.0,0.0
s5v_d1,OK,1048575.0,s5_fan64_4m_bg80,64,64,222.506383875,228.848789,229.360585,230.372164,230.372164,9.32180177810024,0.9321801778100239,6.2086333905454545,6.4,0.18086473346067017,6.700366484682282,10.0,20.927836000000255,38759.197958663266,0.0,1064768.0,1279608.0,31.007358366930617,0.0,851.8144,1023.6863999999999,222.5900000000003,220.95000000000022,210.91000000000014,187.71000000000004,186.78000000000105,98.55000000000035,100.95999999999839,18.299999999999983,0,0,0,,,,,,,,,
s5v_d3,OK,1048575.0,s5_fan64_4m_bg80,64,64,233.90388421874997,233.911572,233.91193,233.955139,233.950139,9.179040294558352,0.9179040294558352,6.2086333905454545,6.4,0.09650337693425663,6.709404413708599,8.0,0.04486100000011817,42.37304395507326,0.0,2096.0,9432.0,0.03389843516405861,0.0,1.6768,7.5456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,
s5v_b040,OK,1048575.0,s5_fan64_4m_bg80,64,64,227.21938073437502,227.237487,227.237845,227.2639,227.2589,9.449295061820202,0.9449295061820202,6.2086333905454545,6.4,0.09687582504620268,6.700131161554997,8.0,0.03609999999998337,1175.9191065318441,0.0,37728.0,48208.0,0.9407352852254753,0.0,30.1824,38.566399999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.11574871505146683,0.011111152972222222,0.4,36,3:36,5442.825,0.0,0.0,0.0
