scenario,algorithm,seed,group_id,round_id,common_release_time,barrier_completion_time,group_rct,total_round_bytes,participant_count,residual_queue_bytes,bottleneck_capacity_bps,background_bps,T_line,T_link,T_star,theoretical_lower_bound,lower_bound_efficiency,group_queue_max_bytes,group_ecn_marks,group_pfc_events,fallback_reason
fm400g_s2_dctcp,dctcp,2,0,0,0.010000000,0.000000000,0.000000000,2355879564,1,0,0,0,0.047117591,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,not_bop
fm400g_s2_dctcp,dctcp,2,1,0,0.020000000,0.025969993,0.005969993,268435456,64,0,0,0,0.000083886,0.000000000,0.000000000,0.000000000,0.000000000,22804000,287804,0,not_bop
