# WITHDRAWN_INVALID_MODEL: uniform re-phase is not a valid
# counterfactual for a saturated serializer; superseded by
# analysis/s3_event_gap/.  Retained for provenance only.
trial,mode,packets,span_ns,busy_ns,busy_fraction,gap_count,gap_total_ns,gap_fraction,gap_p95_ns,gap_max_ns,real_busy_fraction,improvement_vs_real,evidence
32,uniform_rephase,66676,58372997,36041777,0.617439208,25580,22328826,0.382519786,2591,9319,0.957197521,-0.339758313,OFFLINE_COUNTERFACTUAL
33,uniform_rephase,66676,58372997,35960496,0.616046765,25483,22411032,0.383928069,2604,9179,0.957197521,-0.341150756,OFFLINE_COUNTERFACTUAL
34,uniform_rephase,66676,58372997,36053326,0.617637053,25641,22319151,0.382354043,2587,7651,0.957197521,-0.339560468,OFFLINE_COUNTERFACTUAL
35,uniform_rephase,66676,58372997,35974090,0.616279646,25805,22398729,0.383717312,2592,9451,0.957197521,-0.340917875,OFFLINE_COUNTERFACTUAL
36,uniform_rephase,66676,58372997,36002335,0.616763511,25623,22368123,0.383192979,2627,8659,0.957197521,-0.340434009,OFFLINE_COUNTERFACTUAL
37,uniform_rephase,66676,58372997,35926254,0.615460156,25523,22445184,0.384513134,2647,8310,0.957197521,-0.341737364,OFFLINE_COUNTERFACTUAL
38,uniform_rephase,66676,58372997,35951937,0.615900134,25496,22419293,0.384069589,2598,10382,0.957197521,-0.341297386,OFFLINE_COUNTERFACTUAL
39,uniform_rephase,66676,58372997,36014839,0.616977726,25577,22356742,0.382998012,2632,10635,0.957197521,-0.340219795,OFFLINE_COUNTERFACTUAL
40,uniform_rephase,66676,58372997,35951488,0.615892453,25513,22420348,0.384087660,2620,11243,0.957197521,-0.341305067,OFFLINE_COUNTERFACTUAL
41,uniform_rephase,66676,58372997,35921963,0.615386656,25500,22450552,0.384605097,2630,9393,0.957197521,-0.341810864,OFFLINE_COUNTERFACTUAL
42,uniform_rephase,66676,58372997,35989292,0.616540078,25586,22382699,0.383442695,2605,9981,0.957197521,-0.340657443,OFFLINE_COUNTERFACTUAL
43,uniform_rephase,66676,58372997,35949935,0.615865835,25605,22418871,0.384062360,2640,7763,0.957197521,-0.341331686,OFFLINE_COUNTERFACTUAL
44,uniform_rephase,66676,58372997,35962140,0.616074930,25473,22408251,0.383880422,2607,8537,0.957197521,-0.341122590,OFFLINE_COUNTERFACTUAL
45,uniform_rephase,66676,58372997,35930412,0.615531396,25550,22441815,0.384455418,2652,9620,0.957197521,-0.341666124,OFFLINE_COUNTERFACTUAL
46,uniform_rephase,66676,58372997,36012138,0.616931464,25657,22359205,0.383040202,2606,8674,0.957197521,-0.340266057,OFFLINE_COUNTERFACTUAL
47,uniform_rephase,66676,58372997,35972027,0.616244306,25707,22400167,0.383741932,2603,10345,0.957197521,-0.340953215,OFFLINE_COUNTERFACTUAL
48,uniform_rephase,66676,58372997,35919605,0.615346255,25533,22450725,0.384608066,2627,9023,0.957197521,-0.341851266,OFFLINE_COUNTERFACTUAL
49,uniform_rephase,66676,58372997,36007246,0.616847658,25547,22363237,0.383109288,2623,9086,0.957197521,-0.340349863,OFFLINE_COUNTERFACTUAL
