algorithm,n_runs,metric,value
dcqcn,1,incast_n,16.000000
dcqcn,1,incast_done,16.000000
dcqcn,1,completion_rate_pct,100.000000
dcqcn,1,fct_mean_ms,17.398942
dcqcn,1,fct_p50_ms,17.560099
dcqcn,1,fct_p95_ms,17.624192
dcqcn,1,fct_p99_ms,17.624786
dcqcn,1,fct_min_ms,17.113136
dcqcn,1,fct_max_ms,17.624935
dcqcn,1,cct_ms,117.624935
dcqcn,1,incast_agg_gbps,1.903805
dcqcn,1,incast_fairness_jain,0.999846
dcqcn,1,bg_completed,0.000000
dcqcn,1,bg_before_gbps,7.640882
dcqcn,1,bg_during_gbps,7.640877
dcqcn,1,bg_after_gbps,7.640904
dcqcn,1,bg_min_gbps,7.636364
dcqcn,1,bg_drop_pct,0.059129
dcqcn,1,bg_retention_pct,99.999945
dcqcn,1,bg_recovery90_ms,0.000000
dcqcn,1,bg_recovery90_ms_never_dipped,1.000000
dcqcn,1,bg_recovery95_ms,0.000000
dcqcn,1,bg_recovery95_ms_never_dipped,1.000000
dcqcn,1,bg_service_debt_bytes,2949403000.000000
dcqcn,1,bg_retx_bytes,0.000000
dcqcn,1,bg_retx_events,0.000000
dcqcn,1,bg_n_flows,1.000000
dcqcn,1,bg_service_debt_window_s,2.100000
dcqcn,1,bg0_observation_end_s,2.099980
dcqcn,1,bg0_bg_completed_before_end,0.000000
dcqcn,1,total_acked_bytes,1054810304.000000
dcqcn,1,util_mean,0.830666
dcqcn,1,queue_mean_bytes,45196.184647
dcqcn,1,queue_p95_bytes,315448.000000
dcqcn,1,queue_p99_bytes,315448.000000
dcqcn,1,queue_peak_bytes,316496.000000
dcqcn,1,over_qmin_pct,14.248066
dcqcn,1,over_qmax_pct,0.000000
dcqcn,1,queue_recovery_ms,16.450000
dcqcn,1,queue_final_bytes,0.000000
dcqcn,1,queue_drained,1.000000
dcqcn,1,ecn_marks,0.000000
dcqcn,1,pfc_events,0.000000
dcqcn,1,pfc_paused_samples,0.000000
dcqcn,1,pfc_pause_total_ns,0.000000
dcqcn,1,drops,0.000000
dcqcn,1,retx_bytes_total,0.000000
dcqcn,1,retx_events_total,0.000000
dcqcn,1,oversub_peak_bytes,0.000000
dcqcn,1,oversub_peak_ratio,0.791240
dcqcn,1,oversub_duration_ms,0.000000
dcqcn,1,oversub_longest_run_ms,0.000000
dcqcn,1,qmax_exceed_ratio,0.791240
dcqcn,1,recovery_rtts,1082.236842
dcqcn,1,qmax_bytes,400000.000000
dcqcn,1,qmin_bytes,200000.000000
dcqcn,1,n_links,1.000000
dctcp,1,incast_n,16.000000
dctcp,1,incast_done,16.000000
dctcp,1,completion_rate_pct,100.000000
dctcp,1,fct_mean_ms,17.398942
dctcp,1,fct_p50_ms,17.560099
dctcp,1,fct_p95_ms,17.624192
dctcp,1,fct_p99_ms,17.624786
dctcp,1,fct_min_ms,17.113136
dctcp,1,fct_max_ms,17.624935
dctcp,1,cct_ms,117.624935
dctcp,1,incast_agg_gbps,1.903805
dctcp,1,incast_fairness_jain,0.999846
dctcp,1,bg_completed,0.000000
dctcp,1,bg_before_gbps,7.640882
dctcp,1,bg_during_gbps,7.640877
dctcp,1,bg_after_gbps,7.640904
dctcp,1,bg_min_gbps,7.636364
