time_ns,node_id,if_index,q_index,event_type
20867879,87,17,3,1
20867942,86,17,3,1
20867984,88,17,3,1
20867984,85,17,3,1
20884374,87,17,3,0
20884416,88,17,3,0
20884437,86,17,3,0
20884479,85,17,3,0
20889761,87,17,3,1
20889824,86,17,3,1
20889824,88,17,3,1
20889887,85,17,3,1
20906172,87,17,3,0
20906235,86,17,3,0
20906298,88,17,3,0
20906361,85,17,3,0
20911601,87,17,3,1
20911643,86,17,3,1
20911685,88,17,3,1
20911748,85,17,3,1
20928012,88,17,3,0
20928075,85,17,3,0
20928201,86,17,3,0
20928222,87,17,3,0
20933441,88,17,3,1
20933483,85,17,3,1
20933609,87,17,3,1
20933609,86,17,3,1
20949915,85,17,3,0
20949936,88,17,3,0
20949978,87,17,3,0
20950209,86,17,3,0
20955323,88,17,3,1
20955323,85,17,3,1
20955365,87,17,3,1
20955659,86,17,3,1
20971797,87,17,3,0
20971923,88,17,3,0
20971986,85,17,3,0
20972028,86,17,3,0
20977247,87,17,3,1
20977331,88,17,3,1
20977373,85,17,3,1
20977394,86,17,3,1
20993679,85,17,3,0
20993700,88,17,3,0
20993826,87,17,3,0
20993889,86,17,3,0
20999087,88,17,3,1
20999087,85,17,3,1
20999192,87,17,3,1
20999276,86,17,3,1
21015519,88,17,3,0
21015582,85,17,3,0
21015645,87,17,3,0
21015708,86,17,3,0
21020927,88,17,3,1
21020990,85,17,3,1
21021053,87,17,3,1
21021116,86,17,3,1
21037401,88,17,3,0
21037464,85,17,3,0
21037527,87,17,3,0
21037590,86,17,3,0
21042830,88,17,3,1
21042872,85,17,3,1
21042914,87,17,3,1
21042977,86,17,3,1
21059199,86,17,3,0
21059346,85,17,3,0
21059409,87,17,3,0
21059472,88,17,3,0
21064607,86,17,3,1
21064712,85,17,3,1
21064775,87,17,3,1
21064880,88,17,3,1
21081123,87,17,3,0
21081144,86,17,3,0
21081186,85,17,3,0
21081249,88,17,3,0
21086489,86,17,3,1
21086489,87,17,3,1
21086615,88,17,3,1
21086615,85,17,3,1
21102837,87,17,3,0
21102942,86,17,3,0
21102963,88,17,3,0
21102984,85,17,3,0
21108245,87,17,3,1
21108287,88,17,3,1
21108329,86,17,3,1
21108350,85,17,3,1
21124635,88,17,3,0
21124677,87,17,3,0
21124698,86,17,3,0
21124740,85,17,3,0
21130001,87,17,3,1
21130001,88,17,3,1
21130085,86,17,3,1
21130169,85,17,3,1
21146412,87,17,3,0
21146433,86,17,3,0
21146454,85,17,3,0
21146475,88,17,3,0
21151736,85,17,3,1
21151757,87,17,3,1
21151883,86,17,3,1
21151925,88,17,3,1
21168189,87,17,3,0
21168210,85,17,3,0
21168252,86,17,3,0
21168315,88,17,3,0
21173555,85,17,3,1
21173618,86,17,3,1
21173639,88,17,3,1
21173681,87,17,3,1
21189987,88,17,3,0
21190008,86,17,3,0
21190029,85,17,3,0
21190050,87,17,3,0
21195332,86,17,3,1
21195332,88,17,3,1
21195374,85,17,3,1
21195521,87,17,3,1
21211701,88,17,3,0
21211722,86,17,3,0
21211764,85,17,3,0
21211827,87,17,3,0
21217067,86,17,3,1
21217067,88,17,3,1
21217151,87,17,3,1
21217214,85,17,3,1
21233436,86,17,3,0
21233478,88,17,3,0
21233541,87,17,3,0
21233583,85,17,3,0
21238802,86,17,3,1
21238844,87,17,3,1
21238991,88,17,3,1
21239012,85,17,3,1
21255297,88,17,3,0
21255339,87,17,3,0
21255360,85,17,3,0
21255486,86,17,3,0
21260621,88,17,3,1
21260705,85,17,3,1
21260726,87,17,3,1
21260999,86,17,3,1
21277137,87,17,3,0
21277158,88,17,3,0
21277263,86,17,3,0
21277284,85,17,3,0
21282524,88,17,3,1
21282524,87,17,3,1
21282629,86,17,3,1
21282650,85,17,3,1
21298809,88,17,3,0
21298914,86,17,3,0
21298956,85,17,3,0
21299103,87,17,3,0
21304217,88,17,3,1
21304238,86,17,3,1
21304343,85,17,3,1
21304616,87,17,3,1
21320733,86,17,3,0
21320796,85,17,3,0
21320922,87,17,3,0
21320943,88,17,3,0
21326141,86,17,3,1
21326204,85,17,3,1
21326246,87,17,3,1
21326351,88,17,3,1
21342552,87,17,3,0
21342678,86,17,3,0
21342699,88,17,3,0
21342741,85,17,3,0
21347939,87,17,3,1
21348044,86,17,3,1
21348065,88,17,3,1
21348149,85,17,3,1
21364224,87,17,3,0
21364287,86,17,3,0
21364518,88,17,3,0
21364665,85,17,3,0
21369653,87,17,3,1
21369716,86,17,3,1
21369905,88,17,3,1
21370094,85,17,3,1
21385917,88,17,3,0
21386253,85,17,3,0
21386568,86,17,3,0
21386631,87,17,3,0
21391430,88,17,3,1
21391661,85,17,3,1
21391934,86,17,3,1
21391997,87,17,3,1
21407988,85,17,3,0
21408114,87,17,3,0
21408219,88,17,3,0
21408681,86,17,3,0
21413417,85,17,3,1
21413522,87,17,3,1
21413564,88,17,3,1
21414152,86,17,3,1
21429807,87,17,3,0
21430206,88,17,3,0
21430332,86,17,3,0
21430437,85,17,3,0
21435299,87,17,3,1
21435614,88,17,3,1
21435698,86,17,3,1
21435908,85,17,3,1
21451899,88,17,3,0
21452172,85,17,3,0
21452277,86,17,3,0
21452382,87,17,3,0
21457328,88,17,3,1
21457475,85,17,3,1
21457643,86,17,3,1
21457685,87,17,3,1
21473739,88,17,3,0
21473802,85,17,3,0
21473928,86,17,3,0
21473949,87,17,3,0
21479105,88,17,3,1
21479189,85,17,3,1
21479336,87,17,3,1
21479336,86,17,3,1
21495453,88,17,3,0
21495600,85,17,3,0
21495747,87,17,3,0
21495810,86,17,3,0
21500882,88,17,3,1
21501008,85,17,3,1
21501134,87,17,3,1
21501386,86,17,3,1
21517566,85,17,3,0
21517587,86,17,3,0
21517713,87,17,3,0
21517944,88,17,3,0
21522890,86,17,3,1
21522953,85,17,3,1
21523184,87,17,3,1
21523310,88,17,3,1
21539448,86,17,3,0
21539511,85,17,3,0
21539553,87,17,3,0
21539574,88,17,3,0
21544772,86,17,3,1
21544898,85,17,3,1
21544961,88,17,3,1
21544961,87,17,3,1
21561246,85,17,3,0
21561267,88,17,3,0
21561288,86,17,3,0
21561309,87,17,3,0
21566612,87,17,3,1
21566612,85,17,3,1
21566675,86,17,3,1
21566675,88,17,3,1
21582960,87,17,3,0
21583002,85,17,3,0
21583023,86,17,3,0
21583065,88,17,3,0
21588305,87,17,3,1
21588368,88,17,3,1
21588431,86,17,3,1
21588473,85,17,3,1
21604737,87,17,3,0
21604779,85,17,3,0
21604800,86,17,3,0
21604842,88,17,3,0
21610061,85,17,3,1
21610082,87,17,3,1
21610229,86,17,3,1
21610250,88,17,3,1
21626430,85,17,3,0
21626451,87,17,3,0
21626556,88,17,3,0
21626577,86,17,3,0
21631754,85,17,3,1
21631880,87,17,3,1
21631943,86,17,3,1
21631943,88,17,3,1
21648249,87,17,3,0
21648270,85,17,3,0
21648291,86,17,3,0
21648312,88,17,3,0
21653594,85,17,3,1
21653615,86,17,3,1
21653657,88,17,3,1
21653720,87,17,3,1
21669942,85,17,3,0
21669963,86,17,3,0
21669984,88,17,3,0
21670089,87,17,3,0
21675308,88,17,3,1
21675329,86,17,3,1
21675392,85,17,3,1
21675413,87,17,3,1
21691614,88,17,3,0
21691635,86,17,3,0
21691761,87,17,3,0
21691824,85,17,3,0
21696959,86,17,3,1
21697064,87,17,3,1
21697106,88,17,3,1
21697274,85,17,3,1
21713349,88,17,3,0
21713412,87,17,3,0
21713559,85,17,3,0
21713874,86,17,3,0
21718736,88,17,3,1
21718841,87,17,3,1
21718904,85,17,3,1
21719408,86,17,3,1
21735252,87,17,3,0
21735399,88,17,3,0
21735609,85,17,3,0
21735630,86,17,3,0
21740660,87,17,3,1
21740828,88,17,3,1
21740975,85,17,3,1
21740996,86,17,3,1
21757134,86,17,3,0
21757155,88,17,3,0
21757197,85,17,3,0
21757785,87,17,3,0
21762479,86,17,3,1
21762500,88,17,3,1
21762605,85,17,3,1
21763319,87,17,3,1
21778890,86,17,3,0
21778953,85,17,3,0
21779415,88,17,3,0
21779436,87,17,3,0
21784298,86,17,3,1
21784382,85,17,3,1
21784802,88,17,3,1
21784865,87,17,3,1
21801066,88,17,3,0
21801087,86,17,3,0
21801108,87,17,3,0
21801234,85,17,3,0
21806411,88,17,3,1
21806453,87,17,3,1
21806516,86,17,3,1
21806579,85,17,3,1
21815220,86,17,3,0
21822318,87,17,3,0
21822864,88,17,3,0
21823263,85,17,3,0
21827789,87,17,3,1
21828776,88,17,3,1
21828986,85,17,3,1
21844431,88,17,3,0
21844746,85,17,3,0
21845313,87,17,3,0
21849818,88,17,3,1
21850427,85,17,3,1
21851099,87,17,3,1
21866082,85,17,3,0
21866124,88,17,3,0
21866901,87,17,3,0
21871532,85,17,3,1
21871616,88,17,3,1
21872792,87,17,3,1
21888132,88,17,3,0
21888657,87,17,3,0
21889035,85,17,3,0
21893813,88,17,3,1
21893897,87,17,3,1
21894926,85,17,3,1
21908985,88,17,3,0
21910854,87,17,3,0
21910896,85,17,3,0
21914792,88,17,3,1
21916388,85,17,3,1
21916388,87,17,3,1
21931728,88,17,3,0
21932211,85,17,3,0
21932253,87,17,3,0
21937178,88,17,3,1
21937661,85,17,3,1
21937766,87,17,3,1
