flow_id,round_id,total_feedback,int_hop_count,actionable_feedback,late_same_round_feedback,stale_older_round_feedback,feedback_during_off,live_rate_changes_during_off,first_feedback_time,last_feedback_time,mean_remaining_unsent_ratio,min_remaining_unsent_ratio,mean_remaining_unsent_bytes,min_remaining_unsent_bytes,max_normalized_load,mean_normalized_load,first_rate_before,last_rate_after,feedback_changed_live_rate,late_action_ratio,actionable_byte_ratio
29,0,4406,3,4392,14,0,14,10,0.020012559,0.026064170,0.446931692,0.000000000,1874567.384,0,18.462224129,6.361102652,400000000000,10050481751,2673,0.002269632,0.446931692
30,0,4406,3,4385,21,0,21,1,0.020012601,0.026161038,0.445573942,0.000000000,1868872.568,0,18.329102463,6.763966191,400000000000,13842998997,2095,0.000226963,0.445573942
31,0,4406,3,4393,13,0,13,1,0.020012538,0.025993766,0.445426005,0.000000000,1868252.073,0,18.485148224,6.207813274,400000000000,8608867955,2655,0.000226963,0.445426005
32,0,4406,3,4397,9,0,9,1,0.020012433,0.025750574,0.433704783,0.000000000,1819089.705,0,18.464065802,5.773178831,400000000000,5880499675,2536,0.000226963,0.433704783
33,0,4406,3,4391,15,0,15,7,0.020012664,0.026124920,0.446838049,0.000000000,1874174.618,0,18.458801172,6.367968317,400000000000,13566691622,2631,0.001588743,0.446838049
34,0,4406,3,4397,9,0,9,9,0.020012517,0.025715589,0.433670937,0.000000000,1818947.748,0,18.483476187,5.775326506,400000000000,5825054665,2558,0.002042669,0.433670937
35,0,4406,3,4395,11,0,11,1,0.020012643,0.025955673,0.436344015,0.000000000,1830159.446,0,18.461888765,6.127658860,400000000000,7328879821,2616,0.000226963,0.436344015
36,0,4406,3,4394,12,0,12,12,0.020013651,0.025900624,0.435913104,0.000000000,1828352.076,0,18.456168984,6.168541957,400000000000,7620630212,2668,0.002723559,0.435913104
37,0,4406,3,4397,9,0,9,1,0.020012622,0.025751992,0.433636989,0.000000000,1818805.358,0,18.473547837,5.778982858,400000000000,5912164287,2544,0.000226963,0.433636989
38,0,4406,3,4395,11,0,11,11,0.020012748,0.025905788,0.436403566,0.000000000,1830409.222,0,18.481335691,6.131939858,400000000000,7292926130,2652,0.002496596,0.436403566
39,0,4406,3,4393,13,0,13,6,0.020012769,0.026045913,0.446750040,0.000000000,1873805.478,0,18.471506656,6.366266565,400000000000,10316016679,2697,0.001361779,0.446750040
40,0,4406,3,4395,11,0,11,1,0.020013756,0.025937827,0.435917729,0.000000000,1828371.475,0,18.449874861,6.166768245,400000000000,7268127933,2651,0.000226963,0.435917729
41,0,4406,3,4396,10,0,10,1,0.020012727,0.025834780,0.436528066,0.000000000,1830931.414,0,18.467080008,5.136256263,400000000000,6701020649,2839,0.000226963,0.436528066
42,0,4406,3,4396,10,0,10,1,0.020013735,0.025809985,0.435184301,0.000000000,1825295.254,0,18.476472300,5.171143426,400000000000,6766262976,2948,0.000226963,0.435184301
43,0,4406,3,4393,13,0,13,1,0.020012853,0.026010127,0.445111197,0.000000000,1866931.675,0,18.426973251,6.201423009,400000000000,8869984677,2666,0.000226963,0.445111197
44,0,4406,3,4396,10,0,10,1,0.020014743,0.025809800,0.435192337,0.000000000,1825328.961,0,18.470057141,5.165142255,400000000000,6744087586,2948,0.000226963,0.435192337
45,0,4406,3,4395,11,0,11,1,0.020012832,0.025930018,0.436343963,0.000000000,1830159.230,0,18.465363670,5.330780058,400000000000,7252880995,2656,0.000226963,0.436343963
46,0,4406,3,4379,27,0,27,1,0.020012706,0.026228205,0.442398325,0.000000000,1855553.062,0,19.197366191,6.830674430,400000000000,18544936497,2007,0.000226963,0.442398325
