flow_id,round_id,total_feedback,int_hop_count,actionable_feedback,late_same_round_feedback,stale_older_round_feedback,feedback_during_off,live_rate_changes_during_off,first_feedback_time,last_feedback_time,mean_remaining_unsent_ratio,min_remaining_unsent_ratio,mean_remaining_unsent_bytes,min_remaining_unsent_bytes,max_normalized_load,mean_normalized_load,first_rate_before,last_rate_after,feedback_changed_live_rate,late_action_ratio,actionable_byte_ratio
0,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000,0,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000
1,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000,0,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000
2,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000,0,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000
3,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000,0,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000
4,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000,0,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000
5,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000,0,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000
6,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000,0,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000
7,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000,0,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000
8,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000,0,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000
9,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000,0,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000
10,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000,0,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000
11,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000,0,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000
12,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000,0,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000
13,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000,0,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000
14,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000,0,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000
15,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000,0,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000
16,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000,0,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000
17,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000,0,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000
18,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000,0,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000
19,0,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000,0,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000
