algorithm,n_runs,metric,value
timely,1,queue_p99_bytes,1280928.000000
timely,1,queue_peak_bytes,1280928.000000
timely,1,over_qmin_pct,40.964702
timely,1,over_qmax_pct,40.461277
timely,1,queue_recovery_ms,69.680000
timely,1,queue_final_bytes,0.000000
timely,1,queue_drained,1.000000
timely,1,ecn_marks,2296.000000
timely,1,pfc_events,0.000000
timely,1,pfc_paused_samples,0.000000
timely,1,pfc_pause_total_ns,0.000000
timely,1,drops,0.000000
timely,1,retx_bytes_total,0.000000
timely,1,retx_events_total,0.000000
timely,1,oversub_peak_bytes,880928.000000
timely,1,oversub_peak_ratio,3.202320
timely,1,oversub_duration_ms,69.120000
timely,1,oversub_longest_run_ms,69.120000
timely,1,qmax_exceed_ratio,3.202320
timely,1,recovery_rtts,4584.210526
timely,1,qmax_bytes,400000.000000
timely,1,qmin_bytes,200000.000000
timely,1,n_links,1.000000
hpcc,1,incast_n,64.000000
hpcc,1,incast_done,64.000000
hpcc,1,completion_rate_pct,100.000000
hpcc,1,fct_mean_ms,14.802668
hpcc,1,fct_p50_ms,14.857330
hpcc,1,fct_p95_ms,15.088772
hpcc,1,fct_p99_ms,15.117964
hpcc,1,fct_min_ms,13.975734
hpcc,1,fct_max_ms,15.129395
hpcc,1,cct_ms,115.129395
hpcc,1,incast_agg_gbps,8.871322
hpcc,1,incast_fairness_jain,0.999743
hpcc,1,bg_completed,0.000000
hpcc,1,bg_before_gbps,7.346198
hpcc,1,bg_during_gbps,6.398958
hpcc,1,bg_after_gbps,7.346077
hpcc,1,bg_min_gbps,0.092929
hpcc,1,bg_drop_pct,98.735001
hpcc,1,bg_retention_pct,87.105707
hpcc,1,bg_recovery90_ms,116.000000
hpcc,1,bg_recovery90_ms_never_dipped,0.000000
hpcc,1,bg_recovery95_ms,116.000000
hpcc,1,bg_recovery95_ms_never_dipped,0.000000
hpcc,1,bg_service_debt_bytes,2636261000.000000
hpcc,1,bg_retx_bytes,0.000000
hpcc,1,bg_retx_events,0.000000
hpcc,1,bg_n_flows,1.000000
hpcc,1,bg_service_debt_window_s,2.500000
hpcc,1,bg0_observation_end_s,2.499980
hpcc,1,bg0_bg_completed_before_end,0.000000
hpcc,1,total_acked_bytes,1380534216.000000
hpcc,1,util_mean,0.824583
hpcc,1,queue_mean_bytes,26397.095457
hpcc,1,queue_p95_bytes,21800.000000
hpcc,1,queue_p99_bytes,1079928.400000
hpcc,1,queue_peak_bytes,1291650.000000
hpcc,1,over_qmin_pct,2.944498
hpcc,1,over_qmax_pct,2.510206
hpcc,1,queue_recovery_ms,3.010000
hpcc,1,queue_final_bytes,0.000000
hpcc,1,queue_drained,1.000000
hpcc,1,ecn_marks,274.000000
hpcc,1,pfc_events,0.000000
hpcc,1,pfc_paused_samples,0.000000
hpcc,1,pfc_pause_total_ns,0.000000
hpcc,1,drops,0.000000
hpcc,1,retx_bytes_total,0.000000
hpcc,1,retx_events_total,0.000000
hpcc,1,oversub_peak_bytes,891650.000000
hpcc,1,oversub_peak_ratio,3.229125
hpcc,1,oversub_duration_ms,2.890000
hpcc,1,oversub_longest_run_ms,2.890000
hpcc,1,qmax_exceed_ratio,3.229125
hpcc,1,recovery_rtts,198.026316
hpcc,1,qmax_bytes,400000.000000
hpcc,1,qmin_bytes,200000.000000
hpcc,1,n_links,1.000000
cbapsba,1,incast_n,64.000000
cbapsba,1,incast_done,64.000000
cbapsba,1,completion_rate_pct,100.000000
cbapsba,1,fct_mean_ms,22.091037
cbapsba,1,fct_p50_ms,22.090736
cbapsba,1,fct_p95_ms,22.097587
cbapsba,1,fct_p99_ms,22.097973
cbapsba,1,fct_min_ms,22.083402
cbapsba,1,fct_max_ms,22.098069
cbapsba,1,cct_ms,122.098069
cbapsba,1,incast_agg_gbps,6.073731
cbapsba,1,incast_fairness_jain,1.000000
cbapsba,1,bg_completed,0.000000
cbapsba,1,bg_before_gbps,7.640882
cbapsba,1,bg_during_gbps,6.886435
cbapsba,1,bg_after_gbps,7.582791
cbapsba,1,bg_min_gbps,3.462626
cbapsba,1,bg_drop_pct,54.682896
cbapsba,1,bg_retention_pct,90.126185
cbapsba,1,bg_recovery90_ms,122.000000
cbapsba,1,bg_recovery90_ms_never_dipped,0.000000
cbapsba,1,bg_recovery95_ms,122.000000
cbapsba,1,bg_recovery95_ms_never_dipped,0.000000
cbapsba,1,bg_service_debt_bytes,2582359000.000000
cbapsba,1,bg_retx_bytes,0.000000
cbapsba,1,bg_retx_events,0.000000
cbapsba,1,bg_n_flows,1.000000
cbapsba,1,bg_service_debt_window_s,2.500000
cbapsba,1,bg0_observation_end_s,2.499980
cbapsba,1,bg0_bg_completed_before_end,0.000000
cbapsba,1,total_acked_bytes,1434437216.000000
cbapsba,1,util_mean,0.836874
cbapsba,1,queue_mean_bytes,12612.662408
cbapsba,1,queue_p95_bytes,86984.000000
cbapsba,1,queue_p99_bytes,113089.680000
cbapsba,1,queue_peak_bytes,131000.000000
cbapsba,1,over_qmin_pct,0.000000
cbapsba,1,over_qmax_pct,0.000000
cbapsba,1,queue_recovery_ms,0.000000
cbapsba,1,queue_final_bytes,0.000000
cbapsba,1,queue_drained,1.000000
cbapsba,1,ecn_marks,0.000000
cbapsba,1,pfc_events,0.000000
cbapsba,1,pfc_paused_samples,0.000000
cbapsba,1,pfc_pause_total_ns,0.000000
cbapsba,1,drops,0.000000
cbapsba,1,retx_bytes_total,0.000000
cbapsba,1,retx_events_total,0.000000
cbapsba,1,oversub_peak_bytes,0.000000
cbapsba,1,oversub_peak_ratio,0.327500
cbapsba,1,oversub_duration_ms,0.000000
cbapsba,1,oversub_longest_run_ms,0.000000
cbapsba,1,qmax_exceed_ratio,0.327500
cbapsba,1,recovery_rtts,0.000000
cbapsba,1,qmax_bytes,400000.000000
cbapsba,1,qmin_bytes,200000.000000
cbapsba,1,n_links,1.000000
