scenario,scenario_desc,algorithm,metric,value,unit
s1,"16-way x 256KiB, background 80%",DCQCN,bg_service_debt_bytes,2949403000.0,mixed
s1,"16-way x 256KiB, background 80%",DCQCN,bg_recovery90_ms,0.0,mixed
s1,"16-way x 256KiB, background 80%",DCQCN,bg_recovery95_ms,0.0,mixed
s1,"16-way x 256KiB, background 80%",DCTCP,bg_service_debt_bytes,2949403000.0,mixed
s1,"16-way x 256KiB, background 80%",DCTCP,bg_recovery90_ms,0.0,mixed
s1,"16-way x 256KiB, background 80%",DCTCP,bg_recovery95_ms,0.0,mixed
s1,"16-way x 256KiB, background 80%",TIMELY,bg_service_debt_bytes,2957370000.0,mixed
s1,"16-way x 256KiB, background 80%",TIMELY,bg_recovery90_ms,0.0,mixed
s1,"16-way x 256KiB, background 80%",TIMELY,bg_recovery95_ms,0.0,mixed
s1,"16-way x 256KiB, background 80%",HPCC,bg_service_debt_bytes,2993438000.0,mixed
s1,"16-way x 256KiB, background 80%",HPCC,bg_recovery90_ms,103.99999999999964,mixed
s1,"16-way x 256KiB, background 80%",HPCC,bg_recovery95_ms,103.99999999999964,mixed
s1,"16-way x 256KiB, background 80%",CBAP-SBA,bg_service_debt_bytes,2952974000.0,mixed
s1,"16-way x 256KiB, background 80%",CBAP-SBA,bg_recovery90_ms,105.99999999999943,mixed
s1,"16-way x 256KiB, background 80%",CBAP-SBA,bg_recovery95_ms,105.99999999999943,mixed
s2,"64-way x 256KiB, background 80%",DCQCN,bg_service_debt_bytes,2567359000.0,mixed
s2,"64-way x 256KiB, background 80%",DCQCN,bg_recovery90_ms,0.0,mixed
s2,"64-way x 256KiB, background 80%",DCQCN,bg_recovery95_ms,0.0,mixed
s2,"64-way x 256KiB, background 80%",DCTCP,bg_service_debt_bytes,2567359000.0,mixed
s2,"64-way x 256KiB, background 80%",DCTCP,bg_recovery90_ms,0.0,mixed
s2,"64-way x 256KiB, background 80%",DCTCP,bg_recovery95_ms,0.0,mixed
s2,"64-way x 256KiB, background 80%",TIMELY,bg_service_debt_bytes,2578223000.0,mixed
s2,"64-way x 256KiB, background 80%",TIMELY,bg_recovery90_ms,0.0,mixed
s2,"64-way x 256KiB, background 80%",TIMELY,bg_recovery95_ms,0.0,mixed
s2,"64-way x 256KiB, background 80%",HPCC,bg_service_debt_bytes,2636261000.0,mixed
s2,"64-way x 256KiB, background 80%",HPCC,bg_recovery90_ms,115.99999999999832,mixed
s2,"64-way x 256KiB, background 80%",HPCC,bg_recovery95_ms,115.99999999999832,mixed
s2,"64-way x 256KiB, background 80%",CBAP-SBA,bg_service_debt_bytes,2583053000.0,mixed
s2,"64-way x 256KiB, background 80%",CBAP-SBA,bg_recovery90_ms,123.99999999999744,mixed
s2,"64-way x 256KiB, background 80%",CBAP-SBA,bg_recovery95_ms,123.99999999999744,mixed
s3,"64-way x 1MiB, background 80%",DCQCN,bg_service_debt_bytes,2089804000.0,mixed
