time_ns,epoch,batch_id,flow_id,phase_before,phase_after,old_rate_bps,target_rate_bps,new_rate_bps,reason,root_id,feedback_age_ns,credit_remaining_bytes,protection_floor_bps,rebalance_start_ns,rebalance_end_ns,stale_feedback,capacity_valid,role,owner_before,owner_after,side,actuation_kind,applied_rate_after_bps
10240001,2048,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10245001,2049,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10250001,2050,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10255001,2051,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10260001,2052,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10265001,2053,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10270001,2054,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10275001,2055,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10280001,2056,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10285001,2057,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10290001,2058,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10295001,2059,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10300001,2060,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10305001,2061,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10310001,2062,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10315001,2063,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10320001,2064,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10325001,2065,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10330001,2066,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10335001,2067,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10340001,2068,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10345001,2069,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10350001,2070,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10355001,2071,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10360001,2072,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10365001,2073,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10370001,2074,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10375001,2075,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10380001,2076,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10385001,2077,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10390001,2078,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10395001,2079,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10400001,2080,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10405001,2081,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10410001,2082,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10415001,2083,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10420001,2084,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10425001,2085,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10430001,2086,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10435001,2087,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10440001,2088,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10445001,2089,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10450001,2090,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10455001,2091,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10460001,2092,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10465001,2093,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
