scenario_tag,algorithm,incast_n,incast_done,completion_rate_pct,fct_mean_ms,fct_p50_ms,fct_p95_ms,fct_p99_ms,fct_min_ms,fct_max_ms,cct_ms,incast_agg_gbps,incast_fairness_jain,bg0_completed,bg0_fct_ms,bg0_retx_bytes,bg0_retx_events,bg0_service_debt_bytes,bg0_before_gbps,bg0_during_gbps,bg0_after_gbps,bg0_retention_pct,bg0_fixed_window_s,bg0_fw_during_gbps,bg0_fw_retention_pct,bg0_fw_min_gbps,bg0_fw_drop_pct,bg0_fw_bytes_delivered,bg0_observation_end_s,bg0_bg_completed_before_end,bg0_min_gbps,bg0_drop_pct,bg0_recovery90_ms,bg0_recovery90_ms_never_dipped,bg0_recovery95_ms,bg0_recovery95_ms_never_dipped,bg_n_flows,bg_before_gbps,bg_during_gbps,bg_after_gbps,bg_min_gbps,bg_retention_pct,bg_drop_pct,bg_recovery90_ms,bg_recovery95_ms,bg_service_debt_bytes,bg_service_debt_window_s,bg_retx_bytes,bg_retx_events,bg_completed,bg_fct_ms,bg_slowdown,bg_fixed_window_s,bg_fw_during_gbps,bg_fw_bytes_delivered,bg_fw_min_gbps,bg_fw_retention_pct,bg_fw_drop_pct,bg_recovery90_ms_never_dipped,bg_recovery95_ms_never_dipped,link_84_1_queue_mean_bytes,link_84_1_queue_p95_bytes,link_84_1_queue_p99_bytes,link_84_1_queue_peak_bytes,link_84_1_over_qmin_pct,link_84_1_over_qmax_pct,link_84_1_util_mean,link_84_1_ecn_marks,link_84_1_pfc_events,link_84_1_pfc_paused_samples,link_84_1_pfc_pause_total_ns,link_84_1_queue_recovery_ms,link_84_1_queue_final_bytes,link_84_1_queue_drained,link_84_1_oversub_peak_bytes,link_84_1_oversub_peak_ratio,link_84_1_oversub_duration_ms,link_84_1_oversub_longest_run_ms,link_84_1_qmax_exceed_ratio,n_links,queue_mean_bytes,queue_p95_bytes,queue_p99_bytes,queue_peak_bytes,over_qmin_pct,over_qmax_pct,util_mean,ecn_marks,pfc_events,pfc_paused_samples,pfc_pause_total_ns,queue_recovery_ms,queue_final_bytes,queue_drained,oversub_peak_bytes,oversub_peak_ratio,oversub_duration_ms,oversub_longest_run_ms,qmax_exceed_ratio,qmax_bytes,qmin_bytes,recovery_rtts,retx_bytes_total,retx_events_total,total_acked_bytes,drops
s1,dcqcn,16,16,100.0,3.7153443750000004,3.7603345,3.77770825,3.77780005,3.625526,3.777823,103.77782300000015,8.881949207254916,0.9997162277024227,0,nan,0,0,2952688000.0,7.640881635265409,7.387278334618329,7.641912681912677,96.68096807734057,0.15,7.46563541805573,97.7064660130206,0.678787878787847,91.11636704781556,139981000.0,2.09998,0,0.678787878787847,91.11636704781556,103.99999999999964,0,103.99999999999964,0,1,7.640881635265409,7.387278334618329,7.641912681912677,0.678787878787847,96.68096807734057,91.11636704781556,103.99999999999964,103.99999999999964,2952688000.0,2.1,0,0,0,nan,nan,0.15,7.46563541805573,139981000.0,0.678787878787847,97.7064660130206,91.11636704781556,0,0,10961.384467142032,0.0,320688.0,321736.0,3.4014260936596648,0.0,0.8080032067835463,0,0,0,0,3.0800000000001937,0.0,1,0.0,0.80434,0.0,0.0,0.80434,1,10961.384467142032,0.0,320688.0,321736.0,3.4014260936596648,0.0,0.8080032067835463,0,0,0,0,3.0800000000001937,0.0,1,0.0,0.80434,0.0,0.0,0.80434,400000,200000.0,202.63157894738117,0,0,1051525304.0,0
s1,dctcp,16,16,100.0,3.7153443750000004,3.7603345,3.77770825,3.77780005,3.625526,3.777823,103.77782300000015,8.881949207254916,0.9997162277024227,0,nan,0,0,2952688000.0,7.640881635265409,7.387278334618329,7.641912681912677,96.68096807734057,0.15,7.46563541805573,97.7064660130206,0.678787878787847,91.11636704781556,139981000.0,2.09998,0,0.678787878787847,91.11636704781556,103.99999999999964,0,103.99999999999964,0,1,7.640881635265409,7.387278334618329,7.641912681912677,0.678787878787847,96.68096807734057,91.11636704781556,103.99999999999964,103.99999999999964,2952688000.0,2.1,0,0,0,nan,nan,0.15,7.46563541805573,139981000.0,0.678787878787847,97.7064660130206,91.11636704781556,0,0,10961.384467142032,0.0,320688.0,321736.0,3.4014260936596648,0.0,0.8080032067835463,0,0,0,0,3.0800000000001937,0.0,1,0.0,0.80434,0.0,0.0,0.80434,1,10961.384467142032,0.0,320688.0,321736.0,3.4014260936596648,0.0,0.8080032067835463,0,0,0,0,3.0800000000001937,0.0,1,0.0,0.80434,0.0,0.0,0.80434,400000,200000.0,202.63157894738117,0,0,1051525304.0,0
s1,timely,16,16,100.0,5.0218100625,5.0208465,5.1814875,5.2026231,4.766795,5.2079070000000005,105.20790700000005,6.442978340435089,0.9994912825616596,0,nan,0,0,2962060000.0,7.582943317732708,7.234220532319394,7.575010552975942,95.40122125668769,0.15,7.332764368582467,96.70076725266827,0.4686868686868467,93.81919593687556,137490000.0,2.09998,0,0.4686868686868467,93.81919593687556,105.99999999999943,0,105.99999999999943,0,1,7.582943317732708,7.234220532319394,7.575010552975942,0.4686868686868467,95.40122125668769,93.81919593687556,105.99999999999943,105.99999999999943,2962060000.0,2.1,0,0,0,nan,nan,0.15,7.332764368582467,137490000.0,0.4686868686868467,96.70076725266827,93.81919593687556,0,0,2247.4114627887084,0.0,87648.0,304128.0,0.33266799733865604,0.0,0.7976084402623513,0,0,0,0,0.2300000000001745,0.0,1,0.0,0.76032,0.0,0.0,0.76032,1,2247.4114627887084,0.0,87648.0,304128.0,0.33266799733865604,0.0,0.7976084402623513,0,0,0,0,0.2300000000001745,0.0,1,0.0,0.76032,0.0,0.0,0.76032,400000,200000.0,15.131578947379902,0,0,1042153304.0,0
s1,hpcc,16,16,100.0,3.931805875,3.9123469999999996,4.12304125,4.133582649999999,3.747697,4.1362179999999995,104.13621800000028,8.112346109416487,0.9986214754513947,0,nan,0,0,2993428000.0,7.346197847913916,7.07783326930465,7.345742904841408,96.34689149182834,0.15,7.159194559274559,97.4544207423918,0.4646464646464429,93.67500747644051,134235000.0,2.09998,0,0.4646464646464429,93.67500747644051,103.99999999999964,0,105.99999999999943,0,1,7.346197847913916,7.07783326930465,7.345742904841408,0.4646464646464429,96.34689149182834,93.67500747644051,103.99999999999964,105.99999999999943,2993428000.0,2.1,0,0,0,nan,nan,0.15,7.159194559274559,134235000.0,0.4646464646464429,97.4544207423918,93.67500747644051,0,0,1103.8609564048397,0.0,4360.0,285580.0,0.31688112156712117,0.0,0.806565961206189,0,0,0,0,0.21000000000004349,0.0,1,0.0,0.71395,0.0,0.0,0.71395,1,1103.8609564048397,0.0,4360.0,285580.0,0.31688112156712117,0.0,0.806565961206189,0,0,0,0,0.21000000000004349,0.0,1,0.0,0.71395,0.0,0.0,0.71395,400000,200000.0,13.815789473687072,0,0,1010784304.0,0
s1,cbapsba,16,16,100.0,5.9265894999999995,5.9265895,5.92762225,5.92771405,5.925442,5.927737,105.92773700000002,5.660580420487681,0.9999999858377547,0,nan,0,0,2952974000.0,7.640881635265409,7.430135951661614,7.575584857507434,97.2418669250008,0.15,7.472462995065998,97.79582189282846,3.85050505050487,49.606534503382335,140109000.0,2.09998,0,3.85050505050487,49.606534503382335,105.99999999999943,0,105.99999999999943,0,1,7.640881635265409,7.430135951661614,7.575584857507434,3.85050505050487,97.2418669250008,49.606534503382335,105.99999999999943,105.99999999999943,2952974000.0,2.1,0,0,0,nan,nan,0.15,7.472462995065998,140109000.0,3.85050505050487,97.79582189282846,49.606534503382335,0,0,406.86793165297837,2096.0,10480.0,14672.0,0.0,0.0,0.8118651637873577,0,0,0,0,0.0,0.0,1,0.0,0.03668,0.0,0.0,0.03668,1,406.86793165297837,2096.0,10480.0,14672.0,0.0,0.0,0.8118651637873577,0,0,0,0,0.0,0.0,1,0.0,0.03668,0.0,0.0,0.03668,400000,200000.0,0.0,0,0,1051239304.0,0
s2,dcqcn,64,64,100.0,14.128705281250003,14.1099545,14.64614485,15.321894229999998,13.804712,15.642236,115.64223600000022,8.580469441836755,0.9995571662301187,0,nan,0,0,2588877000.0,7.640881635265409,6.64828778969215,7.522695738354809,87.00943303463721,0.15,6.493132417655678,84.97883788288962,0.1252525252525194,98.36075820525168,121749000.0,2.49998,0,0.1252525252525194,98.36075820525168,131.99999999999656,0,133.99999999999633,0,1,7.640881635265409,6.64828778969215,7.522695738354809,0.1252525252525194,87.00943303463721,98.36075820525168,131.99999999999656,133.99999999999633,2588877000.0,2.5,0,0,0,nan,nan,0.15,6.493132417655678,121749000.0,0.1252525252525194,84.97883788288962,98.36075820525168,0,0,146941.68473843494,1265984.0,1275416.0,1279608.0,12.166018158236056,11.96714223951578,0.8183750004322434,2239.0,0,0,0,11.210000000000164,0.0,1,879608.0,3.19902,13.84,13.84,3.19902,1,146941.68473843494,1265984.0,1275416.0,1279608.0,12.166018158236056,11.96714223951578,0.8183750004322434,2239.0,0,0,0,11.210000000000164,0.0,1,879608.0,3.19902,13.84,13.84,3.19902,400000,200000.0,737.5000000000108,0,0,1427919216.0,0
s2,dctcp,64,64,100.0,14.149235750000006,14.1552065,14.331920649999999,14.34290691,13.818957999999999,14.345643,114.34564300000005,9.355992477994912,0.9998879265787429,0,nan,0,0,2580712000.0,7.640881635265409,6.705754766485926,7.641019727358841,87.76153180460828,0.15,6.928657154287228,90.67876568469521,0.1494949494949425,98.04348559981652,129914000.0,2.49998,0,0.1494949494949425,98.04348559981652,115.99999999999832,0,115.99999999999832,0,1,7.640881635265409,6.705754766485926,7.641019727358841,0.1494949494949425,87.76153180460828,98.04348559981652,115.99999999999832,115.99999999999832,2580712000.0,2.5,0,0,0,nan,nan,0.15,6.928657154287228,129914000.0,0.1494949494949425,90.67876568469521,98.04348559981652,0,0,149133.9655443813,1272272.0,1275416.0,1276464.0,12.348054219501531,12.155662439877569,0.8257944905989392,2237.0,0,0,0,13.6099999999999,0.0,1,876464.0,3.19116,13.9,13.9,3.19116,1,149133.9655443813,1272272.0,1275416.0,1276464.0,12.348054219501531,12.155662439877569,0.8257944905989392,2237.0,0,0,0,13.6099999999999,0.0,1,876464.0,3.19116,13.9,13.9,3.19116,400000,200000.0,895.3947368420987,0,0,1436084216.0,0
s2,timely,64,64,100.0,14.272487515624995,14.280649499999999,14.494921649999998,14.55110439,13.902171,14.574696,114.57469600000003,9.208955576157509,0.9999091866316376,0,nan,0,0,2592017000.0,7.582943317732708,6.635754189944135,7.579414915533584,87.5089514967945,0.15,6.847152953727154,90.29677088202797,0.09292929292928859,98.77449574610463,128386000.0,2.49998,0,0.09292929292928859,98.77449574610463,115.99999999999832,0,115.99999999999832,0,1,7.582943317732708,6.635754189944135,7.579414915533584,0.09292929292928859,87.5089514967945,98.77449574610463,115.99999999999832,115.99999999999832,2592017000.0,2.5,0,0,0,nan,nan,0.15,6.847152953727154,128386000.0,0.09292929292928859,90.29677088202797,98.77449574610463,0,0,120613.59958107873,1275648.0,1277760.0,1278816.0,12.218537266538663,10.158840984465003,0.8243923895967915,1642.0,0,0,0,12.52999999999993,0.0,1,878816.0,3.19704,11.64,10.78,3.19704,1,120613.59958107873,1275648.0,1277760.0,1278816.0,12.218537266538663,10.158840984465003,0.8243923895967915,1642.0,0,0,0,12.52999999999993,0.0,1,878816.0,3.19704,11.64,10.78,3.19704,400000,200000.0,824.3421052631534,0,0,1424779216.0,0
s2,hpcc,64,64,100.0,14.810717468750001,14.872107999999999,15.07880405,15.179321700000001,14.142406,15.2073,115.20730000000023,8.825874941639785,0.9997556516463862,0,nan,0,0,2636198000.0,7.346197847913916,6.402777777777767,7.346200181533129,87.15770947546629,0.15,6.6215762101613445,90.13609961568976,0.1252525252525194,98.2950020153883,124156000.0,2.49998,0,0.1252525252525194,98.2950020153883,115.99999999999832,0,115.99999999999832,0,1,7.346197847913916,6.402777777777767,7.346200181533129,0.1252525252525194,87.15770947546629,98.2950020153883,115.99999999999832,115.99999999999832,2636198000.0,2.5,0,0,0,nan,nan,0.15,6.6215762101613445,124156000.0,0.1252525252525194,90.13609961568976,98.2950020153883,0,0,26727.180105893585,20710.0,1090435.9999999977,1296010.0,2.977172120475653,2.5345022133495356,0.8249201701241626,288.0,0,0,0,3.049999999999997,0.0,1,896010.0,3.240025,2.92,2.92,3.240025,1,26727.180105893585,20710.0,1090435.9999999977,1296010.0,2.977172120475653,2.5345022133495356,0.8249201701241626,288.0,0,0,0,3.049999999999997,0.0,1,896010.0,3.240025,2.92,2.92,3.240025,400000,200000.0,200.65789473684194,0,0,1380597216.0,0
s2,cbapsba,64,64,100.0,21.989016250000002,21.9893305,21.99366805,21.99405361,21.983673,21.99415,121.9941499999999,6.1024285093991395,0.9999999791602043,0,nan,0,0,2582416000.0,7.640881635265409,6.853648139039176,7.590058161429347,89.69708557461657,0.15,6.990318709161211,91.48576097420987,3.2080808080806578,58.01425854741402,131070000.0,2.49998,0,3.2080808080806578,58.01425854741402,121.99999999999767,0,121.99999999999767,0,1,7.640881635265409,6.853648139039176,7.590058161429347,3.2080808080806578,89.69708557461657,58.01425854741402,121.99999999999767,121.99999999999767,2582416000.0,2.5,0,0,0,nan,nan,0.15,6.990318709161211,131070000.0,3.2080808080806578,91.48576097420987,58.01425854741402,0,0,4983.611803278689,40872.0,52400.0,56592.0,0.0,0.0,0.8335326426228319,0,0,0,0,0.0,0.0,1,0.0,0.14148,0.0,0.0,0.14148,1,4983.611803278689,40872.0,52400.0,56592.0,0.0,0.0,0.8335326426228319,0,0,0,0,0.0,0.0,1,0.0,0.14148,0.0,0.0,0.14148,400000,200000.0,0.0,0,0,1434380216.0,0
