# pg0 (INVALID: background on ECN-exempt queue 0) vs pg3 (corrected)
# ratio = pg0/pg3 for latency-like metrics; >1 means pg3 is better
scenario,algorithm,metric,pg0_invalid,pg3_corrected,ratio_or_delta
s1,cbapsba,incast_agg_gbps,5.658980,5.660580,0.0016
s1,cbapsba,bg_retention_pct,97.242855,97.241867,-0.0010
s1,cbapsba,bg_min_gbps,3.858586,3.850505,-0.0081
s1,cbapsba,queue_peak_bytes,14672.000000,14672.000000,0.0000
s1,cbapsba,ecn_marks,0.000000,0.000000,0.0000
s2,dcqcn,fct_mean_ms,69.796115,14.128705,4.9400
s2,dcqcn,fct_p99_ms,70.454985,15.321894,4.5983
s2,dcqcn,cct_ms,170.455609,115.642236,1.4740
s2,dcqcn,incast_agg_gbps,1.904997,8.580469,6.6755
s2,dcqcn,bg_retention_pct,99.999396,87.009433,-12.9900
s2,dcqcn,bg_min_gbps,7.636364,0.125253,-7.5111
s2,dcqcn,queue_peak_bytes,1272272.000000,1279608.000000,7336.0000
s2,dcqcn,ecn_marks,2271.000000,2239.000000,-32.0000
s2,dctcp,fct_mean_ms,69.799389,14.149236,4.9331
s2,dctcp,fct_p99_ms,70.454985,14.342907,4.9122
s2,dctcp,cct_ms,170.455609,114.345643,1.4907
s2,dctcp,incast_agg_gbps,1.904997,9.355992,7.4510
s2,dctcp,bg_retention_pct,99.999396,87.761532,-12.2379
s2,dctcp,bg_min_gbps,7.636364,0.149495,-7.4869
s2,dctcp,queue_peak_bytes,1272272.000000,1276464.000000,4192.0000
s2,dctcp,ecn_marks,2271.000000,2237.000000,-34.0000
s2,timely,fct_mean_ms,70.166993,14.272488,4.9162
s2,timely,fct_p99_ms,70.825008,14.551104,4.8673
s2,timely,cct_ms,170.825640,114.574696,1.4910
s2,timely,incast_agg_gbps,1.895044,9.208956,7.3139
s2,timely,bg_retention_pct,99.999508,87.508951,-12.4906
s2,timely,bg_min_gbps,7.579798,0.092929,-7.4869
s2,timely,queue_peak_bytes,1280928.000000,1278816.000000,-2112.0000
s2,timely,ecn_marks,2296.000000,1642.000000,-654.0000
s2,hpcc,fct_mean_ms,14.802668,14.810717,0.9995
s2,hpcc,fct_p99_ms,15.117964,15.179322,0.9960
s2,hpcc,cct_ms,115.129395,115.207300,0.9993
s2,hpcc,incast_agg_gbps,8.871322,8.825875,-0.0454
s2,hpcc,bg_retention_pct,87.105707,87.157709,0.0520
s2,hpcc,bg_min_gbps,0.092929,0.125253,0.0323
s2,hpcc,queue_peak_bytes,1291650.000000,1296010.000000,4360.0000
s2,hpcc,ecn_marks,274.000000,288.000000,14.0000
s2,cbapsba,fct_mean_ms,22.091037,21.989016,1.0046
s2,cbapsba,fct_p99_ms,22.097973,21.994054,1.0047
s2,cbapsba,cct_ms,122.098069,121.994150,1.0009
s2,cbapsba,incast_agg_gbps,6.073731,6.102429,0.0287
s2,cbapsba,bg_retention_pct,90.126185,89.697086,-0.4291
s2,cbapsba,bg_min_gbps,3.462626,3.208081,-0.2545
s2,cbapsba,queue_peak_bytes,131000.000000,56592.000000,-74408.0000
s2,cbapsba,ecn_marks,0.000000,0.000000,0.0000
s3,dcqcn,fct_mean_ms,281.564317,54.278454,5.1874
s3,dcqcn,fct_p99_ms,281.740683,58.259313,4.8360
s3,dcqcn,cct_ms,381.742581,158.372997,2.4104
s3,dcqcn,incast_agg_gbps,1.905537,9.197248,7.2917
s3,dcqcn,bg_retention_pct,99.999789,64.247402,-35.7524
s3,dcqcn,bg_min_gbps,7.636364,0.096970,-7.5394
