scenario,metric,CBAP-SBA,HPCC,DCQCN-SN,DCQCN-LowQ,DCTCP-SN,TIMELY,best_algorithm,cbap_vs_best_baseline_pct
S0,mean FCT (ms),14.232550,14.892892,14.165778,14.812454,14.119659,14.325930,DCTCP-SN,-0.80
S0,p99 FCT (ms),14.249075,15.192520,15.153297,15.755133,14.393774,14.548253,CBAP-SBA,1.01
S0,BCT (ms),14.270457,15.206527,15.690377,15.929960,14.396488,14.553576,CBAP-SBA,0.88
S0,Throughput (Gbit/s),9.401992,3.812297,3.760614,3.735538,3.902077,3.884337,CBAP-SBA,140.95
S0,CCT (ms),14.275457,35.206527,35.690377,35.929960,34.396488,34.553576,CBAP-SBA,58.50
S1,mean FCT (ms),55.261136,59.979805,54.766595,57.092518,56.712039,57.549266,DCQCN-SN,-0.90
S1,p99 FCT (ms),56.976019,60.574888,58.463576,60.694062,57.412206,58.035937,CBAP-SBA,0.76
S1,BCT (ms),57.013303,60.594513,58.770920,61.233205,57.413384,58.089123,CBAP-SBA,0.70
S1,Throughput (Gbit/s),9.415764,6.661383,6.815598,6.609008,6.935117,6.875105,CBAP-SBA,35.77
S1,CCT (ms),57.018303,80.594513,78.770920,81.233205,77.413384,78.089123,CBAP-SBA,26.35
S2,mean FCT (ms),223.225233,240.966048,222.466434,226.520276,228.135959,230.689907,DCQCN-SN,-0.34
S2,p99 FCT (ms),229.089522,242.131541,229.419534,234.780205,229.326734,231.712518,CBAP-SBA,0.10
S2,BCT (ms),229.135496,242.262993,229.552915,235.010105,229.354568,231.737334,CBAP-SBA,0.10
S2,Throughput (Gbit/s),9.371908,8.188283,8.605324,8.421171,8.612169,8.530652,CBAP-SBA,8.82
S2,CCT (ms),229.140496,262.262993,249.552915,255.010105,249.354568,251.737334,CBAP-SBA,8.11
S3,mean FCT (ms),906.515008,966.106857,901.242322,915.219975,915.529760,923.897914,DCQCN-SN,-0.59
S3,p99 FCT (ms),919.756306,968.097712,917.396834,932.240412,916.729634,925.694478,DCTCP-SN,-0.33
S3,BCT (ms),919.837673,968.137123,917.476192,932.670854,916.773768,925.716367,DCTCP-SN,-0.33
S3,Throughput (Gbit/s),9.338482,8.693059,9.162830,9.016687,9.169700,9.082992,CBAP-SBA,1.84
S3,CCT (ms),919.842673,988.137123,937.476192,952.670854,936.773768,945.716367,CBAP-SBA,1.81
S4,mean FCT (ms),222.655378,240.952126,222.206559,225.328682,228.134695,230.573767,DCQCN-SN,-0.20
S4,p99 FCT (ms),228.834230,242.100786,230.381444,234.494877,229.313620,231.580021,CBAP-SBA,0.21
S4,BCT (ms),228.989061,242.193094,230.445073,236.101285,229.318254,231.584211,CBAP-SBA,0.14
S4,Throughput (Gbit/s),9.377901,8.190466,8.574669,8.385290,8.613423,8.535844,CBAP-SBA,8.88
S4,CCT (ms),228.994061,262.193094,250.445073,256.101285,249.318254,251.584211,CBAP-SBA,8.15
S5,mean FCT (ms),231.353480,244.379352,232.100809,229.363556,232.713448,270.118250,DCQCN-LowQ,-0.87
S5,p99 FCT (ms),232.600304,245.914754,236.134393,239.663864,232.811336,271.169234,CBAP-SBA,0.09
S5,BCT (ms),232.600304,245.914754,236.134393,239.663864,232.811336,271.169234,CBAP-SBA,0.09
S5,Throughput (Gbit/s),9.232307,8.075835,8.384207,8.270245,8.494412,7.375380,CBAP-SBA,8.69
S5,CCT (ms),232.605304,265.914754,256.134393,259.663864,252.811336,291.169234,CBAP-SBA,7.99
