scenario,metric,CBAP-SBA,HPCC,DCQCN-SN,DCQCN-LowQ,DCTCP-SN,TIMELY,best_algorithm,cbap_vs_best_baseline_pct
S0,mean FCT (ms),0.737249,0.641715,0.615229,0.609165,0.626945,0.625623,DCQCN-LowQ,-21.03
S0,p99 FCT (ms),0.738114,0.769170,0.736586,0.730546,0.750186,0.747026,DCQCN-LowQ,-1.04
S0,BCT (ms),0.739122,0.769187,0.736602,0.730562,0.750202,0.747042,DCQCN-LowQ,-1.17
S0,Throughput (Gbit/s),180.370595,6.462349,6.472503,6.474389,6.468261,6.469246,CBAP-SBA,2685.91
S0,CCT (ms),0.744122,20.769187,20.736602,20.730562,20.750202,20.747042,CBAP-SBA,96.41
S1,mean FCT (ms),2.765134,2.972546,2.861296,2.891626,2.807419,2.787185,CBAP-SBA,0.79
S1,p99 FCT (ms),2.914228,3.118840,3.166651,2.979864,2.902935,2.884215,TIMELY,-1.04
S1,BCT (ms),2.922084,3.131308,3.177043,2.980203,2.902954,2.884234,TIMELY,-1.31
S1,Throughput (Gbit/s),183.414932,23.209708,23.163909,23.362322,23.441121,23.460296,CBAP-SBA,681.81
S1,CCT (ms),2.927084,23.131308,23.177043,22.980203,22.902954,22.884234,CBAP-SBA,87.21
S2,mean FCT (ms),11.017223,12.317746,11.965463,12.334793,11.875459,11.233541,CBAP-SBA,1.93
S2,p99 FCT (ms),11.550766,12.454424,12.970101,13.156927,12.131954,11.857262,CBAP-SBA,2.58
S2,BCT (ms),11.563946,12.457515,13.078377,13.181587,12.133066,11.857930,CBAP-SBA,2.48
S2,Throughput (Gbit/s),185.624831,66.162910,64.921071,64.719136,66.830960,67.408135,CBAP-SBA,175.37
S2,CCT (ms),11.568946,32.457515,33.078377,33.181587,32.133066,31.857930,CBAP-SBA,63.69
S3,mean FCT (ms),43.609377,49.555242,44.830069,45.949981,45.945103,47.290576,CBAP-SBA,2.72
S3,p99 FCT (ms),45.799714,49.841211,48.983159,49.832231,46.814371,47.799847,CBAP-SBA,2.17
S3,BCT (ms),45.810068,49.876549,49.203344,50.376663,46.823898,47.805265,CBAP-SBA,2.17
S3,Throughput (Gbit/s),187.491473,122.930149,124.126005,122.056577,128.545847,126.685363,CBAP-SBA,45.86
S3,CCT (ms),45.815068,69.876549,69.203344,70.376663,66.823898,67.805265,CBAP-SBA,31.44
S4,mean FCT (ms),10.925315,12.287906,11.979496,12.342461,11.853144,11.230941,CBAP-SBA,2.72
S4,p99 FCT (ms),11.564122,12.479218,13.177923,13.152701,12.084895,11.854086,CBAP-SBA,2.45
S4,BCT (ms),11.574468,12.481719,13.302713,13.301580,12.100527,11.855738,CBAP-SBA,2.37
S4,Throughput (Gbit/s),185.456158,66.113608,64.483745,64.485939,66.898704,67.412773,CBAP-SBA,175.11
S4,CCT (ms),11.579468,32.481719,33.302713,33.301580,32.100527,31.855738,CBAP-SBA,63.65
S5,mean FCT (ms),10.976783,12.697532,12.425993,13.264004,12.233385,11.817618,CBAP-SBA,7.12
S5,p99 FCT (ms),11.655993,13.014772,14.463573,15.324996,12.721754,13.917008,CBAP-SBA,8.38
S5,BCT (ms),11.657210,13.014772,14.463573,15.324996,12.721754,13.917008,CBAP-SBA,8.37
S5,Throughput (Gbit/s),184.140369,65.046145,62.311695,60.792184,65.628623,63.315834,CBAP-SBA,180.58
S5,CCT (ms),11.662210,33.014772,34.463573,35.324996,32.721754,33.917008,CBAP-SBA,64.36
