sample_time_ns,delivery_time_ns,link_id,switch_id,egress_port,capacity_bps,queue_bytes,previous_queue_bytes,input_bytes_delta,output_bytes_delta,ecn_marks_delta,pfc_events_delta,pause_duration_delta_ns,arrival_rate_bps,service_rate_bps,queue_gradient_bytes_per_second,port_state,root_id,root_reason,effective_capacity_bps,active_controlled_flows,pending_controlled_flows,local_paused,downstream_paused,stale
20035000,20040000,0,84,1,400000000000,107000,111000,246000,250000,0,0,0,3.936e+11,4e+11,-8e+08,2,0,1,380800000000,64,0,0,0,0
20040000,20045000,0,84,1,400000000000,114000,107000,257000,250000,0,0,0,4.112e+11,4e+11,1.4e+09,2,0,1,380800000000,64,0,0,0,0
20045000,20050000,0,84,1,400000000000,111000,114000,247000,250000,0,0,0,3.952e+11,4e+11,-6e+08,2,0,1,380800000000,64,0,0,0,0
20050000,20055000,0,84,1,400000000000,108000,111000,247000,250000,0,0,0,3.952e+11,4e+11,-6e+08,2,0,1,380800000000,64,0,0,0,0
20055000,20060000,0,84,1,400000000000,106000,108000,248000,250000,0,0,0,3.968e+11,4e+11,-4e+08,2,0,1,380800000000,64,0,0,0,0
20060000,20065000,0,84,1,400000000000,108000,106000,252000,250000,0,0,0,4.032e+11,4e+11,4e+08,2,0,1,380800000000,64,0,0,0,0
20065000,20070000,0,84,1,400000000000,109000,108000,251000,250000,0,0,0,4.016e+11,4e+11,2e+08,2,0,1,380800000000,64,0,0,0,0
20070000,20075000,0,84,1,400000000000,120000,109000,261000,250000,0,0,0,4.176e+11,4e+11,2.2e+09,2,0,1,380800000000,64,0,0,0,0
20075000,20080000,0,84,1,400000000000,110000,120000,240000,250000,0,0,0,3.84e+11,4e+11,-2e+09,2,0,1,380800000000,64,0,0,0,0
20080000,20085000,0,84,1,400000000000,115000,110000,255000,250000,0,0,0,4.08e+11,4e+11,1e+09,2,0,1,380800000000,64,0,0,0,0
20085000,20090000,0,84,1,400000000000,108000,115000,243000,250000,0,0,0,3.888e+11,4e+11,-1.4e+09,2,0,1,380800000000,64,0,0,0,0
20090000,20095000,0,84,1,400000000000,102000,108000,244000,250000,0,0,0,3.904e+11,4e+11,-1.2e+09,2,0,1,380800000000,64,0,0,0,0
20095000,20100000,0,84,1,400000000000,109000,102000,257000,250000,0,0,0,4.112e+11,4e+11,1.4e+09,2,0,1,380800000000,64,0,0,0,0
20100000,20105000,0,84,1,400000000000,119000,109000,260000,250000,0,0,0,4.16e+11,4e+11,2e+09,2,0,1,380800000000,64,0,0,0,0
20105000,20110000,0,84,1,400000000000,109000,119000,240000,250000,0,0,0,3.84e+11,4e+11,-2e+09,2,0,1,380800000000,64,0,0,0,0
20110000,20115000,0,84,1,400000000000,114000,109000,255000,250000,0,0,0,4.08e+11,4e+11,1e+09,2,0,1,380800000000,64,0,0,0,0
20115000,20120000,0,84,1,400000000000,108000,114000,244000,250000,0,0,0,3.904e+11,4e+11,-1.2e+09,2,0,1,380800000000,64,0,0,0,0
20120000,20125000,0,84,1,400000000000,106000,108000,248000,250000,0,0,0,3.968e+11,4e+11,-4e+08,2,0,1,380800000000,64,0,0,0,0
20125000,20130000,0,84,1,400000000000,110000,106000,254000,250000,0,0,0,4.064e+11,4e+11,8e+08,2,0,1,380800000000,64,0,0,0,0
