algorithm,n_runs,metric,value
timely,1,bg_service_debt_window_s,5.500000
timely,1,bg0_observation_end_s,4.556020
timely,1,bg0_bg_completed_before_end,1.000000
timely,1,total_acked_bytes,4067108864.000000
timely,1,util_mean,0.996791
timely,1,queue_mean_bytes,1167409.052609
timely,1,queue_p95_bytes,1284096.000000
timely,1,queue_p99_bytes,1284096.000000
timely,1,queue_peak_bytes,1285152.000000
timely,1,over_qmin_pct,91.532334
timely,1,over_qmax_pct,91.270642
timely,1,queue_recovery_ms,1115.430000
timely,1,queue_final_bytes,0.000000
timely,1,queue_drained,1.000000
timely,1,ecn_marks,9694.000000
timely,1,pfc_events,0.000000
timely,1,pfc_paused_samples,0.000000
timely,1,pfc_pause_total_ns,0.000000
timely,1,drops,0.000000
timely,1,retx_bytes_total,0.000000
timely,1,retx_events_total,0.000000
timely,1,oversub_peak_bytes,885152.000000
timely,1,oversub_peak_ratio,3.212880
timely,1,oversub_duration_ms,1112.580000
timely,1,oversub_longest_run_ms,1112.580000
timely,1,qmax_exceed_ratio,3.212880
timely,1,recovery_rtts,73383.552632
timely,1,qmax_bytes,400000.000000
timely,1,qmin_bytes,200000.000000
timely,1,n_links,1.000000
hpcc,1,incast_n,64.000000
hpcc,1,incast_done,64.000000
hpcc,1,completion_rate_pct,100.000000
hpcc,1,fct_mean_ms,59.666596
hpcc,1,fct_p50_ms,59.830088
hpcc,1,fct_p95_ms,60.176233
hpcc,1,fct_p99_ms,60.242022
hpcc,1,fct_min_ms,58.010901
hpcc,1,fct_max_ms,60.313452
hpcc,1,cct_ms,160.313452
hpcc,1,incast_agg_gbps,8.901346
hpcc,1,incast_fairness_jain,0.999923
hpcc,1,bg_completed,1.000000
hpcc,1,bg_fct_ms,3727.326584
hpcc,1,bg_before_gbps,8.724093
hpcc,1,bg_during_gbps,5.495995
hpcc,1,bg_after_gbps,6.764390
hpcc,1,bg_min_gbps,0.092929
hpcc,1,bg_drop_pct,98.934797
hpcc,1,bg_retention_pct,62.997896
hpcc,1,bg_recovery90_ms,162.000000
hpcc,1,bg_recovery90_ms_never_dipped,0.000000
hpcc,1,bg_recovery95_ms,162.000000
hpcc,1,bg_recovery95_ms_never_dipped,0.000000
hpcc,1,bg_service_debt_bytes,0.000000
hpcc,1,bg_slowdown,1.106550
hpcc,1,bg_retx_bytes,0.000000
hpcc,1,bg_retx_events,0.000000
hpcc,1,bg_n_flows,1.000000
hpcc,1,bg_service_debt_window_s,5.500000
hpcc,1,bg0_observation_end_s,4.727340
hpcc,1,bg0_bg_completed_before_end,1.000000
hpcc,1,total_acked_bytes,4067108864.000000
hpcc,1,util_mean,0.964118
hpcc,1,queue_mean_bytes,22653.828593
hpcc,1,queue_p95_bytes,25070.000000
hpcc,1,queue_p99_bytes,899740.500000
hpcc,1,queue_peak_bytes,1291650.000000
hpcc,1,over_qmin_pct,2.114521
hpcc,1,over_qmax_pct,1.802645
hpcc,1,queue_recovery_ms,3.000000
hpcc,1,queue_final_bytes,0.000000
hpcc,1,queue_drained,1.000000
hpcc,1,ecn_marks,274.000000
hpcc,1,pfc_events,0.000000
hpcc,1,pfc_paused_samples,0.000000
hpcc,1,pfc_pause_total_ns,0.000000
hpcc,1,drops,0.000000
hpcc,1,retx_bytes_total,0.000000
hpcc,1,retx_events_total,0.000000
hpcc,1,oversub_peak_bytes,891650.000000
hpcc,1,oversub_peak_ratio,3.229125
hpcc,1,oversub_duration_ms,2.890000
hpcc,1,oversub_longest_run_ms,2.890000
hpcc,1,qmax_exceed_ratio,3.229125
hpcc,1,recovery_rtts,197.368421
hpcc,1,qmax_bytes,400000.000000
hpcc,1,qmin_bytes,200000.000000
hpcc,1,n_links,1.000000
cbapsba,1,incast_n,64.000000
cbapsba,1,incast_done,64.000000
cbapsba,1,completion_rate_pct,100.000000
cbapsba,1,fct_mean_ms,107.818628
cbapsba,1,fct_p50_ms,107.832887
cbapsba,1,fct_p95_ms,107.847034
cbapsba,1,fct_p99_ms,107.848292
cbapsba,1,fct_min_ms,107.525545
cbapsba,1,fct_max_ms,107.848606
cbapsba,1,cct_ms,207.848606
cbapsba,1,incast_agg_gbps,4.978005
cbapsba,1,incast_fairness_jain,1.000000
cbapsba,1,bg_completed,1.000000
cbapsba,1,bg_fct_ms,3603.994556
cbapsba,1,bg_before_gbps,9.070283
cbapsba,1,bg_during_gbps,6.734450
cbapsba,1,bg_after_gbps,6.614488
cbapsba,1,bg_min_gbps,4.282828
cbapsba,1,bg_drop_pct,52.781756
cbapsba,1,bg_retention_pct,74.247405
cbapsba,1,bg_recovery90_ms,208.000000
cbapsba,1,bg_recovery90_ms_never_dipped,0.000000
cbapsba,1,bg_recovery95_ms,208.000000
cbapsba,1,bg_recovery95_ms_never_dipped,0.000000
cbapsba,1,bg_service_debt_bytes,0.000000
cbapsba,1,bg_slowdown,1.069936
cbapsba,1,bg_retx_bytes,0.000000
cbapsba,1,bg_retx_events,0.000000
cbapsba,1,bg_n_flows,1.000000
cbapsba,1,bg_service_debt_window_s,5.500000
cbapsba,1,bg0_observation_end_s,4.604000
cbapsba,1,bg0_bg_completed_before_end,1.000000
cbapsba,1,total_acked_bytes,4067108864.000000
cbapsba,1,util_mean,0.976460
cbapsba,1,queue_mean_bytes,627060.245369
cbapsba,1,queue_p95_bytes,1264936.000000
cbapsba,1,queue_p99_bytes,1264936.000000
cbapsba,1,queue_peak_bytes,1265984.000000
cbapsba,1,over_qmin_pct,51.262930
cbapsba,1,over_qmax_pct,50.493144
cbapsba,1,queue_recovery_ms,99.140000
cbapsba,1,queue_final_bytes,0.000000
cbapsba,1,queue_drained,1.000000
cbapsba,1,ecn_marks,8983.000000
cbapsba,1,pfc_events,0.000000
cbapsba,1,pfc_paused_samples,0.000000
cbapsba,1,pfc_pause_total_ns,0.000000
cbapsba,1,drops,0.000000
cbapsba,1,retx_bytes_total,0.000000
cbapsba,1,retx_events_total,0.000000
cbapsba,1,oversub_peak_bytes,865984.000000
cbapsba,1,oversub_peak_ratio,3.164960
cbapsba,1,oversub_duration_ms,104.950000
cbapsba,1,oversub_longest_run_ms,104.820000
cbapsba,1,qmax_exceed_ratio,3.164960
cbapsba,1,recovery_rtts,6522.368421
cbapsba,1,qmax_bytes,400000.000000
cbapsba,1,qmin_bytes,200000.000000
cbapsba,1,n_links,1.000000
