run,scenario,algorithm,flow_id,role,src,dst,link,size_bytes,app_start_ns,application_ready_ns,network_release_ns,first_data_tx_ns,last_ack_ns,FCT_us,BCT_ms,CCT_ms,goodput_gbps,completed
mx_s1_dcqcn,S1,dcqcn,4,incast,3,64,0,262144,1899999999,2000000000,2000000000,2000000000,2003625526,3625.5,3.6255,3.6255,0.5784,1
mx_s1_dcqcn,S1,dcqcn,9,incast,8,64,0,262144,1899999999,2000000000,2000000000,2000000000,2003627355,3627.4,3.6274,3.6274,0.5781,1
mx_s1_dcqcn,S1,dcqcn,10,incast,9,64,0,262144,1899999999,2000000000,2000000000,2000000000,2003630022,3630.0,3.63,3.63,0.5777,1
mx_s1_dcqcn,S1,dcqcn,13,incast,12,64,0,262144,1899999999,2000000000,2000000000,2000000000,2003632689,3632.7,3.6327,3.6327,0.5773,1
mx_s1_dcqcn,S1,dcqcn,15,incast,14,64,0,262144,1899999999,2000000000,2000000000,2000000000,2003633680,3633.7,3.6337,3.6337,0.5771,1
mx_s1_dcqcn,S1,dcqcn,6,incast,5,64,0,262144,1899999999,2000000000,2000000000,2000000000,2003696683,3696.7,3.6967,3.6967,0.5673,1
mx_s1_dcqcn,S1,dcqcn,7,incast,6,64,0,262144,1899999999,2000000000,2000000000,2000000000,2003697674,3697.7,3.6977,3.6977,0.5672,1
mx_s1_dcqcn,S1,dcqcn,5,incast,4,64,0,262144,1899999999,2000000000,2000000000,2000000000,2003759839,3759.8,3.7598,3.7598,0.5578,1
mx_s1_dcqcn,S1,dcqcn,11,incast,10,64,0,262144,1899999999,2000000000,2000000000,2000000000,2003760830,3760.8,3.7608,3.7608,0.5576,1
mx_s1_dcqcn,S1,dcqcn,14,incast,13,64,0,262144,1899999999,2000000000,2000000000,2000000000,2003760983,3761.0,3.761,3.761,0.5576,1
mx_s1_dcqcn,S1,dcqcn,8,incast,7,64,0,262144,1899999999,2000000000,2000000000,2000000000,2003761136,3761.1,3.7611,3.7611,0.5576,1
mx_s1_dcqcn,S1,dcqcn,12,incast,11,64,0,262144,1899999999,2000000000,2000000000,2000000000,2003762965,3763.0,3.763,3.763,0.5573,1
mx_s1_dcqcn,S1,dcqcn,16,incast,15,64,0,262144,1899999999,2000000000,2000000000,2000000000,2003763118,3763.1,3.7631,3.7631,0.5573,1
mx_s1_dcqcn,S1,dcqcn,1,incast,0,64,0,262144,1899999999,2000000000,2000000000,2000000000,2003777517,3777.5,3.7775,3.7775,0.5552,1
mx_s1_dcqcn,S1,dcqcn,2,incast,1,64,0,262144,1899999999,2000000000,2000000000,2000000000,2003777670,3777.7,3.7777,3.7777,0.5551,1
mx_s1_dcqcn,S1,dcqcn,3,incast,2,64,0,262144,1899999999,2000000000,2000000000,2000000000,2003777823,3777.8,3.7778,3.7778,0.5551,1
mx_s1_dcqcn,S1,dcqcn,0,background,65,64,0,4000000000,NA,NA,NA,NA,NA,NA,NA,NA,7.617,0
mx_s1_dctcp,S1,dctcp,4,incast,3,64,0,262144,1899999999,2000000000,2000000000,2000000000,2003625526,3625.5,3.6255,3.6255,0.5784,1
