scenario,algorithm,seed,valid,flow_count,flow_size,bottleneck_count,CCT_mean_ms,CCT_p95_ms,CCT_p99_ms,BCT_mean_ms,FCT_mean_us,FCT_p95_us,FCT_p99_us,batch_goodput_gbps,link_utilization,background_goodput_gbps,background_retention_pct,background_recovery_us,queue_mean_B,queue_p50_B,queue_p95_B,queue_p99_B,queue_max_B,queue_delay_p99_us,queue_delay_max_us,ECN_count,CNP_count,PFC_count,drop_count,retrans_count,completed_flows,total_flows,relative_to_dcqcn_pct,relative_to_best_baseline_pct,run_path,source_sha
S3,dcqcn,2,TRUE,64,1MiB,1,58.373,57.7539,58.1925,58.373,54278.5,57753.9,58192.5,9.1972,0.919725,7.398,100.0,22887.0,18690.2,0.0,0.0,967304.0,1279608.0,773.84,1023.69,6677,6677,0,0,0,64,64,0.0,1.966,simulation/experiment/scheme1_sba/mx_s3_dcqcn_out/,82d9e871dbcd7307
S3,dctcp,2,TRUE,64,1MiB,1,57.2474,57.2032,57.2402,57.2474,56583.8,57203.2,57240.2,9.3781,0.937808,7.427,100.392,12.6,22904.2,0.0,0.0,1218824.0,1276464.0,975.06,1021.17,9026,0,0,0,0,64,64,-1.928,0.0,simulation/experiment/scheme1_sba/mx_s3_dctcp_out/,5257459752323294
S3,timely,2,TRUE,64,1MiB,1,57.8657,57.8303,57.8535,57.8657,57274.5,57830.3,57853.5,9.2779,0.927788,7.3675,99.588,494.3,5798.6,0.0,0.0,100320.0,1278816.0,80.26,1023.05,1642,0,0,0,0,64,64,-0.869,1.08,simulation/experiment/scheme1_sba/mx_s3_timely_out/,95cb2e5402b8e698
S3,hpcc,2,TRUE,64,1MiB,1,60.3267,60.1813,60.2272,60.3267,59733.9,60181.3,60227.2,8.8994,0.889939,7.1292,96.367,13.3,1223.0,0.0,0.0,14170.0,1296010.0,11.34,1036.81,288,0,0,0,0,64,64,3.347,5.379,simulation/experiment/scheme1_sba/mx_s3_hpcc_out/,e8cf60c7390812f4
S3,cbapsba,2,TRUE,64,1MiB,1,56.8412,56.8397,56.8407,56.8362,56790.1,56802.2,56802.6,9.4451,0.94451,7.3924,99.924,38.8,378.3,0.0,0.0,19912.0,26200.0,15.93,20.96,0,0,0,0,0,64,64,-2.624,-0.71,simulation/experiment/scheme1_sba/mx_s3_cbapsba_out/,158415cd058577c5
S4,dcqcn,2,TRUE,64,1MiB,1,59.0692,58.1228,58.4515,59.0692,54328.5,58122.8,58451.5,9.0888,0.908884,7.1111,100.0,24750.8,10139.7,0.0,0.0,410792.0,1276464.0,328.63,1021.17,6622,6622,0,0,0,64,64,0.0,3.074,simulation/experiment/scheme1_sba/mx_s4_dcqcn_out/,8f8c4c120d36fbb9
S4,dctcp,2,TRUE,64,1MiB,1,57.3078,57.1672,57.2067,57.3078,56614.6,57167.2,57206.7,9.3682,0.936821,7.1111,100.0,12.2,12470.4,0.0,0.0,1134912.0,1276464.0,907.93,1021.17,9030,0,0,0,0,64,64,-2.982,0.0,simulation/experiment/scheme1_sba/mx_s4_dctcp_out/,5bc6da33fac2f233
S4,timely,2,TRUE,64,1MiB,1,57.8999,57.8278,57.8491,57.8999,57266.7,57827.8,57849.1,9.2724,0.92724,7.1111,100.0,380.1,3173.4,0.0,0.0,22176.0,1278816.0,17.74,1023.05,1646,0,0,0,0,64,64,-1.98,1.033,simulation/experiment/scheme1_sba/mx_s4_timely_out/,a2bffb7ed34281f0
S4,hpcc,2,TRUE,64,1MiB,1,60.3407,60.2281,60.3035,60.3407,59706.0,60228.1,60303.5,8.8973,0.889733,7.1111,100.0,19.3,668.9,0.0,0.0,2180.0,1296010.0,1.74,1036.81,288,0,0,0,0,64,64,2.152,5.292,simulation/experiment/scheme1_sba/mx_s4_hpcc_out/,3bfa1e018b2ce2e4
S4,cbapsba,2,TRUE,64,1MiB,1,56.8446,56.8431,56.8441,56.8396,56793.1,56806.2,56806.7,9.4445,0.944454,7.1111,100.0,35.4,230.1,0.0,0.0,17816.0,28296.0,14.25,22.64,0,0,0,0,0,64,64,-3.766,-0.808,simulation/experiment/scheme1_sba/mx_s4_cbapsba_out/,0bc486c9fedf3e5b
S5,dcqcn,2,TRUE,64,4MiB,1,230.3722,228.8488,229.3606,230.3722,222506.4,228848.8,229360.6,9.3218,0.93218,6.4,100.0,20927.8,38759.2,0.0,0.0,1064768.0,1279608.0,851.81,1023.69,28010,28010,0,0,0,64,64,0.0,0.736,simulation/experiment/scheme1_sba/mx_s5_dcqcn_out/,f184755f95106127
S5,dctcp,2,TRUE,64,4MiB,1,228.6891,228.612,228.636,228.6891,227739.5,228612.0,228636.0,9.3904,0.939041,6.4,100.0,10.9,47356.5,0.0,0.0,1270176.0,1276464.0,1016.14,1021.17,37927,0,0,0,0,64,64,-0.731,0.0,simulation/experiment/scheme1_sba/mx_s5_dctcp_out/,3119cda00a525b70
S5,timely,2,TRUE,64,4MiB,1,231.0021,230.9377,230.9892,231.0021,229816.4,230937.7,230989.2,9.2964,0.929638,6.4,100.0,377.9,5132.9,0.0,0.0,119328.0,1278816.0,95.46,1023.05,1642,0,0,0,0,64,64,0.273,1.011,simulation/experiment/scheme1_sba/mx_s5_timely_out/,1617c1bde1668a01
S5,hpcc,2,TRUE,64,4MiB,1,241.1236,240.9215,240.9704,241.1236,239808.6,240921.5,240970.4,8.9062,0.890615,6.4,100.0,16.4,1009.3,0.0,0.0,18530.0,1296010.0,14.82,1036.81,288,0,0,0,0,64,64,4.667,5.437,simulation/experiment/scheme1_sba/mx_s5_hpcc_out/,b11bb31165c2e916
S5,cbapsba,2,TRUE,64,4MiB,1,227.2639,227.2631,227.2636,227.2589,227219.4,227237.5,227237.8,9.4493,0.94493,6.4,100.0,36.1,1175.9,0.0,0.0,37728.0,48208.0,30.18,38.57,0,0,0,0,0,64,64,-1.349,-0.623,simulation/experiment/scheme1_sba/mx_s5_cbapsba_out/,94df81f851f4553d
S6,dcqcn,2,TRUE,60,256KiB,2,6.8529,6.8516,6.8528,6.8529,6778.8,6851.6,6852.8,18.3614,0.918071,15.172,100.0,8127.1,1559.1,0.0,0.0,0.0,599456.0,0.0,479.56,461,461,0,0,0,60,60,0.0,0.0,simulation/experiment/scheme1_sba/mx_s6_dcqcn_out/,c0f0b20ea6a4e551
S6,dctcp,2,TRUE,60,256KiB,2,6.8537,6.8533,6.8536,6.8537,6775.4,6853.3,6853.6,18.3592,0.917958,15.2153,100.285,6.3,1559.2,0.0,0.0,0.0,599456.0,0.0,479.56,462,0,0,0,0,60,60,0.012,0.012,simulation/experiment/scheme1_sba/mx_s6_dctcp_out/,1d4624f9e0fe495f
S6,timely,2,TRUE,60,256KiB,2,8.2396,8.1987,8.2175,8.2396,6990.0,8198.7,8217.5,15.2713,0.763567,15.0865,99.436,520.4,617.7,0.0,0.0,0.0,591360.0,0.0,473.09,42,0,0,0,0,60,60,20.234,20.234,simulation/experiment/scheme1_sba/mx_s6_timely_out/,baeac8bb2f767bbe
S6,hpcc,2,TRUE,60,256KiB,2,7.3254,7.2956,7.3071,7.3254,7128.6,7295.6,7307.1,17.1771,0.858855,14.6236,96.385,14.6,190.8,0.0,0.0,0.0,598410.0,0.0,478.73,25,0,0,0,0,60,60,6.895,6.895,simulation/experiment/scheme1_sba/mx_s6_hpcc_out/,b7f71e6ae5a12bed
S6,cbapsba,2,TRUE,60,256KiB,2,6.8652,6.863,6.8647,6.8602,6835.6,6840.0,6840.6,18.3286,0.916429,15.1653,99.956,34.8,23.9,0.0,0.0,0.0,26200.0,0.0,20.96,0,0,0,0,0,60,60,0.179,0.179,simulation/experiment/scheme1_sba/mx_s6_cbapsba_out/,2875447c7d58d0de

"# CCT_mean_ms is the batch CCT (last_ack - ready); per-flow CCT percentiles share the batch reference. background_retention_pct = bg goodput / same-scenario DCQCN x100 (definition in 01). link_utilization = batch_goodput / (10G x bottleneck_count). NA = not computable, never estimated. relative_* on batch CCT, negative = faster."
