time_ns,event,entity,role_or_zone_or_state,requested_or_target_bps,commanded_or_aggreq_bps,applied_bps,owner,queue_B_or_phase,Q_pred_B,boost_bps,drain_bps
995445000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995450000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995455000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995460000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995465000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995470000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995475000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995480000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995485000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995490000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995495000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995500000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995505000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995510000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995515000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995520000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995525000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995530000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995535000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995540000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995545000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995550000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995555000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995560000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995565000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995570000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995575000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995580000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995585000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995590000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995595000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995600000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995605000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995610000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995615000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995620000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995625000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995630000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995635000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995640000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995645000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995650000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995655000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995660000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995665000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995670000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995675000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995680000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995685000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995690000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995695000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995700000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995705000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995710000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995715000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995720000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995725000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995730000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995735000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995740000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995745000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995750000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995755000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995760000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995765000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995770000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995775000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995780000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995785000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995790000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995795000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995800000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995805000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995810000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995815000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995820000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995825000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995830000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995835000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995840000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995845000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995850000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995855000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995860000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995865000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995870000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995875000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995880000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995885000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995890000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995895000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995900000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995905000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995910000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995915000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995920000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995925000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995930000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995935000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995940000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995945000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995950000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995955000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995960000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995965000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995970000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995975000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995980000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995985000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995990000,epoch,link0,GREEN,0,0,0,,0,0,0,0
995995000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996000000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996005000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996010000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996015000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996020000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996025000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996030000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996035000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996040000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996045000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996050000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996055000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996060000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996065000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996070000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996075000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996080000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996085000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996090000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996095000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996100000,epoch,link0,GREEN,0,0,0,,0,0,0,0
