run,scenario,algorithm,seed,config_path,result_path,exit_code,duration_s,config_sha,topology_sha,flow_sha,link_sha,path_sha,binary_sha,status,note
mx_s6_dcqcn,S6,dcqcn,2,simulation/experiment/scheme1_sba/mx_s6_dcqcn.txt,simulation/experiment/scheme1_sba/mx_s6_dcqcn_out/,0,600,c0f0b20ea6a4e5516be3c5a027d1a0f578b644289461088d53fb553b0d74eee2,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,4f924144e69b7687c76b054996fd60c46bc2a2f77ea8c0f8a7f8f438de956ad0,a0ae61dc3f0ab793087227b74bdc1a44c4b93208ffafe9e2d99810368edb2598,f0877a2e4eaba0c1869a668549291f34ed787985bef436d0e1b7448cb4c09237,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,final matrix cell
mx_s6_dctcp,S6,dctcp,2,simulation/experiment/scheme1_sba/mx_s6_dctcp.txt,simulation/experiment/scheme1_sba/mx_s6_dctcp_out/,0,575,1d4624f9e0fe495f5056b170df42f33f6e827d4a7dc6612e50d907d4ca3da305,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,4f924144e69b7687c76b054996fd60c46bc2a2f77ea8c0f8a7f8f438de956ad0,a0ae61dc3f0ab793087227b74bdc1a44c4b93208ffafe9e2d99810368edb2598,f0877a2e4eaba0c1869a668549291f34ed787985bef436d0e1b7448cb4c09237,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,final matrix cell
mx_s6_timely,S6,timely,2,simulation/experiment/scheme1_sba/mx_s6_timely.txt,simulation/experiment/scheme1_sba/mx_s6_timely_out/,0,620,baeac8bb2f767bbec7edac71f174ab0a78b6e0311977c6156e6ec5b20a481828,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,4f924144e69b7687c76b054996fd60c46bc2a2f77ea8c0f8a7f8f438de956ad0,a0ae61dc3f0ab793087227b74bdc1a44c4b93208ffafe9e2d99810368edb2598,f0877a2e4eaba0c1869a668549291f34ed787985bef436d0e1b7448cb4c09237,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,final matrix cell
mx_s6_hpcc,S6,hpcc,2,simulation/experiment/scheme1_sba/mx_s6_hpcc.txt,simulation/experiment/scheme1_sba/mx_s6_hpcc_out/,0,640,b7f71e6ae5a12bed503bbd0c4ac932c58f9c8284b42221a17bb9aba129e5118c,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,4f924144e69b7687c76b054996fd60c46bc2a2f77ea8c0f8a7f8f438de956ad0,a0ae61dc3f0ab793087227b74bdc1a44c4b93208ffafe9e2d99810368edb2598,f0877a2e4eaba0c1869a668549291f34ed787985bef436d0e1b7448cb4c09237,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,final matrix cell
mx_s6_cbapsba,S6,cbapsba,2,simulation/experiment/scheme1_sba/mx_s6_cbapsba.txt,simulation/experiment/scheme1_sba/mx_s6_cbapsba_out/,0,712,2875447c7d58d0de19ee6c7ff0aaa5008a7b660e4aecdf6d7827a99790408da2,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,4f924144e69b7687c76b054996fd60c46bc2a2f77ea8c0f8a7f8f438de956ad0,a0ae61dc3f0ab793087227b74bdc1a44c4b93208ffafe9e2d99810368edb2598,f0877a2e4eaba0c1869a668549291f34ed787985bef436d0e1b7448cb4c09237,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,final matrix cell
mx_s3_dcqcn,S3,dcqcn,2,simulation/experiment/scheme1_sba/mx_s3_dcqcn.txt,simulation/experiment/scheme1_sba/mx_s3_dcqcn_out/,0,989,82d9e871dbcd73072a16f6ce0168c365d227657b3d7409233040eda60ec8600e,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,6b922c67e56c04aa32f67078c89bd8a0a0fafceae58f078bfa272cc8223ada0b,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,final matrix cell
mx_s3_dctcp,S3,dctcp,2,simulation/experiment/scheme1_sba/mx_s3_dctcp.txt,simulation/experiment/scheme1_sba/mx_s3_dctcp_out/,0,937,52574597523232948702fcbc3bf9ac05edf0a20f0bd0535b4dc6de50e1451df0,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,6b922c67e56c04aa32f67078c89bd8a0a0fafceae58f078bfa272cc8223ada0b,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,final matrix cell
mx_s3_timely,S3,timely,2,simulation/experiment/scheme1_sba/mx_s3_timely.txt,simulation/experiment/scheme1_sba/mx_s3_timely_out/,0,945,95cb2e5402b8e698c314a43a5702ecf07f3927c51ab314b503634b5fae24f9a7,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,6b922c67e56c04aa32f67078c89bd8a0a0fafceae58f078bfa272cc8223ada0b,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,final matrix cell
mx_s3_hpcc,S3,hpcc,2,simulation/experiment/scheme1_sba/mx_s3_hpcc.txt,simulation/experiment/scheme1_sba/mx_s3_hpcc_out/,0,970,e8cf60c7390812f4cd320e26b61f6e06e4603c5ea9c1ae24b236a976c86fa8ce,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,6b922c67e56c04aa32f67078c89bd8a0a0fafceae58f078bfa272cc8223ada0b,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,final matrix cell
mx_s3_cbapsba,S3,cbapsba,2,simulation/experiment/scheme1_sba/mx_s3_cbapsba.txt,simulation/experiment/scheme1_sba/mx_s3_cbapsba_out/,0,1052,158415cd058577c534ddd96895e9fd7741c45ccd97f567a3dab43e9eb97fe910,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,6b922c67e56c04aa32f67078c89bd8a0a0fafceae58f078bfa272cc8223ada0b,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,final matrix cell
mx_s4_dcqcn,S4,dcqcn,2,simulation/experiment/scheme1_sba/mx_s4_dcqcn.txt,simulation/experiment/scheme1_sba/mx_s4_dcqcn_out/,0,3036,8f8c4c120d36fbb94b19c2086346603bcd094dc205a2d3e794b3de1289dc191a,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,6b922c67e56c04aa32f67078c89bd8a0a0fafceae58f078bfa272cc8223ada0b,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,final matrix cell
