flow_id,round_id,total_feedback,int_hop_count,actionable_feedback,late_same_round_feedback,stale_older_round_feedback,feedback_during_off,live_rate_changes_during_off,first_feedback_time,last_feedback_time,mean_remaining_unsent_ratio,min_remaining_unsent_ratio,mean_remaining_unsent_bytes,min_remaining_unsent_bytes,max_normalized_load,mean_normalized_load,first_rate_before,last_rate_after,feedback_changed_live_rate,late_action_ratio,actionable_byte_ratio
29,0,4406,3,4396,10,0,10,1,0.020012559,0.025649625,0.440302612,0.000000000,1846763.005,0,7.032993379,3.767592379,400000000000,6551762332,2441,0.000226963,0.440302612
30,0,4406,3,4395,11,0,11,1,0.020012601,0.025682713,0.439036542,0.000000000,1841452.724,0,6.518630561,3.788150798,400000000000,7123318923,2411,0.000226963,0.439036542
31,0,4406,3,4396,10,0,10,1,0.020012538,0.025552425,0.440705612,0.000000000,1848453.313,0,6.516847556,3.757570943,400000000000,6409651683,2477,0.000226963,0.440705612
32,0,4406,3,4397,9,0,9,9,0.020012433,0.025512666,0.440536169,0.000000000,1847742.615,0,6.508033294,3.841292539,400000000000,6011549707,2424,0.002042669,0.440536169
33,0,4406,3,4396,10,0,10,7,0.020012664,0.025653501,0.443237774,0.000000000,1859073.968,0,7.034821031,3.730124912,400000000000,7066940314,2484,0.001588743,0.443237774
34,0,4406,3,4397,9,0,9,1,0.020012517,0.025552387,0.440139247,0.000000000,1846077.803,0,6.509632840,3.849053436,400000000000,6162248605,2410,0.000226963,0.440139247
35,0,4406,3,4391,15,0,15,1,0.020012643,0.026114583,0.440726532,0.000000000,1848541.057,0,6.520391058,3.340377689,400000000000,10282423106,2599,0.000226963,0.440726532
36,0,4406,3,4393,13,0,13,7,0.020013651,0.026061985,0.440385275,0.000000000,1847109.721,0,6.502427623,3.346273424,400000000000,9738399433,2668,0.001588743,0.440385275
37,0,4406,3,4396,10,0,10,1,0.020012622,0.025646893,0.442677138,0.000000000,1856722.489,0,6.511459355,3.750798547,400000000000,6301873028,2439,0.000226963,0.442677138
38,0,4406,3,4392,14,0,14,14,0.020012748,0.025996999,0.442997142,0.000000000,1858064.683,0,6.504276789,3.356259773,400000000000,9205819282,2674,0.003177485,0.442997142
39,0,4406,3,4394,12,0,12,4,0.020012769,0.025842929,0.445513208,0.000000000,1868617.830,0,7.036688928,3.700458186,400000000000,8086573972,2445,0.000907853,0.445513208
40,0,4406,3,4391,15,0,15,6,0.020013756,0.026079702,0.442794493,0.000000000,1857214.714,0,6.522256701,3.359716673,400000000000,10444532329,2638,0.001361779,0.442794493
41,0,4406,3,4385,21,0,21,1,0.020012727,0.026193108,0.446404825,0.000000000,1872357.545,0,6.498533778,3.218869834,400000000000,14538707329,2605,0.000226963,0.446404825
42,0,4406,3,4390,16,0,16,1,0.020013735,0.026126132,0.446175528,0.000000000,1871395.802,0,6.527608894,3.234852072,400000000000,11010124142,2682,0.000226963,0.446175528
43,0,4406,3,4395,11,0,11,1,0.020012853,0.025710151,0.442106828,0.000000000,1854330.437,0,6.507836880,3.735354970,400000000000,6935798832,2413,0.000226963,0.442106828
44,0,4406,3,4389,17,0,17,14,0.020014743,0.026145079,0.446187800,0.000000000,1871447.274,0,6.492275079,3.233141869,400000000000,14858608793,2685,0.003177485,0.446187800
45,0,4406,3,4392,14,0,14,6,0.020012832,0.026071051,0.446612249,0.000000000,1873227.541,0,6.507728094,3.394014319,400000000000,10280532485,2576,0.001361779,0.446612249
