time: 1990000000
77 3 2001
77 4 2001
77 5 2001
77 6 2001
77 7 2001
77 8 2001
78 1 2001
78 2 2001
78 3 2001
78 4 2001
78 5 2001
78 6 2001
78 7 2001
78 8 2001
79 1 2001
79 2 2001
79 3 2001
79 4 2001
79 5 2001
79 6 2001
79 7 2001
79 8 2001
80 1 2001
80 2 2001
80 3 2001
80 4 2001
80 5 2001
80 6 2001
80 7 2001
80 8 2001
81 1 2001
81 2 2001
81 3 2001
81 4 2001
81 5 2001
81 6 2001
81 7 2001
81 8 2001
82 1 2001
82 2 2001
82 3 2001
82 4 2001
82 5 2001
82 6 2001
82 7 2001
82 8 2001
83 1 2001
83 2 2001
83 3 2001
83 4 2001
83 5 2001
83 6 2001
83 7 2001
83 8 2001
84 1 2001
84 2 2001
84 3 2001
84 4 2001
84 5 2001
84 6 2001
84 7 2001
84 8 2001
85 1 2001
85 2 2001
85 3 2001
85 4 2001
85 5 2001
85 6 2001
85 7 2001
85 8 2001
85 9 2001
85 10 2001
85 11 2001
85 12 2001
85 13 2001
85 14 2001
85 15 2001
85 16 2001
85 17 2001
86 1 2001
86 2 2001
86 3 2001
86 4 2001
86 5 2001
86 6 2001
86 7 2001
86 8 2001
86 9 2001
86 10 2001
86 11 2001
86 12 2001
86 13 2001
86 14 2001
86 15 2001
86 16 2001
86 17 2001
87 1 2001
87 2 2001
87 3 2001
87 4 2001
87 5 2001
87 6 2001
87 7 2001
87 8 2001
87 9 2001
87 10 2001
87 11 2001
87 12 2001
87 13 2001
87 14 2001
87 15 2001
87 16 2001
87 17 2001
88 1 2001
88 2 2001
88 3 2001
88 4 2001
88 5 2001
88 6 2001
88 7 2001
88 8 2001
88 9 2001
88 10 2001
88 11 2001
88 12 2001
88 13 2001
88 14 2001
88 15 2001
88 16 2001
88 17 2001
time: 1990300000
68 1 3001
68 2 3001
68 3 3001
68 4 3001
68 5 3001
68 6 3001
68 7 3001
68 8 3001
69 1 3001
69 2 3001
69 3 3001
69 4 3001
69 5 3001
69 6 3001
69 7 3001
69 8 3001
70 1 3001
70 2 3001
70 3 3001
70 4 3001
70 5 3001
70 6 3001
70 7 3001
70 8 3001
71 1 3001
71 2 3001
71 3 3001
71 4 3001
71 5 3001
71 6 3001
71 7 3001
71 8 3001
72 1 3001
72 2 3001
72 3 3001
72 4 3001
72 5 3001
72 6 3001
72 7 3001
72 8 3001
73 1 3001
73 2 3001
73 3 3001
73 4 3001
73 5 3001
73 6 3001
73 7 3001
73 8 3001
74 1 3001
74 2 3001
74 3 3001
74 4 3001
74 5 3001
74 6 3001
74 7 3001
74 8 3001
75 1 3001
75 2 3001
75 3 3001
75 4 3001
75 5 3001
75 6 3001
75 7 3001
75 8 3001
76 1 3001
76 2 3001
76 3 3001
76 4 3001
76 5 3001
76 6 3001
76 7 3001
76 8 3001
77 1 3001
77 2 3001
77 3 3001
77 4 3001
77 5 3001
77 6 3001
77 7 3001
77 8 3001
78 1 3001
78 2 3001
78 3 3001
78 4 3001
78 5 3001
78 6 3001
78 7 3001
78 8 3001
79 1 3001
79 2 3001
79 3 3001
79 4 3001
79 5 3001
79 6 3001
79 7 3001
79 8 3001
80 1 3001
80 2 3001
80 3 3001
80 4 3001
80 5 3001
80 6 3001
80 7 3001
80 8 3001
81 1 3001
81 2 3001
81 3 3001
81 4 3001
81 5 3001
81 6 3001
81 7 3001
81 8 3001
82 1 3001
82 2 3001
82 3 3001
82 4 3001
82 5 3001
82 6 3001
82 7 3001
82 8 3001
83 1 3001
83 2 3001
83 3 3001
83 4 3001
83 5 3001
83 6 3001
83 7 3001
83 8 3001
84 1 3001
84 2 3001
84 3 3001
84 4 3001
84 5 3001
84 6 3001
84 7 3001
84 8 3001
85 1 3001
85 2 3001
85 3 3001
85 4 3001
85 5 3001
85 6 3001
85 7 3001
85 8 3001
85 9 3001
85 10 3001
85 11 3001
85 12 3001
85 13 3001
85 14 3001
85 15 3001
85 16 3001
85 17 3001
86 1 3001
86 2 3001
86 3 3001
86 4 3001
86 5 3001
86 6 3001
86 7 3001
86 8 3001
86 9 3001
86 10 3001
86 11 3001
86 12 3001
86 13 3001
86 14 3001
86 15 3001
86 16 3001
86 17 3001
87 1 3001
87 2 3001
87 3 3001
87 4 3001
87 5 3001
87 6 3001
87 7 3001
87 8 3001
87 9 3001
87 10 3001
87 11 3001
87 12 3001
87 13 3001
87 14 3001
87 15 3001
87 16 3001
87 17 3001
88 1 3001
88 2 3001
88 3 3001
88 4 3001
88 5 3001
88 6 3001
88 7 3001
88 8 3001
88 9 3001
88 10 3001
88 11 3001
88 12 3001
88 13 3001
88 14 3001
88 15 3001
88 16 3001
88 17 3001
time: 1990400000
68 1 4001
68 2 4001
68 3 4001
68 4 4001
68 5 4001
68 6 4001
68 7 4001
68 8 4001
69 1 4001
69 2 4001
69 3 4001
69 4 4001
69 5 4001
69 6 4001
69 7 4001
69 8 4001
70 1 4001
70 2 4001
70 3 4001
70 4 4001
70 5 4001
70 6 4001
70 7 4001
70 8 4001
71 1 4001
71 2 4001
71 3 4001
71 4 4001
71 5 4001
71 6 4001
71 7 4001
71 8 4001
72 1 4001
72 2 4001
72 3 4001
72 4 4001
72 5 4001
72 6 4001
72 7 4001
72 8 4001
73 1 4001
73 2 4001
73 3 4001
73 4 4001
73 5 4001
73 6 4001
73 7 4001
73 8 4001
74 1 4001
74 2 4001
74 3 4001
74 4 4001
74 5 4001
74 6 4001
74 7 4001
74 8 4001
75 1 4001
75 2 4001
75 3 4001
75 4 4001
75 5 4001
75 6 4001
75 7 4001
75 8 4001
76 1 4001
76 2 4001
76 3 4001
76 4 4001
76 5 4001
76 6 4001
76 7 4001
76 8 4001
77 1 4001
77 2 4001
77 3 4001
77 4 4001
77 5 4001
77 6 4001
77 7 4001
77 8 4001
78 1 4001
78 2 4001
78 3 4001
78 4 4001
78 5 4001
78 6 4001
78 7 4001
78 8 4001
79 1 4001
79 2 4001
79 3 4001
79 4 4001
79 5 4001
79 6 4001
79 7 4001
79 8 4001
80 1 4001
80 2 4001
80 3 4001
80 4 4001
80 5 4001
80 6 4001
80 7 4001
80 8 4001
81 1 4001
