label,kind,eta,x_metric,x_value,x_label,y_metric,y_value,y_label
eta=0.20,cbapsba_eta,0.20,bg_min_gbps,7.301010,background minimum throughput (Gbps),cct_ms,339.578854,collective completion time (ms)
eta=0.35,cbapsba_eta,0.35,bg_min_gbps,5.935354,background minimum throughput (Gbps),cct_ms,248.826806,collective completion time (ms)
eta=0.50,cbapsba_eta,0.50,bg_min_gbps,4.282828,background minimum throughput (Gbps),cct_ms,207.848606,collective completion time (ms)
eta=0.65,cbapsba_eta,0.65,bg_min_gbps,3.200000,background minimum throughput (Gbps),cct_ms,185.041500,collective completion time (ms)
eta=0.80,cbapsba_eta,0.80,bg_min_gbps,1.826263,background minimum throughput (Gbps),cct_ms,170.130747,collective completion time (ms)
DCQCN,reference_dcqcn,,bg_min_gbps,9.066667,background minimum throughput (Gbps),cct_ms,1227.327340,collective completion time (ms)
HPCC,reference_hpcc,,bg_min_gbps,0.092929,background minimum throughput (Gbps),cct_ms,160.313452,collective completion time (ms)
