time,flow_id,round_id,phase,snd_nxt,snd_una,released_bytes,current_rate,feedback_origin_round,feedback_class
0.50148,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.5015,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50152,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50154,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50156,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50158,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.5016,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50162,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50164,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50166,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50168,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.5017,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50172,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50174,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50176,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50178,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.5018,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50182,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50184,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50186,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50188,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.5019,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50192,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50194,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50196,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50198,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.502,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50202,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50204,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50206,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50208,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.5021,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50212,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50214,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50216,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50218,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.5022,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50222,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50224,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50226,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50228,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
