sample_time_ns,delivery_time_ns,link_id,switch_id,egress_port,capacity_bps,queue_bytes,previous_queue_bytes,input_bytes_delta,output_bytes_delta,ecn_marks_delta,pfc_events_delta,pause_duration_delta_ns,arrival_rate_bps,service_rate_bps,queue_gradient_bytes_per_second,port_state,root_id,root_reason,effective_capacity_bps,active_controlled_flows,pending_controlled_flows,local_paused,downstream_paused,stale
1001000000,1001005000,0,84,1,10000000000,0,0,5240,5240,0,0,0,8.384e+09,8.384e+09,0,0,0,0,12040172134,1,0,0,0,0
1999995000,2000000000,0,84,1,10000000000,0,0,5240,5240,0,0,0,8.384e+09,8.384e+09,0,0,0,0,12040172134,0,64,0,0,0
2000000000,2000005000,0,84,1,10000000000,0,0,5240,5240,0,0,0,8.384e+09,8.384e+09,0,0,0,0,12040172134,0,64,0,0,0
2000005000,2000010000,0,84,1,10000000000,0,0,5240,5240,0,0,0,8.384e+09,8.384e+09,0,0,0,0,12040172134,64,0,0,0,0
2000010000,2000015000,0,84,1,10000000000,0,0,4192,4192,0,0,0,6.7072e+09,6.7072e+09,0,0,0,0,12040172134,64,0,0,0,0
2000015000,2000020000,0,84,1,10000000000,11528,0,16768,5240,0,0,0,2.68288e+10,8.384e+09,2.3056e+09,4,0,0,12040172134,64,0,0,0,0
2000020000,2000025000,0,84,1,10000000000,33536,11528,28296,6288,0,0,0,4.52736e+10,1.00608e+10,4.4016e+09,2,0,1,12040172134,64,0,0,0,0
2000025000,2000030000,0,84,1,10000000000,52400,33536,25152,6288,0,0,0,4.02432e+10,1.00608e+10,3.7728e+09,2,0,1,12040172134,64,0,0,0,0
2000030000,2000035000,0,84,1,10000000000,54496,52400,8384,6288,0,0,0,1.34144e+10,1.00608e+10,4.192e+08,2,0,1,12040172134,64,0,0,0,0
2000035000,2000040000,0,84,1,10000000000,49256,54496,1048,6288,0,0,0,1.6768e+09,1.00608e+10,-1.048e+09,0,0,0,12040172134,64,0,0,0,0
2000040000,2000045000,0,84,1,10000000000,44016,49256,1048,6288,0,0,0,1.6768e+09,1.00608e+10,-1.048e+09,0,0,0,12040172134,64,0,0,0,0
2000045000,2000050000,0,84,1,10000000000,38776,44016,1048,6288,0,0,0,1.6768e+09,1.00608e+10,-1.048e+09,0,0,0,12040172134,64,0,0,0,0
2000050000,2000055000,0,84,1,10000000000,32488,38776,0,6288,0,0,0,0,1.00608e+10,-1.2576e+09,0,0,0,12040172134,64,0,0,0,0
2000055000,2000060000,0,84,1,10000000000,27248,32488,1048,6288,0,0,0,1.6768e+09,1.00608e+10,-1.048e+09,0,0,0,12040172134,64,0,0,0,0
2000060000,2000065000,0,84,1,10000000000,20960,27248,0,6288,0,0,0,0,1.00608e+10,-1.2576e+09,0,0,0,12040172134,64,0,0,0,0
2000065000,2000070000,0,84,1,10000000000,40872,20960,26200,6288,0,0,0,4.192e+10,1.00608e+10,3.9824e+09,4,0,0,12040172134,64,0,0,0,0
2000070000,2000075000,0,84,1,10000000000,59736,40872,25152,6288,0,0,0,4.02432e+10,1.00608e+10,3.7728e+09,2,0,1,12040172134,64,0,0,0,0
2000075000,2000080000,0,84,1,10000000000,69168,59736,15720,6288,0,0,0,2.5152e+10,1.00608e+10,1.8864e+09,2,0,1,12040172134,64,0,0,0,0
2000080000,2000085000,0,84,1,10000000000,64976,69168,2096,6288,0,0,0,3.3536e+09,1.00608e+10,-8.384e+08,0,0,0,12040172134,64,0,0,0,0
2000085000,2000090000,0,84,1,10000000000,59736,64976,1048,6288,0,0,0,1.6768e+09,1.00608e+10,-1.048e+09,0,0,0,12040172134,64,0,0,0,0
2000090000,2000095000,0,84,1,10000000000,53448,59736,0,6288,0,0,0,0,1.00608e+10,-1.2576e+09,0,0,0,12040172134,64,0,0,0,0
2000095000,2000100000,0,84,1,10000000000,48208,53448,1048,6288,0,0,0,1.6768e+09,1.00608e+10,-1.048e+09,0,0,0,12040172134,64,0,0,0,0
2000100000,2000105000,0,84,1,10000000000,41920,48208,0,6288,0,0,0,0,1.00608e+10,-1.2576e+09,0,0,0,12040172134,64,0,0,0,0
