flow_id,group_id,round_id,round_bytes,selected_rate_bps,max_rate_bps,phase_offset_ns,path_or_bottleneck_id
0,0,0,466329564,8000000000,10000000000,0,84:1
1,1,0,8388608,287500000,10000000000,0,84:1
2,1,0,8388608,287500000,10000000000,0,84:1
3,1,0,8388608,287500000,10000000000,0,84:1
4,1,0,8388608,287500000,10000000000,0,84:1
5,1,0,8388608,287500000,10000000000,0,84:1
6,1,0,8388608,287500000,10000000000,0,84:1
7,1,0,8388608,287500000,10000000000,0,84:1
8,1,0,8388608,287500000,10000000000,0,84:1
9,1,0,8388608,287500000,10000000000,0,84:1
10,1,0,8388608,287500000,10000000000,0,84:1
11,1,0,8388608,287500000,10000000000,0,84:1
12,1,0,8388608,287500000,10000000000,0,84:1
13,1,0,8388608,287500000,10000000000,0,84:1
14,1,0,8388608,287500000,10000000000,0,84:1
15,1,0,8388608,287500000,10000000000,0,84:1
16,1,0,8388608,287500000,10000000000,0,84:1
17,1,0,8388608,287500000,10000000000,0,84:1
18,1,0,8388608,287500000,10000000000,0,84:1
19,1,0,8388608,287500000,10000000000,0,84:1
20,1,0,8388608,287500000,10000000000,0,84:1
21,1,0,8388608,287500000,10000000000,0,84:1
22,1,0,8388608,287500000,10000000000,0,84:1
23,1,0,8388608,287500000,10000000000,0,84:1
24,1,0,8388608,287500000,10000000000,0,84:1
25,1,0,8388608,287500000,10000000000,0,84:1
26,1,0,8388608,287500000,10000000000,0,84:1
27,1,0,8388608,287500000,10000000000,0,84:1
28,1,0,8388608,287500000,10000000000,0,84:1
29,1,0,8388608,287500000,10000000000,0,84:1
30,1,0,8388608,287500000,10000000000,0,84:1
31,1,0,8388608,287500000,10000000000,0,84:1
32,1,0,8388608,287500000,10000000000,0,84:1
