timestamp_ns,link_id,epoch,phase,queue_bytes,q_target_bytes,q_hard_bytes,q_sync_floor_bytes,q_predicted_bytes,capacity_bps,credit_bps,drain_bps,total_budget_bps,old_share_bps,new_share_bps,sum_target_bps,new_flow_count,credit_truncated,oversubscribed,queue_delay_us,budget_over_capacity
2000010000,0,400002,1,0,4749,18999,67072,3749,10000000000,2000000000,0,12000000000,3600000000,8400000000,12000000000,64,0,1,0.0000,1.2000
2067455000,0,413491,1,49416,4749,18999,62880,49416,10000000000,0,0,10000000000,1814920907,8185079093,10000000000,60,0,0,39.5328,1.0000
2067460000,0,413492,1,45472,4749,18999,52400,45472,10000000000,0,0,10000000000,1542682770,8457317230,10000000000,50,0,0,36.3776,1.0000
2067465000,0,413493,1,41328,4749,18999,42968,41328,10000000000,0,0,10000000000,1311280354,8688719646,10000000000,41,0,0,33.0624,1.0000
2067470000,0,413494,1,36336,4749,18999,32488,36336,10000000000,0,0,10000000000,1114588301,8885411699,10000000000,31,0,0,29.0688,1.0000
2067475000,0,413495,1,31144,4749,18999,24104,31144,10000000000,0,0,10000000000,947400055,9052599945,10000000000,23,0,0,24.9152,1.0000
2067480000,0,413496,1,24480,4749,18999,13624,24480,10000000000,0,0,10000000000,805290047,9194709953,10000000000,13,0,0,19.5840,1.0000
2067485000,0,413497,1,19488,4749,18999,5240,19488,10000000000,0,0,10000000000,684496539,9315503461,10000000000,5,0,0,15.5904,1.0000
