flow_id,round_id,total_feedback,int_hop_count,actionable_feedback,late_same_round_feedback,stale_older_round_feedback,feedback_during_off,live_rate_changes_during_off,first_feedback_time,last_feedback_time,mean_remaining_unsent_ratio,min_remaining_unsent_ratio,mean_remaining_unsent_bytes,min_remaining_unsent_bytes,max_normalized_load,mean_normalized_load,first_rate_before,last_rate_after,feedback_changed_live_rate,late_action_ratio,actionable_byte_ratio
29,0,4406,3,4399,7,0,7,1,0.020013149,0.032339004,0.487121398,0.000000000,2043135.227,0,35.805749867,6.854335784,200000000000,4309662141,3393,0.000226963,0.487121398
30,0,4406,3,4398,8,0,8,3,0.020013233,0.032392765,0.487685342,0.000000000,2045500.581,0,35.834420496,6.561496539,200000000000,5886782619,3425,0.000680890,0.487685342
31,0,4406,3,4400,6,0,6,1,0.020013107,0.032270160,0.487045711,0.000000000,2042817.774,0,35.790540668,6.902965555,200000000000,3611190579,3401,0.000226963,0.487045711
32,0,4406,3,4401,5,0,5,3,0.020012855,0.032123070,0.486415364,0.000000000,2040173.906,0,35.800935446,7.034417245,200000000000,3063901898,3410,0.000680890,0.486415364
33,0,4406,3,4400,6,0,6,1,0.020013359,0.032295669,0.487123035,0.000000000,2043142.094,0,35.800071783,6.855581132,200000000000,3830906760,3415,0.000226963,0.487123035
34,0,4406,3,4400,6,0,6,1,0.020013065,0.032174508,0.486416560,0.000000000,2040178.923,0,35.798453559,7.035936098,200000000000,3459891463,3400,0.000226963,0.486416560
35,0,4406,3,4399,7,0,7,6,0.020013317,0.032376381,0.486396532,0.000000000,2040094.920,0,35.823534062,6.748236005,200000000000,6077620700,3391,0.001361779,0.486396532
36,0,4406,3,4401,5,0,5,1,0.020015333,0.032244008,0.486370082,0.000000000,2039983.982,0,35.821444336,6.751746166,200000000000,3412420529,3427,0.000226963,0.486370082
37,0,4406,3,4401,5,0,5,5,0.020013275,0.032114003,0.486415364,0.000000000,2040173.906,0,35.792039294,7.036715800,200000000000,3064358105,3424,0.001134816,0.486415364
38,0,4406,3,4401,5,0,5,1,0.020013485,0.032235404,0.486370546,0.000000000,2039985.926,0,35.836200415,6.750518369,200000000000,3445066002,3435,0.000226963,0.486370546
39,0,4406,3,4400,6,0,6,1,0.020013527,0.032344689,0.487122880,0.000000000,2043141.445,0,35.796075999,6.854963907,200000000000,4111904395,3403,0.000226963,0.487122880
40,0,4406,3,4400,6,0,6,6,0.020015501,0.032290041,0.486368394,0.000000000,2039976.899,0,35.814343779,6.751061340,200000000000,4389142946,3417,0.001361779,0.486368394
41,0,4406,3,4388,18,0,18,3,0.020013443,0.032454120,0.488000210,0.000000000,2046821.235,0,35.781709974,6.508056017,200000000000,13608497581,3399,0.000680890,0.488000210
42,0,4406,3,4396,10,0,10,8,0.020015459,0.032441128,0.488005787,0.000000000,2046844.625,0,35.772493910,6.512247402,200000000000,13464374391,3414,0.001815706,0.488005787
43,0,4406,3,4401,5,0,5,5,0.020013695,0.031965085,0.487046576,0.000000000,2042821.400,0,35.787643821,6.900013959,200000000000,3105367007,3455,0.001134816,0.487046576
44,0,4406,3,4396,10,0,10,1,0.020017517,0.032415550,0.488032214,0.000000000,2046955.468,0,35.785656747,6.515694154,200000000000,6501449303,3428,0.000226963,0.488032214
45,0,4406,3,4396,10,0,10,4,0.020013653,0.032444272,0.487770673,0.000000000,2045858.486,0,35.759795509,6.648519004,200000000000,13350781926,3389,0.000907853,0.487770673
46,0,4406,3,4400,6,0,6,6,0.020013401,0.032287044,0.487042363,0.000000000,2042803.729,0,35.833671415,6.320236931,200000000000,4440564633,3457,0.001361779,0.487042363
47,0,4406,3,4397,9,0,9,1,0.020015417,0.032394335,0.487038687,0.000000000,2042788.314,0,35.804234257,6.312651380,200000000000,6127369547,3425,0.000226963,0.487038687
48,0,4406,3,4397,9,0,9,5,0.020015669,0.032436197,0.487773547,0.000000000,2045870.538,0,35.755804106,6.653717640,200000000000,12044733322,3395,0.001134816,0.487773547
49,0,4406,3,4401,5,0,5,5,0.020013737,0.032120994,0.487790605,0.000000000,2045942.084,0,35.790673218,6.330011902,200000000000,3217824655,3544,0.001134816,0.487790605
50,0,4406,3,4401,5,0,5,5,0.020015963,0.032100635,0.487789162,0.000000000,2045936.034,0,35.784319851,6.330878259,200000000000,3316625912,3536,0.001134816,0.487789162
51,0,4406,3,4397,9,0,9,1,0.020018189,0.032423506,0.487775247,0.000000000,2045877.669,0,35.784444383,6.328918405,200000000000,6096160914,3435,0.000226963,0.487775247
52,0,4406,3,4400,6,0,6,1,0.020013863,0.032273414,0.486413727,0.000000000,2040167.039,0,35.787329372,7.032581973,200000000000,3691539555,3389,0.000226963,0.486413727
53,0,4406,3,4399,7,0,7,1,0.020013947,0.032339953,0.486514862,0.000000000,2040591.230,0,35.761881902,6.671609386,200000000000,4584877114,3403,0.000226963,0.486514862
54,0,4406,3,4399,7,0,7,1,0.020013611,0.032347775,0.487041962,0.000000000,2042802.048,0,35.832654166,6.314755627,200000000000,4218419725,3449,0.000226963,0.487041962
55,0,4406,3,4397,9,0,9,1,0.020015627,0.032428242,0.487035545,0.000000000,2042775.134,0,35.800250325,6.310691423,200000000000,6182552538,3403,0.000226963,0.487035545
56,0,4406,3,4399,7,0,7,3,0.020016173,0.032369496,0.486528049,0.000000000,2040646.544,0,35.789915818,6.674975464,200000000000,5938598015,3396,0.000680890,0.486528049
57,0,4406,3,4400,6,0,6,6,0.020013905,0.032207429,0.487046999,0.000000000,2042823.176,0,35.784387327,6.900446520,200000000000,3377875012,3432,0.001361779,0.487046999
58,0,4406,3,4400,6,0,6,2,0.020014157,0.032302942,0.487142817,0.000000000,2043225.064,0,35.754714571,6.852373280,200000000000,4191458996,3424,0.000453926,0.487142817
59,0,4406,3,4401,5,0,5,5,0.020014073,0.032060545,0.486417012,0.000000000,2040180.821,0,35.779220871,7.032105129,200000000000,2934645828,3426,0.001134816,0.486417012
60,0,4406,3,4397,9,0,9,1,0.020013821,0.032421098,0.487678914,0.000000000,2045473.620,0,35.827855027,6.556036823,200000000000,6147505841,3394,0.000226963,0.487678914
61,0,4406,3,4399,7,0,7,7,0.020014031,0.032366810,0.487043919,0.000000000,2042810.259,0,35.827970830,6.313882199,200000000000,6055754222,3440,0.001588743,0.487043919
62,0,4406,3,4396,10,0,10,3,0.020016047,0.032436615,0.487030765,0.000000000,2042755.087,0,35.794720874,6.309935148,200000000000,12620133835,3411,0.000680890,0.487030765
63,0,4406,3,4400,6,0,6,1,0.020014115,0.032316822,0.487043960,0.000000000,2042810.428,0,35.783323958,6.900244726,200000000000,4156751609,3410,0.000226963,0.487043960
64,0,4406,3,4399,7,0,7,7,0.020014367,0.032366129,0.487138398,0.000000000,2043206.529,0,35.831519999,6.858702988,200000000000,5850951722,3402,0.001588743,0.487138398
