scenario,algorithm,seed,group_id,round_id,common_release_time,barrier_completion_time,group_rct,total_round_bytes,participant_count,residual_queue_bytes,bottleneck_capacity_bps,background_bps,T_line,T_link,T_star,theoretical_lower_bound,lower_bound_efficiency,group_queue_max_bytes,group_ecn_marks,group_pfc_events,fallback_reason
pf_burst_400g,dcqcn,2,0,0,0.010000000,0.000000000,0.000000000,7510220377,1,0,0,0,0.150204408,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,not_bop
pf_burst_400g,dcqcn,2,1,0,0.100000000,0.100348679,0.000348679,16777216,64,0,0,0,0.000005243,0.000000000,0.000000000,0.000000000,0.000000000,15864856,0,0,not_bop
