algorithm,qp_id,sends,nextavail_interval_p50,nextavail_interval_p95,nextavail_interval_max,phase_mod_2162,phase_mod_3000
CBAP,0,66710,0,0,83102,597,937
DCQCN,0,68800,630,51265,83540,1660,2838
