scenario_tag,retx_bytes_total,incast_n,fct_p95_ms,oversub_peak_ratio,pfc_events,bg_fct_ms,fct_p50_ms,incast_done,fct_mean_ms,bg_n_flows,queue_recovery_ms,link_84_1_pfc_events,incast_agg_gbps,link_84_1_queue_drained,link_84_1_util_mean,sample_us,bg_recovery90_ms,n_links,link_84_1_queue_p95_bytes,queue_peak_bytes,pfc_paused_samples,stop_time_s,oversub_longest_run_ms,qmin_bytes,bg_after_gbps,bg_before_gbps,bg_retx_events,base_rtt_us,bg_slowdown,link_84_1_over_qmax_pct,bg_min_gbps,bg0_observation_end_s,bg_completed,over_qmin_pct,bg_retx_bytes,link_84_1_queue_mean_bytes,bg_recovery95_ms_never_dipped,bg_recovery90_ms_never_dipped,queue_final_bytes,fct_min_ms,config_sha256,app_rate_cap_bps,bg_recovery95_ms,cct_ms,queue_p99_bytes,bg_drop_pct,link_84_1_pfc_pause_total_ns,queue_drained,link_84_1_queue_peak_bytes,link_84_1_oversub_peak_bytes,bg0_bg_completed_before_end,link_84_1_qmax_exceed_ratio,total_acked_bytes,link_84_1_oversub_duration_ms,recovery_rtts,bg_service_debt_bytes,oversub_peak_bytes,completion_rate_pct,fct_max_ms,pfc_pause_total_ns,ecn_marks,link_84_1_pfc_paused_samples,qmax_exceed_ratio,cc_mode,link_84_1_ecn_marks,retx_events_total,algorithm,link_84_1_oversub_longest_run_ms,link_84_1_oversub_peak_ratio,util_mean,link_84_1_queue_final_bytes,drops,bg_during_gbps,queue_p95_bytes,fct_p99_ms,over_qmax_pct,seed,cbap_enable,qmax_bytes,link_84_1_queue_recovery_ms,bg_retention_pct,queue_mean_bytes,oversub_duration_ms,link_84_1_queue_p99_bytes,scenario,bg_service_debt_window_s,incast_fairness_jain,link_84_1_over_qmin_pct,link_83_1_qmax_exceed_ratio,link_83_1_pfc_events,link_83_1_over_qmin_pct,link_83_1_queue_final_bytes,link_83_1_queue_drained,link_83_1_oversub_peak_ratio,link_83_1_oversub_peak_bytes,link_83_1_queue_mean_bytes,link_83_1_queue_peak_bytes,link_83_1_oversub_longest_run_ms,link_83_1_over_qmax_pct,link_83_1_queue_p95_bytes,link_83_1_oversub_duration_ms,link_83_1_util_mean,link_83_1_pfc_pause_total_ns,link_83_1_ecn_marks,link_83_1_queue_p99_bytes,link_83_1_pfc_paused_samples,link_83_1_queue_recovery_ms
s3,0,64,281.73476605,3.18068,0,nan,281.6258835,64,281.56431668749997,1,280.56000000000034,0,1.9055369979733376,1,0.9481510223962991,10.0,0.0,1,1271224.0,1272272.0,0,3.0,280.04,200000.0,7.640878839352843,7.640881635265409,0,15.2,nan,73.35690897184021,7.636363636363279,2.99998,0,73.57956777996071,0,928932.4345252129,1,1,0.0,281.287116,f19e80c68f700c10,8000000000.0,0.0,381.74258100000014,1272272.0,0.05912928792508598,0,1,1272272.0,872272.0,0,3.18068,1977323864.0,280.04,18457.89473684213,2089804000.0,872272.0,100.0,281.742581,0,9542.0,0,3.18068,1,9542.0,0,dcqcn,280.04,3.18068,0.9481510223962991,0.0,0,7.64086551055692,1271224.0,281.74068281,73.35690897184021,2,0,400000,280.56000000000034,99.99978896795868,928932.4345252129,280.04,1272272.0,s3_fan64_1m_bg80,3.0,0.9999997209679906,73.57956777996071,,,,,,,,,,,,,,,,,,,
s3,0,64,281.73476605,3.18068,0,nan,281.6258835,64,281.5613705937499,1,280.56000000000034,0,1.9055369979733376,1,0.9481510223962988,10.0,0.0,1,1271224.0,1272272.0,0,3.0,280.04,200000.0,7.640878839352843,7.640881635265409,0,15.2,nan,73.35690897184021,7.636363636363279,2.99998,0,73.57956777996071,0,928886.2103470858,1,1,0.0,281.253596,6f3ae85eb6a5a8c6,8000000000.0,0.0,381.74258100000014,1272272.0,0.05912928792508598,0,1,1272272.0,872272.0,0,3.18068,1977323864.0,280.04,18457.89473684213,2089804000.0,872272.0,100.0,281.742581,0,9542.0,0,3.18068,8,9542.0,0,dctcp,280.04,3.18068,0.9481510223962988,0.0,0,7.64086551055692,1271224.0,281.74068281,73.35690897184021,2,0,400000,280.56000000000034,99.99978896795868,928886.2103470858,280.04,1272272.0,s3_fan64_1m_bg80,3.0,0.9999997020259677,73.57956777996071,,,,,,,,,,,,,,,,,,,
s3,0,64,283.20984405,3.20232,0,nan,283.10040849999996,64,283.03127962499997,1,282.07000000000005,0,1.8956128417953235,1,0.9486999133663676,10.0,0.0,1,1280928.0,1280928.0,0,3.0,281.52,200000.0,7.58294547686813,7.582943317732708,0,15.2,nan,73.46171911695632,7.5797979797976245,2.99998,0,73.68352382443506,0,937202.0470747873,1,1,0.0,282.704701,129835f8b7f71b37,8000000000.0,0.0,383.2175960000002,1280928.0,0.04147911705640883,0,1,1280928.0,880928.0,0,3.20232,1962838864.0,281.52,18557.236842105267,2104289000.0,880928.0,100.0,283.217596,0,9655.0,0,3.20232,7,9655.0,0,timely,281.52,3.20232,0.9486999133663676,0.0,0,7.582922755741128,1280928.0,283.21621441,73.46171911695632,2,0,400000,282.07000000000005,99.9997288389123,937202.0470747873,281.52,1280928.0,s3_fan64_1m_bg80,3.0,0.9999996759732831,73.68352382443506,,,,,,,,,,,,,,,,,,,
s3,0,64,60.10895325,3.229125,0,nan,59.758093,64,59.5885604375,1,3.009999999999735,0,8.927877169700624,1,0.870797172473921,10.0,159.9999999999935,1,23980.0,1291650.0,0,3.0,2.89,200000.0,7.346041879468848,7.346197847913916,0,15.2,nan,1.8046709129511678,0.09292929292928859,2.99998,0,2.1168977144998125,0,22616.085550143624,0,0,0.0,57.770199,0d7b645bb6c62551,8000000000.0,161.99999999999326,160.13421800000006,900721.5000000043,98.7350014952881,0,1,1291650.0,891650.0,0,3.229125,1849385864.0,2.89,198.02631578945628,2217741000.0,891650.0,100.0,60.134218000000004,0,274.0,0,3.229125,3,274.0,0,hpcc,2.89,3.229125,0.870797172473921,0.0,0,4.636472645515862,23980.0,60.13094515,1.8046709129511678,2,0,400000,3.009999999999735,63.11390928345976,22616.085550143624,2.89,900721.5000000043,s3_fan64_1m_bg80,3.0,0.9999237866586987,2.1168977144998125,,,,,,,,,,,,,,,,,,,
s3,0,64,93.53297815,3.15972,0,nan,93.5142225,64,93.33508690625001,1,76.23000000000025,0,5.739813919027768,1,0.897249610416085,10.0,193.99999999998974,1,1263888.0,1263888.0,0,3.0,85.98,200000.0,7.568536251709987,7.640881635265409,0,15.2,nan,44.67293582721918,2.258585858585753,2.99998,0,46.65702180427819,0,548016.2732251731,0,0,0.0,92.086893,20eb86ba4f0c41fb,8000000000.0,193.99999999998974,193.5345500000003,1263888.0,70.44076892695774,0,1,1263888.0,863888.0,0,3.15972,1924278864.0,86.46000000000001,5015.131578947385,2142849000.0,863888.0,100.0,93.53455,0,8253.0,0,3.15972,30,8253.0,0,cbapsba,85.98,3.15972,0.897249610416085,0.0,0,5.787887556841673,1263888.0,93.53423563,44.67293582721918,2,1,400000,76.23000000000025,75.74894931140531,548016.2732251731,86.46000000000001,1263888.0,s3_fan64_1m_bg80,3.0,0.9999889503929584,46.65702180427819,,,,,,,,,,,,,,,,,,,
s6,0,60,33.03271599999999,1.48816,0,nan,32.7184955,60,32.6858554,2,31.850000000000378,0,3.8091129160890156,1,0.8503325556221775,10.0,0.0,2,594216.0,595264.0,0,2.5,31.330000000000002,200000.0,15.281757827558154,15.281763270530819,0,15.2,nan,23.541791942273,7.636363636363279,2.49998,0,24.188214070956104,0,141378.040288635,,,0.0,31.882048000000005,1e306f48e033915d,8000000000.0,0.0,133.03370700000005,594216.0,0.05912928792508598,0,1,595264.0,195264.0,0,1.48816,2881048640.0,31.32,2095.3947368421304,5134718000.0,195264.0,100.0,33.033707,0,451.0,0,1.48816,1,233.0,0,dcqcn,31.32,1.48816,0.8503325556221776,0.0,0,15.281671929033212,594216.0,33.033707,23.549308478653035,2,0,400000,31.850000000000378,99.99940228430457,141544.18400481058,31.330000000000002,594216.0,s6_dual_bottleneck_256k_bg80,2.5,0.9998943456284306,24.188214070956104,1.48816,0,24.188214070956104,0.0,1,1.48816,195264.0,141544.18400481058,595264.0,31.330000000000002,23.549308478653035,594216.0,31.330000000000002,0.8503325556221777,0,218.0,594216.0,0,31.850000000000378
s6,0,60,33.03271599999999,1.48816,0,nan,32.7184955,60,32.6858554,2,31.850000000000378,0,3.8091129160890156,1,0.8503325556221775,10.0,0.0,2,594216.0,595264.0,0,2.5,31.330000000000002,200000.0,15.281757827558154,15.281763270530819,0,15.2,nan,23.541791942273,7.636363636363279,2.49998,0,24.188214070956104,0,141378.040288635,,,0.0,31.882048000000005,d6b20b4894a222a7,8000000000.0,0.0,133.03370700000005,594216.0,0.05912928792508598,0,1,595264.0,195264.0,0,1.48816,2881048640.0,31.32,2095.3947368421304,5134718000.0,195264.0,100.0,33.033707,0,451.0,0,1.48816,8,233.0,0,dctcp,31.32,1.48816,0.8503325556221776,0.0,0,15.281671929033212,594216.0,33.033707,23.549308478653035,2,0,400000,31.850000000000378,99.99940228430457,141544.18400481058,31.330000000000002,594216.0,s6_dual_bottleneck_256k_bg80,2.5,0.9998943456284306,24.188214070956104,1.48816,0,24.188214070956104,0.0,1,1.48816,195264.0,141544.18400481058,595264.0,31.330000000000002,23.549308478653035,594216.0,31.330000000000002,0.8503325556221777,0,218.0,594216.0,0,31.850000000000378
s6,0,60,33.206371,1.49688,0,nan,33.0386965,60,32.91677216666667,2,32.249999999999886,0,3.7892884321246254,1,0.8506388409278454,10.0,0.0,2,598752.0,598752.0,0,2.5,31.51,200000.0,15.165892535778564,15.165886635465416,0,15.2,nan,23.646873357856016,7.5797979797976245,2.49998,0,24.2924705352451,0,142669.35635462802,,,0.0,32.365514999999995,a9bf335108f84eaa,8000000000.0,0.0,133.20653000000027,598752.0,0.04147911705640883,0,1,598752.0,198752.0,0,1.49688,2859320640.0,31.5,2121.7105263157823,5156446000.0,198752.0,100.0,33.20653,0,454.0,0,1.49688,7,234.0,0,timely,31.5,1.49688,0.8506388409278455,0.0,0,15.165765765765768,598752.0,33.20653,23.654380301779145,2,0,400000,32.17999999999988,99.99920301593602,142846.83131897004,31.51,598752.0,s6_dual_bottleneck_256k_bg80,2.5,0.9999251921243562,24.2924705352451,1.49688,0,24.2924705352451,0.0,1,1.49688,198752.0,142846.83131897004,598752.0,31.51,23.654380301779145,598752.0,31.51,0.8506388409278456,0,220.0,598752.0,0,32.249999999999886
s6,0,60,7.28413645,1.479675,0,nan,7.147019,60,7.108756783333335,2,0.7700000000001594,0,17.252312481421786,1,0.812312618825818,10.0,107.9999999999992,2,2180.0,591870.0,0,2.5,0.63,200000.0,14.692165299991881,14.692395695827832,0,15.2,nan,0.5498602050326188,0.24242424242423105,2.49998,0,0.848089468779124,0,4116.575209692451,,,0.0,6.5719009999999995,7356bf64a5796770,8000000000.0,107.9999999999992,107.29346400000006,79537.29999999334,96.70000390075157,0,1,564620.0,164620.0,0,1.41155,2757627640.0,0.59,50.65789473685259,5258138000.0,191870.0,100.0,7.293464,0,24.0,0,1.479675,3,9.0,0,hpcc,0.59,1.41155,0.8122801118360695,0.0,0,13.73251304996268,3270.0,7.29274774,0.587138863000932,2,0,400000,0.6800000000000139,93.46325361597464,4389.5466915191055,0.63,61813.89999999905,s6_dual_bottleneck_256k_bg80,2.5,0.99950087635063,0.8387698042870456,1.479675,0,0.848089468779124,0.0,1,1.479675,191870.0,4389.5466915191055,591870.0,0.63,0.587138863000932,3270.0,0.63,0.8122476048463211,0,15.0,79537.29999999334,0,0.7700000000001594
s6,0,60,11.096282,0.07598,0,nan,11.0933785,60,11.093182966666664,2,0.0,0,11.338742409959787,1,0.8206018937892975,10.0,111.99999999999876,2,13624.0,30392.0,0,2.5,0.0,200000.0,15.122631320569466,15.281763270530819,0,15.2,nan,0.0,3.8545454545452738,2.49998,0,0.0,0,1372.0907290729074,,,0.0,11.089484,7fd4a578965942f9,8000000000.0,111.99999999999876,111.09727299999994,25152.0,49.55365573580981,0,1,28296.0,0.0,0,0.07074,2860832640.0,0.0,0.0,5154934000.0,0.0,100.0,11.097273,0,0,0,0.07598,30,0,0,cbapsba,0.0,0.07074,0.8206018937892975,0.0,0,14.528339935181812,14672.0,11.097273,0.0,2,1,400000,0.0,95.0697879425871,1419.727092709271,0.0,23056.0,s6_dual_bottleneck_256k_bg80,2.5,0.9999999601631295,0.0,0.07598,0,0.0,0.0,1,0.07598,0.0,1419.727092709271,30392.0,0.0,0.0,14672.0,0.0,0.8206018937892975,0,0,25152.0,0,0.0
