time_ns,event,link_id,node_id,if_index,packet_uid,packet_bytes
20005057,TX_BEGIN,0,84,1,0,1000
20005076,TX_END,0,84,1,0,1000
20005076,TX_BEGIN,0,84,1,1,1000
20005095,TX_END,0,84,1,1,1000
20005095,TX_BEGIN,0,84,1,2,1000
20005114,TX_END,0,84,1,2,1000
20005114,TX_BEGIN,0,84,1,3,1000
20005133,TX_END,0,84,1,3,1000
20005133,TX_BEGIN,0,84,1,4,1000
20005152,TX_END,0,84,1,4,1000
20005152,TX_BEGIN,0,84,1,5,1000
20005171,TX_END,0,84,1,5,1000
20005171,TX_BEGIN,0,84,1,6,1000
20005190,TX_END,0,84,1,6,1000
20005190,TX_BEGIN,0,84,1,7,1000
20005209,TX_END,0,84,1,7,1000
20005209,TX_BEGIN,0,84,1,8,1000
20005228,TX_END,0,84,1,8,1000
20005228,TX_BEGIN,0,84,1,9,1000
20005247,TX_END,0,84,1,9,1000
20005247,TX_BEGIN,0,84,1,10,1000
20005266,TX_END,0,84,1,10,1000
20005266,TX_BEGIN,0,84,1,11,1000
20005285,TX_END,0,84,1,11,1000
20005285,TX_BEGIN,0,84,1,12,1000
20005304,TX_END,0,84,1,12,1000
20005304,TX_BEGIN,0,84,1,13,1000
20005323,TX_END,0,84,1,13,1000
20005323,TX_BEGIN,0,84,1,14,1000
20005342,TX_END,0,84,1,14,1000
20005342,TX_BEGIN,0,84,1,15,1000
20005361,TX_END,0,84,1,15,1000
20005361,TX_BEGIN,0,84,1,16,1000
20005380,TX_END,0,84,1,16,1000
20005380,TX_BEGIN,0,84,1,17,1000
20005399,TX_END,0,84,1,17,1000
20005399,TX_BEGIN,0,84,1,18,1000
20005418,TX_END,0,84,1,18,1000
20005418,TX_BEGIN,0,84,1,19,1000
20005437,TX_END,0,84,1,19,1000
20005437,TX_BEGIN,0,84,1,20,1000
20005456,TX_END,0,84,1,20,1000
20005456,TX_BEGIN,0,84,1,21,1000
20005475,TX_END,0,84,1,21,1000
20005475,TX_BEGIN,0,84,1,22,1000
20005494,TX_END,0,84,1,22,1000
20005494,TX_BEGIN,0,84,1,23,1000
20005513,TX_END,0,84,1,23,1000
20005513,TX_BEGIN,0,84,1,24,1000
20005532,TX_END,0,84,1,24,1000
20005532,TX_BEGIN,0,84,1,25,1000
20005551,TX_END,0,84,1,25,1000
20005551,TX_BEGIN,0,84,1,26,1000
20005570,TX_END,0,84,1,26,1000
20005570,TX_BEGIN,0,84,1,27,1000
20005589,TX_END,0,84,1,27,1000
20005589,TX_BEGIN,0,84,1,28,1000
20005608,TX_END,0,84,1,28,1000
20005608,TX_BEGIN,0,84,1,29,1000
20005627,TX_END,0,84,1,29,1000
20005627,TX_BEGIN,0,84,1,30,1000
20005646,TX_END,0,84,1,30,1000
20005646,TX_BEGIN,0,84,1,31,1000
20005665,TX_END,0,84,1,31,1000
20005665,TX_BEGIN,0,84,1,32,1000
20005684,TX_END,0,84,1,32,1000
20005684,TX_BEGIN,0,84,1,33,1000
20005703,TX_END,0,84,1,33,1000
20005703,TX_BEGIN,0,84,1,34,1000
20005722,TX_END,0,84,1,34,1000
20005722,TX_BEGIN,0,84,1,35,1000
20005741,TX_END,0,84,1,35,1000
20005741,TX_BEGIN,0,84,1,36,1000
20005760,TX_END,0,84,1,36,1000
20005760,TX_BEGIN,0,84,1,37,1000
20005779,TX_END,0,84,1,37,1000
20005779,TX_BEGIN,0,84,1,38,1000
20005798,TX_END,0,84,1,38,1000
20005798,TX_BEGIN,0,84,1,39,1000
20005817,TX_END,0,84,1,39,1000
20005817,TX_BEGIN,0,84,1,40,1000
20005836,TX_END,0,84,1,40,1000
20005836,TX_BEGIN,0,84,1,41,1000
20005855,TX_END,0,84,1,41,1000
20005855,TX_BEGIN,0,84,1,42,1000
20005874,TX_END,0,84,1,42,1000
20005874,TX_BEGIN,0,84,1,43,1000
20005893,TX_END,0,84,1,43,1000
20005893,TX_BEGIN,0,84,1,44,1000
20005912,TX_END,0,84,1,44,1000
20005912,TX_BEGIN,0,84,1,45,1000
20005931,TX_END,0,84,1,45,1000
20005931,TX_BEGIN,0,84,1,46,1000
20005950,TX_END,0,84,1,46,1000
20005950,TX_BEGIN,0,84,1,47,1000
20005969,TX_END,0,84,1,47,1000
