scenario,algorithm,metric,value,unit
s1,DCQCN,bg_retention_pct,99.999945,retention (%)
s1,DCTCP,bg_retention_pct,99.999945,retention (%)
s1,TIMELY,bg_retention_pct,99.999171,retention (%)
s1,HPCC,bg_retention_pct,96.336836,retention (%)
s1,CBAP-SBA,bg_retention_pct,97.242855,retention (%)
s2,DCQCN,bg_retention_pct,99.999396,retention (%)
s2,DCTCP,bg_retention_pct,99.999396,retention (%)
s2,TIMELY,bg_retention_pct,99.999508,retention (%)
s2,HPCC,bg_retention_pct,87.105707,retention (%)
s2,CBAP-SBA,bg_retention_pct,90.319494,retention (%)
s3,DCQCN,bg_retention_pct,99.999789,retention (%)
s3,DCTCP,bg_retention_pct,99.999789,retention (%)
s3,TIMELY,bg_retention_pct,99.999729,retention (%)
s3,HPCC,bg_retention_pct,63.113909,retention (%)
s3,CBAP-SBA,bg_retention_pct,75.748949,retention (%)
s6,DCQCN,bg_retention_pct,99.999402,retention (%)
s6,DCTCP,bg_retention_pct,99.999402,retention (%)
s6,TIMELY,bg_retention_pct,99.999203,retention (%)
s6,HPCC,bg_retention_pct,93.463254,retention (%)
s6,CBAP-SBA,bg_retention_pct,95.069788,retention (%)
s4,DCQCN,bg_retention_pct,100.000112,retention (%)
s4,DCTCP,bg_retention_pct,100.000112,retention (%)
s4,TIMELY,bg_retention_pct,100.000028,retention (%)
s4,HPCC,bg_retention_pct,62.997896,retention (%)
s4,CBAP-SBA,bg_retention_pct,74.247405,retention (%)
s5,DCQCN,bg_retention_pct,99.999939,retention (%)
s5,DCTCP,bg_retention_pct,99.999939,retention (%)
s5,TIMELY,bg_retention_pct,99.999870,retention (%)
s5,HPCC,bg_retention_pct,30.597231,retention (%)
s5,CBAP-SBA,bg_retention_pct,60.726636,retention (%)
