scenario,algorithm,metric,value,unit
s1,DCQCN,fct_mean_ms,17.398942,mean FCT (ms)
s1,DCTCP,fct_mean_ms,17.398942,mean FCT (ms)
s1,TIMELY,fct_mean_ms,17.517130,mean FCT (ms)
s1,HPCC,fct_mean_ms,3.847205,mean FCT (ms)
s1,CBAP-SBA,fct_mean_ms,5.927846,mean FCT (ms)
s2,DCQCN,fct_mean_ms,69.796115,mean FCT (ms)
s2,DCTCP,fct_mean_ms,69.799389,mean FCT (ms)
s2,TIMELY,fct_mean_ms,70.166993,mean FCT (ms)
s2,HPCC,fct_mean_ms,14.802668,mean FCT (ms)
s2,CBAP-SBA,fct_mean_ms,22.582422,mean FCT (ms)
s3,DCQCN,fct_mean_ms,281.564317,mean FCT (ms)
s3,DCTCP,fct_mean_ms,281.561371,mean FCT (ms)
s3,TIMELY,fct_mean_ms,283.031280,mean FCT (ms)
s3,HPCC,fct_mean_ms,59.588560,mean FCT (ms)
s3,CBAP-SBA,fct_mean_ms,93.335087,mean FCT (ms)
s6,DCQCN,fct_mean_ms,32.685855,mean FCT (ms)
s6,DCTCP,fct_mean_ms,32.685855,mean FCT (ms)
s6,TIMELY,fct_mean_ms,32.916772,mean FCT (ms)
s6,HPCC,fct_mean_ms,7.108757,mean FCT (ms)
s6,CBAP-SBA,fct_mean_ms,11.093183,mean FCT (ms)
s4,DCQCN,fct_mean_ms,1126.614641,mean FCT (ms)
s4,DCTCP,fct_mean_ms,1126.614641,mean FCT (ms)
s4,TIMELY,fct_mean_ms,1118.272418,mean FCT (ms)
s4,HPCC,fct_mean_ms,59.666596,mean FCT (ms)
s4,CBAP-SBA,fct_mean_ms,107.818628,mean FCT (ms)
s5,DCQCN,fct_mean_ms,1126.291216,mean FCT (ms)
s5,DCTCP,fct_mean_ms,1126.294961,mean FCT (ms)
s5,TIMELY,fct_mean_ms,1132.192284,mean FCT (ms)
s5,HPCC,fct_mean_ms,239.450279,mean FCT (ms)
s5,CBAP-SBA,fct_mean_ms,376.326154,mean FCT (ms)
