scenario,algorithm,metric,value,unit
s1,DCQCN,cct_ms,117.624935,CCT (ms)
s1,DCTCP,cct_ms,117.624935,CCT (ms)
s1,TIMELY,cct_ms,117.769590,CCT (ms)
s1,HPCC,cct_ms,104.093422,CCT (ms)
s1,CBAP-SBA,cct_ms,105.929413,CCT (ms)
s2,DCQCN,cct_ms,170.455609,CCT (ms)
s2,DCTCP,cct_ms,170.455609,CCT (ms)
s2,TIMELY,cct_ms,170.825640,CCT (ms)
s2,HPCC,cct_ms,115.129395,CCT (ms)
s2,CBAP-SBA,cct_ms,122.773474,CCT (ms)
s3,DCQCN,cct_ms,381.742581,CCT (ms)
s3,DCTCP,cct_ms,381.742581,CCT (ms)
s3,TIMELY,cct_ms,383.217596,CCT (ms)
s3,HPCC,cct_ms,160.134218,CCT (ms)
s3,CBAP-SBA,cct_ms,193.534550,CCT (ms)
s6,DCQCN,cct_ms,133.033707,CCT (ms)
s6,DCTCP,cct_ms,133.033707,CCT (ms)
s6,TIMELY,cct_ms,133.206530,CCT (ms)
s6,HPCC,cct_ms,107.293464,CCT (ms)
s6,CBAP-SBA,cct_ms,111.097273,CCT (ms)
s4,DCQCN,cct_ms,1227.327340,CCT (ms)
s4,DCTCP,cct_ms,1227.327340,CCT (ms)
s4,TIMELY,cct_ms,1218.981025,CCT (ms)
s4,HPCC,cct_ms,160.313452,CCT (ms)
s4,CBAP-SBA,cct_ms,207.848606,CCT (ms)
s5,DCQCN,cct_ms,1226.919507,CCT (ms)
s5,DCTCP,cct_ms,1226.919507,CCT (ms)
s5,TIMELY,cct_ms,1232.820464,CCT (ms)
s5,HPCC,cct_ms,340.566411,CCT (ms)
s5,CBAP-SBA,cct_ms,476.519902,CCT (ms)
