scenario,algorithm,metric,value,unit
s1,DCQCN,incast_agg_gbps,1.903805,goodput (Gbps)
s1,DCTCP,incast_agg_gbps,1.903805,goodput (Gbps)
s1,TIMELY,incast_agg_gbps,1.888306,goodput (Gbps)
s1,HPCC,incast_agg_gbps,8.197159,goodput (Gbps)
s1,CBAP-SBA,incast_agg_gbps,5.658980,goodput (Gbps)
s2,DCQCN,incast_agg_gbps,1.904997,goodput (Gbps)
s2,DCTCP,incast_agg_gbps,1.904997,goodput (Gbps)
s2,TIMELY,incast_agg_gbps,1.895044,goodput (Gbps)
s2,HPCC,incast_agg_gbps,8.871322,goodput (Gbps)
s2,CBAP-SBA,incast_agg_gbps,5.893599,goodput (Gbps)
s3,DCQCN,incast_agg_gbps,1.905537,goodput (Gbps)
s3,DCTCP,incast_agg_gbps,1.905537,goodput (Gbps)
s3,TIMELY,incast_agg_gbps,1.895613,goodput (Gbps)
s3,HPCC,incast_agg_gbps,8.927877,goodput (Gbps)
s3,CBAP-SBA,incast_agg_gbps,5.739814,goodput (Gbps)
s6,DCQCN,incast_agg_gbps,3.809113,goodput (Gbps)
s6,DCTCP,incast_agg_gbps,3.809113,goodput (Gbps)
s6,TIMELY,incast_agg_gbps,3.789288,goodput (Gbps)
s6,HPCC,incast_agg_gbps,17.252312,goodput (Gbps)
s6,CBAP-SBA,incast_agg_gbps,11.338742,goodput (Gbps)
s4,DCQCN,incast_agg_gbps,0.476233,goodput (Gbps)
s4,DCTCP,incast_agg_gbps,0.476233,goodput (Gbps)
s4,TIMELY,incast_agg_gbps,0.479786,goodput (Gbps)
s4,HPCC,incast_agg_gbps,8.901346,goodput (Gbps)
s4,CBAP-SBA,incast_agg_gbps,4.978005,goodput (Gbps)
s5,DCQCN,incast_agg_gbps,1.905623,goodput (Gbps)
s5,DCTCP,incast_agg_gbps,1.905623,goodput (Gbps)
s5,TIMELY,incast_agg_gbps,1.895696,goodput (Gbps)
s5,HPCC,incast_agg_gbps,8.926781,goodput (Gbps)
s5,CBAP-SBA,incast_agg_gbps,5.703506,goodput (Gbps)
