scenario,algorithm,metric,value,unit
s1,DCQCN,queue_p99_bytes,315448.000000,queue p99 (bytes)
s1,DCTCP,queue_p99_bytes,315448.000000,queue p99 (bytes)
s1,TIMELY,queue_p99_bytes,317856.000000,queue p99 (bytes)
s1,HPCC,queue_p99_bytes,4360.000000,queue p99 (bytes)
s1,CBAP-SBA,queue_p99_bytes,10480.000000,queue p99 (bytes)
s2,DCQCN,queue_p99_bytes,1271224.000000,queue p99 (bytes)
s2,DCTCP,queue_p99_bytes,1271224.000000,queue p99 (bytes)
s2,TIMELY,queue_p99_bytes,1280928.000000,queue p99 (bytes)
s2,HPCC,queue_p99_bytes,1079928.400000,queue p99 (bytes)
s2,CBAP-SBA,queue_p99_bytes,1261792.000000,queue p99 (bytes)
s3,DCQCN,queue_p99_bytes,1272272.000000,queue p99 (bytes)
s3,DCTCP,queue_p99_bytes,1272272.000000,queue p99 (bytes)
s3,TIMELY,queue_p99_bytes,1280928.000000,queue p99 (bytes)
s3,HPCC,queue_p99_bytes,900721.500000,queue p99 (bytes)
s3,CBAP-SBA,queue_p99_bytes,1263888.000000,queue p99 (bytes)
s6,DCQCN,queue_p99_bytes,594216.000000,queue p99 (bytes)
s6,DCTCP,queue_p99_bytes,594216.000000,queue p99 (bytes)
s6,TIMELY,queue_p99_bytes,598752.000000,queue p99 (bytes)
s6,HPCC,queue_p99_bytes,79537.300000,queue p99 (bytes)
s6,CBAP-SBA,queue_p99_bytes,25152.000000,queue p99 (bytes)
s4,DCQCN,queue_p99_bytes,1274368.000000,queue p99 (bytes)
s4,DCTCP,queue_p99_bytes,1274368.000000,queue p99 (bytes)
s4,TIMELY,queue_p99_bytes,1284096.000000,queue p99 (bytes)
s4,HPCC,queue_p99_bytes,899740.500000,queue p99 (bytes)
s4,CBAP-SBA,queue_p99_bytes,1264936.000000,queue p99 (bytes)
s5,DCQCN,queue_p99_bytes,1272272.000000,queue p99 (bytes)
s5,DCTCP,queue_p99_bytes,1272272.000000,queue p99 (bytes)
s5,TIMELY,queue_p99_bytes,1280928.000000,queue p99 (bytes)
s5,HPCC,queue_p99_bytes,195807.600000,queue p99 (bytes)
s5,CBAP-SBA,queue_p99_bytes,1263888.000000,queue p99 (bytes)
