scenario,algorithm,metric,value,unit
s1,DCQCN,bg_min_gbps,7.636364,minimum (Gbps)
s1,DCTCP,bg_min_gbps,7.636364,minimum (Gbps)
s1,TIMELY,bg_min_gbps,7.579798,minimum (Gbps)
s1,HPCC,bg_min_gbps,0.400000,minimum (Gbps)
s1,CBAP-SBA,bg_min_gbps,3.858586,minimum (Gbps)
s2,DCQCN,bg_min_gbps,7.636364,minimum (Gbps)
s2,DCTCP,bg_min_gbps,7.636364,minimum (Gbps)
s2,TIMELY,bg_min_gbps,7.579798,minimum (Gbps)
s2,HPCC,bg_min_gbps,0.092929,minimum (Gbps)
s2,CBAP-SBA,bg_min_gbps,2.929293,minimum (Gbps)
s3,DCQCN,bg_min_gbps,7.636364,minimum (Gbps)
s3,DCTCP,bg_min_gbps,7.636364,minimum (Gbps)
s3,TIMELY,bg_min_gbps,7.579798,minimum (Gbps)
s3,HPCC,bg_min_gbps,0.092929,minimum (Gbps)
s3,CBAP-SBA,bg_min_gbps,2.258586,minimum (Gbps)
s6,DCQCN,bg_min_gbps,7.636364,minimum (Gbps)
s6,DCTCP,bg_min_gbps,7.636364,minimum (Gbps)
s6,TIMELY,bg_min_gbps,7.579798,minimum (Gbps)
s6,HPCC,bg_min_gbps,0.242424,minimum (Gbps)
s6,CBAP-SBA,bg_min_gbps,3.854545,minimum (Gbps)
s4,DCQCN,bg_min_gbps,0.000000,minimum (Gbps)
s4,DCTCP,bg_min_gbps,0.000000,minimum (Gbps)
s4,TIMELY,bg_min_gbps,0.000000,minimum (Gbps)
s4,HPCC,bg_min_gbps,0.000000,minimum (Gbps)
s4,CBAP-SBA,bg_min_gbps,0.000000,minimum (Gbps)
s5,DCQCN,bg_min_gbps,0.000000,minimum (Gbps)
s5,DCTCP,bg_min_gbps,0.000000,minimum (Gbps)
s5,TIMELY,bg_min_gbps,0.000000,minimum (Gbps)
s5,HPCC,bg_min_gbps,0.000000,minimum (Gbps)
s5,CBAP-SBA,bg_min_gbps,0.000000,minimum (Gbps)
