scenario,algorithm,metric,value,unit
s1,DCQCN,bg_recovery90_ms,0.000000,recovery (ms)
s1,DCTCP,bg_recovery90_ms,0.000000,recovery (ms)
s1,TIMELY,bg_recovery90_ms,0.000000,recovery (ms)
s1,HPCC,bg_recovery90_ms,104.000000,recovery (ms)
s1,CBAP-SBA,bg_recovery90_ms,106.000000,recovery (ms)
s2,DCQCN,bg_recovery90_ms,0.000000,recovery (ms)
s2,DCTCP,bg_recovery90_ms,0.000000,recovery (ms)
s2,TIMELY,bg_recovery90_ms,0.000000,recovery (ms)
s2,HPCC,bg_recovery90_ms,116.000000,recovery (ms)
s2,CBAP-SBA,bg_recovery90_ms,124.000000,recovery (ms)
s3,DCQCN,bg_recovery90_ms,0.000000,recovery (ms)
s3,DCTCP,bg_recovery90_ms,0.000000,recovery (ms)
s3,TIMELY,bg_recovery90_ms,0.000000,recovery (ms)
s3,HPCC,bg_recovery90_ms,160.000000,recovery (ms)
s3,CBAP-SBA,bg_recovery90_ms,194.000000,recovery (ms)
s6,DCQCN,bg_recovery90_ms,0.000000,recovery (ms)
s6,DCTCP,bg_recovery90_ms,0.000000,recovery (ms)
s6,TIMELY,bg_recovery90_ms,0.000000,recovery (ms)
s6,HPCC,bg_recovery90_ms,108.000000,recovery (ms)
s6,CBAP-SBA,bg_recovery90_ms,112.000000,recovery (ms)
s4,HPCC,bg_recovery90_ms,162.000000,recovery (ms)
s4,CBAP-SBA,bg_recovery90_ms,208.000000,recovery (ms)
s5,HPCC,bg_recovery90_ms,342.000000,recovery (ms)
s5,CBAP-SBA,bg_recovery90_ms,478.000000,recovery (ms)
