run_id,flow_id,generation_id,magnitude_class,old_target_bps,new_target_bps,successor_target_bps,override_duration_ns,attributable_bytes_upper
sr_cbap_s3_out,54,72,redundant_dominated,136593511.0,141139161.0,143843823.0,5000,
sr_cbap_s3_out,55,73,redundant_dominated,136593511.0,141139161.0,143843823.0,5000,
sr_cbap_s3_out,56,74,redundant_dominated,136593511.0,141139161.0,143843823.0,5000,
sr_cbap_s3_out,57,75,redundant_dominated,136593511.0,141139161.0,143843823.0,5000,
sr_cbap_s3_out,58,76,redundant_dominated,136593511.0,141139161.0,143843823.0,5000,
sr_cbap_s3_out,59,77,redundant_dominated,136593511.0,141139161.0,143843823.0,5000,
sr_cbap_s3_out,60,78,redundant_dominated,136593511.0,141139161.0,143843823.0,5000,
sr_cbap_s3_out,61,79,redundant_dominated,136593511.0,141139161.0,143843823.0,5000,
sr_cbap_s3_out,62,80,redundant_dominated,136593511.0,141139161.0,143843823.0,5000,
sr_cbap_s3_out,63,81,redundant_dominated,136593511.0,141139161.0,143843823.0,5000,
sr_cbap_s3_out,64,82,redundant_dominated,136593511.0,141139161.0,143843823.0,5000,
sr_cbap_s3_out,0,83,redundant_dominated,601724576.0,451207203.0,345845042.0,5000,
sr_cbap_s3_out,1,84,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,2,85,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,3,86,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,4,87,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,5,88,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,6,89,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,7,90,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,8,91,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,9,92,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,10,93,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,11,94,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,12,95,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,13,96,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,14,97,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,15,98,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,16,99,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,17,100,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,18,101,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,19,102,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,20,103,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,21,104,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,22,105,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,23,106,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,24,107,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,25,108,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,26,109,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,27,110,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,28,111,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,29,112,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,30,113,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,31,114,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,32,115,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,33,116,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,34,117,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,35,118,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,36,119,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,37,120,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,38,121,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,39,122,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,40,123,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,41,124,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,42,125,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,43,126,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,44,127,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,45,128,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,46,129,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,47,130,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,48,131,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,49,132,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,50,133,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
