scenario,algorithm,batch_goodput_Gbps
s1,dcqcn,8.881949207255078
s1,dctcp,8.881949207255078
s1,timely,6.442978340435035
s1,hpcc,8.112346109416864
s1,cbapsba,9.362494698542378
s2,dcqcn,8.580469441836833
s2,dctcp,9.355992477994887
s2,timely,9.208955576157472
s2,hpcc,8.82587494163987
s2,cbapsba,9.419028528167315
s6,dcqcn,18.36141166870546
s6,dctcp,18.359166640038904
s6,timely,15.271345291985964
s6,hpcc,17.177103551233667
s6,cbapsba,18.328584007568622
s3,dcqcn,9.197247693141403
s3,dctcp,9.378082281418186
s3,timely,9.27788277094376
s3,hpcc,8.899391347446487
s3,cbapsba,9.445097995957934
s4,dcqcn,9.088839919995591
s4,dctcp,9.368205209744174
s4,timely,9.272400316511854
s4,hpcc,8.897332592937044
s4,cbapsba,9.444541039220384
s5,dcqcn,9.32180177810024
s5,dctcp,9.390406866580149
s5,timely,9.296380047325624
s5,hpcc,8.906152266287545
s5,cbapsba,9.449295061820202
