scenario,algorithm,bg_recovery_ms
s1,dcqcn,0.0021769999998255685
s1,dctcp,0.0021769999998255685
s1,timely,0.4320930000001333
s1,hpcc,0.023781999999972214
s1,cbapsba,0.03608000000010492
s2,dcqcn,23.45776399999977
s2,dctcp,0.01435699999996487
s2,timely,0.5853039999998977
s2,hpcc,0.012699999999643552
s2,cbapsba,0.030363999999671876
s6,dcqcn,8.12708899999981
s6,dctcp,0.006251000000290219
s6,timely,0.5204430000000926
s6,hpcc,0.014602000000252247
s6,cbapsba,0.03481499999979931
s3,dcqcn,22.887002999999684
s3,dctcp,0.012590999999950725
s3,timely,0.49432899999990454
s3,hpcc,0.013299999999993872
s3,cbapsba,0.038777999999961565
s4,dcqcn,24.750754999999902
s4,dctcp,0.0122339999997223
s4,timely,0.3801150000000142
s4,hpcc,0.019341000000228092
s4,cbapsba,0.0354260000001716
s5,dcqcn,20.927836000000255
s5,dctcp,0.010904999999894471
s5,timely,0.3778640000002831
s5,hpcc,0.01638300000017523
s5,cbapsba,0.03609999999998337
