metric_id,category,algorithm,scenario,window,scope,statistic,value,unit,numerator,denominator,sample_count,source_file,source_columns,formula,evidence_type,availability,notes
B.fct.p50,completion,CBAP,S3,W1,incast,p50,59.390619,ms,,,64,flow_summary.csv,fct,percentile/mean over completed incast fct,MEASURED,AVAILABLE,
B.fct.p90,completion,CBAP,S3,W1,incast,p90,59.403093999999996,ms,,,64,flow_summary.csv,fct,percentile/mean over completed incast fct,MEASURED,AVAILABLE,
B.fct.p95,completion,CBAP,S3,W1,incast,p95,59.404590999999996,ms,,,64,flow_summary.csv,fct,percentile/mean over completed incast fct,MEASURED,AVAILABLE,
B.fct.p99,completion,CBAP,S3,W1,incast,p99,59.406088000000004,ms,,,64,flow_summary.csv,fct,percentile/mean over completed incast fct,MEASURED,AVAILABLE,
B.fct.max,completion,CBAP,S3,W1,incast,max,59.406586999999995,ms,,,64,flow_summary.csv,fct,percentile/mean over completed incast fct,MEASURED,AVAILABLE,
B.fct.std,completion,CBAP,S3,W1,incast,std,0.009218003647753653,ms,,,64,flow_summary.csv,fct,percentile/mean over completed incast fct,MEASURED,AVAILABLE,
B.fct.cv,completion,CBAP,S3,W1,incast,cv,0.0001552091067291541,ratio,,,,,,std/mean,DERIVED,AVAILABLE,
B.fct.max_minus_mean,completion,CBAP,S3,W1,incast,spread,0.015718500000004576,ms,,,,,,max-mean,DERIVED,AVAILABLE,
B.fct.max_minus_min,completion,CBAP,S3,W1,incast,spread,0.031436999999995274,ms,,,,,,max-min,DERIVED,AVAILABLE,
B.cct,completion,CBAP,S3,W1,incast,batch_completion_time,59.406586999999995,ms,,,,,,max fct,DERIVED,AVAILABLE,
B.first_finish,completion,CBAP,S3,W1,incast,time_s,2.05937515,s,,,,flow_summary.csv,finish_time,,MEASURED,AVAILABLE,
B.last_finish,completion,CBAP,S3,W1,incast,time_s,2.059406587,s,,,,flow_summary.csv,finish_time,,MEASURED,AVAILABLE,
B.completion_skew,completion,CBAP,S3,W1,incast,skew_ms,0.03143699999963445,ms,,,,,,last_finish-first_finish,DERIVED,AVAILABLE,
B.goodput.payload,completion,CBAP,S3,W1,incast,aggregate,9.037228683075162,Gbps,536870912.0,0.059406587,,,,8*sum(total_size_bytes)/CCT,DERIVED,AVAILABLE,
