metric_id,category,algorithm,scenario,window,scope,statistic,value,unit,numerator,denominator,sample_count,source_file,source_columns,formula,evidence_type,availability,notes
F.bg.overlap.rate.mean,background,CBAP,S3,W2,flow0,mean,0.10629109445632066,Gbps,,,2919,selected_flow_timeseries.csv,current_rate,,MEASURED,AVAILABLE,"OVERLAP WINDOW instantaneous sender rate, flow_id=0"
F.bg.overlap.rate.p50,background,CBAP,S3,W2,flow0,p50,0.100817014,Gbps,,,2919,selected_flow_timeseries.csv,current_rate,,MEASURED,AVAILABLE,"OVERLAP WINDOW instantaneous sender rate, flow_id=0"
F.bg.overlap.rate.p95,background,CBAP,S3,W2,flow0,p95,0.100817014,Gbps,,,2919,selected_flow_timeseries.csv,current_rate,,MEASURED,AVAILABLE,"OVERLAP WINDOW instantaneous sender rate, flow_id=0"
F.bg.overlap.rate.max,background,CBAP,S3,W2,flow0,max,8.0,Gbps,,,2919,selected_flow_timeseries.csv,current_rate,,MEASURED,AVAILABLE,"OVERLAP WINDOW instantaneous sender rate, flow_id=0"
F.bg.overlap.rate.p5,background,CBAP,S3,W2,flow0,p5,0.100817014,Gbps,,,,,,,DERIVED,AVAILABLE,
F.bg.overlap.frac_at_min_rate,background,CBAP,S3,W2,flow0,fraction,0.9969167523124358,ratio,2910,2919,,,,fraction of overlap samples with rate <= 1.02*MIN_RATE,DERIVED,AVAILABLE,
F.bg.overlap.suppression_ratio,background,CBAP,S3,W2,flow0,ratio,79.3516856192547,x,,,,,,max/min sender rate in overlap,DERIVED,AVAILABLE,
F.incast.overlap.rate.min,background,CBAP,S3,W2,incast_flows,min,0.136593511,Gbps,,,8757,selected_flow_timeseries.csv,current_rate,,MEASURED,AVAILABLE,
F.incast.overlap.rate.mean,background,CBAP,S3,W2,incast_flows,mean,0.14801687451661527,Gbps,,,8757,selected_flow_timeseries.csv,current_rate,,MEASURED,AVAILABLE,
F.incast.overlap.rate.p50,background,CBAP,S3,W2,incast_flows,p50,0.148041082,Gbps,,,8757,selected_flow_timeseries.csv,current_rate,,MEASURED,AVAILABLE,
F.incast.overlap.rate.p95,background,CBAP,S3,W2,incast_flows,p95,0.148041082,Gbps,,,8757,selected_flow_timeseries.csv,current_rate,,MEASURED,AVAILABLE,
F.incast.overlap.rate.max,background,CBAP,S3,W2,incast_flows,max,0.148041082,Gbps,,,8757,selected_flow_timeseries.csv,current_rate,,MEASURED,AVAILABLE,
F.bg.overlap.rate.min,background,DCQCN,S3,W2,flow0,min,0.1,Gbps,,,2919,selected_flow_timeseries.csv,current_rate,,MEASURED,AVAILABLE,"OVERLAP WINDOW instantaneous sender rate, flow_id=0"
F.bg.overlap.rate.mean,background,DCQCN,S3,W2,flow0,mean,1.196825099394313,Gbps,,,2919,selected_flow_timeseries.csv,current_rate,,MEASURED,AVAILABLE,"OVERLAP WINDOW instantaneous sender rate, flow_id=0"
F.bg.overlap.rate.p50,background,DCQCN,S3,W2,flow0,p50,0.263708121,Gbps,,,2919,selected_flow_timeseries.csv,current_rate,,MEASURED,AVAILABLE,"OVERLAP WINDOW instantaneous sender rate, flow_id=0"
F.bg.overlap.rate.p95,background,DCQCN,S3,W2,flow0,p95,7.460307801,Gbps,,,2919,selected_flow_timeseries.csv,current_rate,,MEASURED,AVAILABLE,"OVERLAP WINDOW instantaneous sender rate, flow_id=0"
F.bg.overlap.rate.max,background,DCQCN,S3,W2,flow0,max,10.0,Gbps,,,2919,selected_flow_timeseries.csv,current_rate,,MEASURED,AVAILABLE,"OVERLAP WINDOW instantaneous sender rate, flow_id=0"
F.bg.overlap.rate.p5,background,DCQCN,S3,W2,flow0,p5,0.102966438,Gbps,,,,,,,DERIVED,AVAILABLE,
F.bg.overlap.frac_at_min_rate,background,DCQCN,S3,W2,flow0,fraction,0.03254539225762247,ratio,95,2919,,,,fraction of overlap samples with rate <= 1.02*MIN_RATE,DERIVED,AVAILABLE,
F.bg.overlap.suppression_ratio,background,DCQCN,S3,W2,flow0,ratio,100.0,x,,,,,,max/min sender rate in overlap,DERIVED,AVAILABLE,
F.incast.overlap.rate.min,background,DCQCN,S3,W2,incast_flows,min,0.1,Gbps,,,8757,selected_flow_timeseries.csv,current_rate,,MEASURED,AVAILABLE,
F.incast.overlap.rate.mean,background,DCQCN,S3,W2,incast_flows,mean,0.5834546041002626,Gbps,,,8757,selected_flow_timeseries.csv,current_rate,,MEASURED,AVAILABLE,
F.incast.overlap.rate.p50,background,DCQCN,S3,W2,incast_flows,p50,0.154429049,Gbps,,,8757,selected_flow_timeseries.csv,current_rate,,MEASURED,AVAILABLE,
F.incast.overlap.rate.p95,background,DCQCN,S3,W2,incast_flows,p95,2.344383941,Gbps,,,8757,selected_flow_timeseries.csv,current_rate,,MEASURED,AVAILABLE,
F.incast.overlap.rate.max,background,DCQCN,S3,W2,incast_flows,max,10.0,Gbps,,,8757,selected_flow_timeseries.csv,current_rate,,MEASURED,AVAILABLE,
G.pfc.events,safety,CBAP,S3,W0,all,count,0,count,,,,pfc_events.csv,,,MEASURED,AVAILABLE,
G.drops,safety,CBAP,S3,W0,all,count,0,count,,,,run.log,Drop:,,MEASURED,AVAILABLE,
G.retx.bytes,safety,CBAP,S3,W0,all,sum,0.0,B,,,,flow_summary.csv,,,MEASURED,AVAILABLE,
G.retx.events,safety,CBAP,S3,W0,all,sum,0.0,count,,,,flow_summary.csv,,,MEASURED,AVAILABLE,
G.cnp.count,safety,CBAP,S3,W0,all,count,,count,,,,,,,UNAVAILABLE,MISSING,No per-flow CNP counter is emitted in these outputs; feedback_summary.csv aggregates without a CNP column.
G.pfc.events,safety,DCQCN,S3,W0,all,count,0,count,,,,pfc_events.csv,,,MEASURED,AVAILABLE,
G.drops,safety,DCQCN,S3,W0,all,count,0,count,,,,run.log,Drop:,,MEASURED,AVAILABLE,
G.retx.bytes,safety,DCQCN,S3,W0,all,sum,0.0,B,,,,flow_summary.csv,,,MEASURED,AVAILABLE,
G.retx.events,safety,DCQCN,S3,W0,all,sum,0.0,count,,,,flow_summary.csv,,,MEASURED,AVAILABLE,
G.cnp.count,safety,DCQCN,S3,W0,all,count,,count,,,,,,,UNAVAILABLE,MISSING,No per-flow CNP counter is emitted in these outputs; feedback_summary.csv aggregates without a CNP column.
