scenario_tag,algorithm,seed,scenario,cc_mode,cbap_enable,stop_time_s,app_rate_cap_bps,sample_us,base_rtt_us,config_sha256,incast_n,incast_done,completion_rate_pct,fct_mean_ms,fct_p50_ms,fct_p95_ms,fct_p99_ms,fct_min_ms,fct_max_ms,cct_ms,incast_agg_gbps,incast_fairness_jain,bg_completed,bg_fct_ms,bg_before_gbps,bg_during_gbps,bg_after_gbps,bg_min_gbps,bg_drop_pct,bg_retention_pct,bg_recovery90_ms,bg_recovery90_ms_never_dipped,bg_recovery95_ms,bg_recovery95_ms_never_dipped,bg_service_debt_bytes,bg_slowdown,bg_retx_bytes,bg_retx_events,bg_n_flows,bg_service_debt_window_s,bg0_observation_end_s,bg0_bg_completed_before_end,total_acked_bytes,util_mean,queue_mean_bytes,queue_p95_bytes,queue_p99_bytes,queue_peak_bytes,over_qmin_pct,over_qmax_pct,queue_recovery_ms,queue_final_bytes,queue_drained,ecn_marks,pfc_events,pfc_paused_samples,pfc_pause_total_ns,drops,retx_bytes_total,retx_events_total,oversub_peak_bytes,oversub_peak_ratio,oversub_duration_ms,oversub_longest_run_ms,qmax_exceed_ratio,recovery_rtts,qmax_bytes,qmin_bytes,n_links,link_84_1_ecn_marks,link_84_1_over_qmax_pct,link_84_1_over_qmin_pct,link_84_1_oversub_duration_ms,link_84_1_oversub_longest_run_ms,link_84_1_oversub_peak_bytes,link_84_1_oversub_peak_ratio,link_84_1_pfc_events,link_84_1_pfc_pause_total_ns,link_84_1_pfc_paused_samples,link_84_1_qmax_exceed_ratio,link_84_1_queue_drained,link_84_1_queue_final_bytes,link_84_1_queue_mean_bytes,link_84_1_queue_p95_bytes,link_84_1_queue_p99_bytes,link_84_1_queue_peak_bytes,link_84_1_queue_recovery_ms,link_84_1_util_mean,link_83_1_ecn_marks,link_83_1_over_qmax_pct,link_83_1_over_qmin_pct,link_83_1_oversub_duration_ms,link_83_1_oversub_longest_run_ms,link_83_1_oversub_peak_bytes,link_83_1_oversub_peak_ratio,link_83_1_pfc_events,link_83_1_pfc_pause_total_ns,link_83_1_pfc_paused_samples,link_83_1_qmax_exceed_ratio,link_83_1_queue_drained,link_83_1_queue_final_bytes,link_83_1_queue_mean_bytes,link_83_1_queue_p95_bytes,link_83_1_queue_p99_bytes,link_83_1_queue_peak_bytes,link_83_1_queue_recovery_ms,link_83_1_util_mean
s1,dcqcn,2,s1_fan16_256k_bg80,1,0,2.1,8000000000.0,10.0,15.2,bc1232da8a31e132,16,16,100.0,17.398941625,17.5600995,17.624191749999998,17.62478635,17.113136,17.624935,117.62493500000026,1.9038045814069482,0.999846173647223,0,nan,7.640881635265409,7.6408774018024115,7.640903570561101,7.636363636363279,0.05912928792508598,99.99994459457429,0.0,1,0.0,1,2949403000.0,nan,0,0,1,2.1,2.09998,0,1054810304.0,0.8306662450054069,45196.184646773785,315448.0,315448.0,316496.0,14.248065969565587,0.0,16.450000000000298,0.0,1,0,0,0,0,0,0,0,0.0,0.79124,0.0,0.0,0.79124,1082.236842105283,400000,200000.0,1,0,0.0,14.248065969565587,0.0,0.0,0.0,0.79124,0,0,0,0.79124,1,0.0,45196.184646773785,315448.0,315448.0,316496.0,16.450000000000298,0.8306662450054069,,,,,,,,,,,,,,,,,,,
s1,dctcp,2,s1_fan16_256k_bg80,8,0,2.1,8000000000.0,10.0,15.2,c076c70f11ce8389,16,16,100.0,17.398941625,17.5600995,17.624191749999998,17.62478635,17.113136,17.624935,117.62493500000026,1.9038045814069482,0.999846173647223,0,nan,7.640881635265409,7.6408774018024115,7.640903570561101,7.636363636363279,0.05912928792508598,99.99994459457429,0.0,1,0.0,1,2949403000.0,nan,0,0,1,2.1,2.09998,0,1054810304.0,0.8306662450054069,45196.184646773785,315448.0,315448.0,316496.0,14.248065969565587,0.0,16.450000000000298,0.0,1,0,0,0,0,0,0,0,0.0,0.79124,0.0,0.0,0.79124,1082.236842105283,400000,200000.0,1,0,0.0,14.248065969565587,0.0,0.0,0.0,0.79124,0,0,0,0.79124,1,0.0,45196.184646773785,315448.0,315448.0,316496.0,16.450000000000298,0.8306662450054069,,,,,,,,,,,,,,,,,,,
s1,timely,2,s1_fan16_256k_bg80,7,0,2.1,8000000000.0,10.0,15.2,8b9d7cd68bc0dcd4,16,16,100.0,17.517130125,17.632999500000004,17.716663249999996,17.759004649999998,17.156635,17.769589999999997,117.76958999999998,1.8883064831546594,0.9998670620180238,0,nan,7.582943317732708,7.582880434782603,7.5829683698296995,7.5797979797976245,0.04147911705640883,99.99917073163455,0.0,1,0.0,1,2957370000.0,nan,0,0,1,2.1,2.09998,0,1046843304.0,0.8308467827120657,38218.123460983275,316800.0,317856.0,317856.0,11.26772522713764,0.0,11.20999999999972,0.0,1,0,0,0,0,0,0,0,0.0,0.79464,0.0,0.0,0.79464,737.4999999999816,400000,200000.0,1,0,0.0,11.26772522713764,0.0,0.0,0.0,0.79464,0,0,0,0.79464,1,0.0,38218.123460983275,316800.0,317856.0,317856.0,11.20999999999972,0.8308467827120657,,,,,,,,,,,,,,,,,,,
s1,hpcc,2,s1_fan16_256k_bg80,3,0,2.1,8000000000.0,10.0,15.2,04e8b08aa22c4132,16,16,100.0,3.8472049999999998,3.8435085,4.08769575,4.09227675,3.4920950000000004,4.093422,104.09342200000005,8.197159247202059,0.9974606902990523,0,nan,7.346197847913916,7.077094542659481,7.345848977889047,0.3999999999999812,94.55500643624009,96.33683558725755,103.99999999999964,0,103.99999999999964,0,2993438000.0,nan,0,0,1,2.1,2.09998,0,1010774304.0,0.806482182516931,1068.7669548511046,0.0,4360.0,282310.0,0.297790585975024,0.0,0.18999999999991246,0.0,1,0,0,0,0,0,0,0,0.0,0.705775,0.0,0.0,0.705775,12.499999999994241,400000,200000.0,1,0,0.0,0.297790585975024,0.0,0.0,0.0,0.705775,0,0,0,0.705775,1,0.0,1068.7669548511046,0.0,4360.0,282310.0,0.18999999999991246,0.806482182516931,,,,,,,,,,,,,,,,,,,
s1,cbapsba,2,s1_fan16_256k_bg80,30,1,2.1,8000000000.0,10.0,15.2,c2d0420eb497169e,16,16,100.0,5.927846499999999,5.927846499999999,5.92929825,5.929390049999999,5.92628,5.929412999999999,105.92941300000014,5.658980408347288,0.999999966252712,0,nan,7.640881635265409,7.430211480362521,7.575584857507434,3.858585858585678,49.50077696823728,97.24285540649431,105.99999999999943,0,105.99999999999943,0,2952974000.0,nan,0,0,1,2.1,2.09998,0,1051239304.0,0.8118643783630209,406.8777494571887,2096.0,10480.0,14672.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.03668,0.0,0.0,0.03668,0.0,400000,200000.0,1,0,0.0,0.0,0.0,0.0,0.0,0.03668,0,0,0,0.03668,1,0.0,406.8777494571887,2096.0,10480.0,14672.0,0.0,0.8118643783630209,,,,,,,,,,,,,,,,,,,
s2,dcqcn,2,s2_fan64_256k_bg80,1,0,2.5,8000000000.0,10.0,15.2,42ca647900d8a909,64,64,100.0,69.79611509374999,70.1126565,70.45332535,70.45498467,68.90069799999999,70.455609,170.45560900000024,1.9049970599217976,0.9999276819303783,0,nan,7.640881635265409,7.640835484628014,7.640882845967597,7.636363636363279,0.05912928792508598,99.99939600376504,0.0,1,0.0,1,2567359000.0,nan,0,0,1,2.5,2.49998,0,1449437216.0,0.8832943142082978,504284.3538660096,1271224.0,1271224.0,1272272.0,40.83069341781063,40.33204270796668,69.27000000000038,0.0,1,2271.0,0,0,0,0,0,0,872272.0,3.18068,68.75,68.75,3.18068,4557.236842105288,400000,200000.0,1,2271.0,40.33204270796668,40.83069341781063,68.75,68.75,872272.0,3.18068,0,0,0,3.18068,1,0.0,504284.3538660096,1271224.0,1271224.0,1272272.0,69.27000000000038,0.8832943142082978,,,,,,,,,,,,,,,,,,,
s2,dctcp,2,s2_fan64_256k_bg80,8,0,2.5,8000000000.0,10.0,15.2,12b541c4e5e55048,64,64,100.0,69.79938853125,70.1126565,70.44913535,70.45498467,68.90069799999999,70.455609,170.45560900000024,1.9049970599217976,0.9999275923266254,0,nan,7.640881635265409,7.640835484628014,7.640882845967597,7.636363636363279,0.05912928792508598,99.99939600376504,0.0,1,0.0,1,2567359000.0,nan,0,0,1,2.5,2.49998,0,1449437216.0,0.8832943142082981,504260.21541710664,1271224.0,1271224.0,1272272.0,40.83069341781063,40.33204270796668,69.27000000000038,0.0,1,2271.0,0,0,0,0,0,0,872272.0,3.18068,68.75,68.75,3.18068,4557.236842105288,400000,200000.0,1,2271.0,40.33204270796668,40.83069341781063,68.75,68.75,872272.0,3.18068,0,0,0,3.18068,1,0.0,504260.21541710664,1271224.0,1271224.0,1272272.0,69.27000000000038,0.8832943142082981,,,,,,,,,,,,,,,,,,,
s2,timely,2,s2_fan64_256k_bg80,7,0,2.5,8000000000.0,10.0,15.2,2546c3edc5f38b26,64,64,100.0,70.16699306249998,70.4800775,70.82332455,70.82500811,69.260975,70.82563999999999,170.82563999999988,1.895044337050825,0.9999274335588724,0,nan,7.582943317732708,7.5829059829059835,7.582942629444939,7.5797979797976245,0.04147911705640883,99.99950764729262,0.0,1,0.0,1,2578223000.0,nan,0,0,1,2.5,2.49998,0,1438573216.0,0.8837396335537915,509561.7500439033,1280928.0,1280928.0,1280928.0,40.96470175027805,40.461277293215474,69.67999999999996,0.0,1,2296.0,0,0,0,0,0,0,880928.0,3.20232,69.12,69.12,3.20232,4584.210526315787,400000,200000.0,1,2296.0,40.461277293215474,40.96470175027805,69.12,69.12,880928.0,3.20232,0,0,0,3.20232,1,0.0,509561.7500439033,1280928.0,1280928.0,1280928.0,69.67999999999996,0.8837396335537915,,,,,,,,,,,,,,,,,,,
s2,hpcc,2,s2_fan64_256k_bg80,3,0,2.5,8000000000.0,10.0,15.2,ce41da382d4df1bb,64,64,100.0,14.802667562499996,14.857330000000001,15.08877175,15.117964279999999,13.975734,15.129395,115.1293950000003,8.871321556479828,0.9997425053103921,0,nan,7.346197847913916,6.398957609451001,7.3460770563484905,0.09292929292928859,98.7350014952881,87.10570749558698,115.99999999999832,0,115.99999999999832,0,2636261000.0,nan,0,0,1,2.5,2.49998,0,1380534216.0,0.8245828680622327,26397.09545730913,21800.0,1079928.3999999983,1291650.0,2.9444975245374794,2.5102058542517156,3.009999999999735,0.0,1,274.0,0,0,0,0,0,0,891650.0,3.229125,2.89,2.89,3.229125,198.02631578945628,400000,200000.0,1,274.0,2.5102058542517156,2.9444975245374794,2.89,2.89,891650.0,3.229125,0,0,0,3.229125,1,0.0,26397.09545730913,21800.0,1079928.3999999983,1291650.0,3.009999999999735,0.8245828680622327,,,,,,,,,,,,,,,,,,,
s2,cbapsba,2,s2_fan64_256k_bg80,30,1,2.5,8000000000.0,10.0,15.2,64825ac3ed6f14e7,64,64,100.0,22.09103665625,22.0907355,22.09758705,22.09797261,22.083402,22.098069000000002,122.0980690000002,6.0737310576774535,0.9999999608797875,0,nan,7.640881635265409,6.886435124508521,7.582790658742782,3.4626262626261006,54.68289619034486,90.1261850821658,121.99999999999767,0,121.99999999999767,0,2582359000.0,nan,0,0,1,2.5,2.49998,0,1434437216.0,0.8368743259621836,12612.662407862408,86984.0,113089.67999999985,131000.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.3275,0.0,0.0,0.3275,0.0,400000,200000.0,1,0,0.0,0.0,0.0,0.0,0.0,0.3275,0,0,0,0.3275,1,0.0,12612.662407862408,86984.0,113089.67999999985,131000.0,0.0,0.8368743259621836,,,,,,,,,,,,,,,,,,,
