link_id,epoch,C_l,rho_C_l,C_effective_l,planner_grant_sum_bps,target_rate_sum_bps,applied_rate_sum_bps,actual_tx_rate_sum_bps,background_rate_bps,legacy_floor_rate_bps,flows_below_legacy_floor,floor_clamp_count,rate_clamp_delta_sum_bps,zero_grant_flow_count,paused_zero_grant_count,applied_capacity_excess_bps,applied_capacity_violation,actual_arrival_excess_bps
0,200002,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200003,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200004,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200005,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200006,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,6400000000,0,1702400000,0,0,0,0,0,0,0,0
0,200007,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200008,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200009,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200010,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,6400000000,0,1702400000,0,0,0,0,0,0,0,0
0,200011,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200012,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200013,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200014,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200015,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,6400000000,0,1702400000,0,0,0,0,0,0,0,0
0,200016,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200017,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200018,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200019,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,6400000000,0,1702400000,0,0,0,0,0,0,0,0
0,200020,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200021,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200022,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200023,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,6400000000,0,1702400000,0,0,0,0,0,0,0,0
0,200024,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200025,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200026,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200027,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200028,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,6400000000,0,1702400000,0,0,0,0,0,0,0,0
0,200029,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200030,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200031,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200032,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,6400000000,0,1702400000,0,0,0,0,0,0,0,0
0,200033,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200034,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200035,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200036,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,6400000000,0,1702400000,0,0,0,0,0,0,0,0
0,200037,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200038,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200039,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200040,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200041,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,6400000000,0,1702400000,0,0,0,0,0,0,0,0
0,200042,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200043,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200044,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200045,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,6400000000,0,1702400000,0,0,0,0,0,0,0,0
0,200046,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200047,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200048,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200049,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200050,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,6400000000,0,1702400000,0,0,0,0,0,0,0,0
0,200051,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200052,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200053,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200054,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,6400000000,0,1702400000,0,0,0,0,0,0,0,0
0,200055,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200056,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200057,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,8000000000,0,1702400000,0,0,0,0,0,0,0,0
0,200058,10000000000,9500000000,9500000000,9541984732,9541984732,8000000000,6400000000,0,1702400000,0,0,0,0,0,0,0,0
